osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry
29269131,False,Van Dijcklaan,residential,30,yes,False,141.93699999999998,"LINESTRING (4.5780815 50.9495372, 4.5779055 50.9494941, 4.577043 50.9492831, 4.5768628 50.9493047, 4.5763197 50.9496107)"
"[29269128, 651037139]",False,Rubenslaan,residential,50,destination,True,76.751,"LINESTRING (4.5782742 50.9518475, 4.578073 50.9516839, 4.578024 50.9516068, 4.57797 50.9515217, 4.5780644 50.9512189)"
"[29269128, 651037139]",False,Rubenslaan,residential,50,destination,False,76.751,"LINESTRING (4.5780644 50.9512189, 4.57797 50.9515217, 4.578024 50.9516068, 4.578073 50.9516839, 4.5782742 50.9518475)"
29269133,False,Van Dijcklaan,residential,30,yes,True,227.68300000000002,"LINESTRING (4.5780644 50.9512189, 4.5775666 50.9511108, 4.5766224 50.950716, 4.576597 50.950704, 4.5759358 50.9503916, 4.5754824 50.9500294)"
29269131,False,Van Dijcklaan,residential,30,yes,True,33.797,"LINESTRING (4.5751118 50.950224, 4.5754824 50.9500294)"
29269131,False,Van Dijcklaan,residential,30,yes,False,33.797,"LINESTRING (4.5754824 50.9500294, 4.5751118 50.950224)"
29269131,False,Van Dijcklaan,residential,30,yes,True,74.887,"LINESTRING (4.5754824 50.9500294, 4.5763197 50.9496107)"
29269133,False,Van Dijcklaan,residential,30,yes,False,227.683,"LINESTRING (4.5754824 50.9500294, 4.5759358 50.9503916, 4.576597 50.950704, 4.5766224 50.950716, 4.5775666 50.9511108, 4.5780644 50.9512189)"
29269131,False,Van Dijcklaan,residential,30,yes,False,74.887,"LINESTRING (4.5763197 50.9496107, 4.5754824 50.9500294)"
29269131,False,Van Dijcklaan,residential,30,yes,True,141.937,"LINESTRING (4.5763197 50.9496107, 4.5768628 50.9493047, 4.577043 50.9492831, 4.5779055 50.9494941, 4.5780815 50.9495372)"
29269142,False,Van Dijcklaan,residential,30,yes,False,66.723,"LINESTRING (4.5763197 50.9496107, 4.5767941 50.9499752, 4.5769531 50.950056)"
29269142,False,Van Dijcklaan,residential,30,yes,True,10.459,"LINESTRING (4.5770727 50.9501123, 4.5769531 50.950056)"
143535815,False,Van Dijcklaan,residential,,,True,9.694,"LINESTRING (4.5770389 50.9499876, 4.5769531 50.950056)"
29269142,False,Van Dijcklaan,residential,30,yes,False,10.459,"LINESTRING (4.5769531 50.950056, 4.5770727 50.9501123)"
143535815,False,Van Dijcklaan,residential,,,False,9.694,"LINESTRING (4.5769531 50.950056, 4.5770389 50.9499876)"
29269142,False,Van Dijcklaan,residential,30,yes,True,66.723,"LINESTRING (4.5769531 50.950056, 4.5767941 50.9499752, 4.5763197 50.9496107)"
