osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,access,junction
26492171,Rue Vieille Chaussée,tertiary,50,False,True,107.40599999999999,"LINESTRING (4.1362888 50.6136331, 4.1361696 50.6136309, 4.136126 50.6136238, 4.1360808 50.6136061, 4.1358576 50.6134495, 4.1357648 50.6133821, 4.1356059 50.6133037, 4.1354878 50.6132662, 4.1353593 50.6132419, 4.1350081 50.6131821)",,,,,
618781789,Rue de Bruxelles,primary,30,False,False,110.82700000000001,"LINESTRING (4.1362888 50.6136331, 4.1362783 50.6135694, 4.136285 50.6135117, 4.1363099 50.6134399, 4.1363986 50.6132528, 4.1365057 50.6130648, 4.136538 50.6129892, 4.1365562 50.6129202, 4.1365342 50.6128238, 4.1364699 50.6126688)",2,N6,,,
756080126,Rue de Bruxelles,primary,50,False,True,49.126000000000005,"LINESTRING (4.1362888 50.6136331, 4.1363353 50.6137853, 4.1363994 50.6139301, 4.1364557 50.6140617)",2,N6,,,
26492145,Place des Postes,residential,,False,False,58.903000000000006,"LINESTRING (4.1340543 50.6130058, 4.1346485 50.6129998, 4.134786 50.6130158, 4.1348688 50.6130522)",,,,,
28296953,Rue du Relais,residential,,True,False,69.6,"LINESTRING (4.1340543 50.6130058, 4.1339752 50.6133585, 4.1339727 50.6134255, 4.1340052 50.6136271)",,,,,
314950559,Rue des Postes,residential,,False,True,175.08300000000003,"LINESTRING (4.1340543 50.6130058, 4.1335758 50.613026, 4.1333158 50.6130372, 4.1331207 50.6130455, 4.1329624 50.6130523, 4.1321463 50.6130813, 4.1316664 50.6131038, 4.1315785 50.6130978)",,,,,
11290248,Rue Hector Denis,residential,,True,False,114.003,"LINESTRING (4.1365636 50.6084019, 4.1365673 50.6083879, 4.136833 50.607391)",,,,,
16944687,Rue Adolphe Gillis,residential,,False,True,68.39200000000001,"LINESTRING (4.1365636 50.6084019, 4.1357933 50.6087274, 4.1357567 50.6087426)",,,,,
712134705,Rue de Mons,primary,30,False,True,10.302,"LINESTRING (4.1347844 50.6093281, 4.1347066 50.6092497)",2,N6,,,
359024365,Rue Mayeur Etienne,primary,50,False,True,75.32900000000001,"LINESTRING (4.1347844 50.6093281, 4.1348693 50.609433, 4.1349674 50.6095786, 4.1351573 50.6099132, 4.1351822 50.6099559)",2,N6,,,
712134707,Rue d'Horrues,residential,,True,False,162.785,"LINESTRING (4.1347844 50.6093281, 4.1344899 50.6095479, 4.134362 50.6096541, 4.1342368 50.609732, 4.1339262 50.6098921, 4.13351 50.6101045, 4.1331137 50.6103298)",,,,,
11290248,Rue Hector Denis,residential,,True,False,103.138,"LINESTRING (4.136833 50.607391, 4.1368438 50.6073589, 4.1371381 50.6064839)",,,,,
16944686,Rue des États-Unis,residential,,False,True,21.899,"LINESTRING (4.136833 50.607391, 4.1367804 50.6073535, 4.136629 50.6072426)",,,,,
11290246,Rue de la Station,residential,,True,False,102.65699999999998,"LINESTRING (4.1375882 50.6079128, 4.1375699 50.6079271, 4.1375279 50.6079601, 4.1374884 50.6079911, 4.1373276 50.6087166, 4.1373123 50.6087857, 4.1373079 50.6088056)",1,,,,
28269930,Rue Docteur Oblin,residential,,True,False,44.816,"LINESTRING (4.1375882 50.6079128, 4.1377621 50.6078378, 4.1381134 50.6076862)",,,,,
28267920,Rue Edouard Etienne,residential,,True,False,10.564,"LINESTRING (4.1369111 50.6102897, 4.1369988 50.6103667)",,,,,
"[16943335, 1105611727]",Grand Place,residential,,False,True,104.69000000000001,"LINESTRING (4.1369111 50.6102897, 4.1365133 50.6103394, 4.1364601 50.6103472, 4.1360664 50.6104108, 4.1356023 50.6104963, 4.135478 50.6105282)",,,,,
"[1105611727, 16943335]",Grand Place,residential,,False,False,104.69,"LINESTRING (4.135478 50.6105282, 4.1356023 50.6104963, 4.1360664 50.6104108, 4.1364601 50.6103472, 4.1365133 50.6103394, 4.1369111 50.6102897)",,,,,
359024365,Rue Mayeur Etienne,primary,50,False,False,66.983,"LINESTRING (4.135478 50.6105282, 4.1354313 50.6104493, 4.1351822 50.6099559)",2,N6,,,
"[1108252194, 1108252195, 24013445, 359024364, 380211987]",Rue Mayeur Etienne,primary,"['50', '30']",False,True,135.269,"LINESTRING (4.135478 50.6105282, 4.1355045 50.61059, 4.1357027 50.6109942, 4.1357615 50.6111179, 4.1357967 50.6111968, 4.1359187 50.6114545, 4.1360133 50.6116618, 4.1360256 50.6116939)","['2', '3']",N6,,,
