osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,access,width,ref,bridge
245253237,unclassified,roundabout,True,False,17.921,"LINESTRING (5.2480909 50.6960362, 5.2481307 50.6960161, 5.2481781 50.6960044, 5.2482289 50.6960021, 5.2482784 50.6960095, 5.2483223 50.6960258)",,,,,,,
94550813,residential,,False,False,206.375,"LINESTRING (5.2482294 50.6962165, 5.2482984 50.6962931, 5.2483605 50.6963702, 5.2485693 50.6964677, 5.2490463 50.6966904, 5.2491507 50.6967144, 5.24949 50.6966885, 5.2495954 50.6967067, 5.2502634 50.6970192, 5.2504326 50.6971013, 5.2505287 50.6971388, 5.2506107 50.6971494)",2,Rue de la Tannerie,50,yes,,,
94550820,unclassified,roundabout,True,False,28.631,"LINESTRING (5.2482294 50.6962165, 5.2481857 50.6962152, 5.248144 50.6962069, 5.2481071 50.6961922, 5.2480773 50.6961719, 5.2480566 50.6961475, 5.2480462 50.6961185, 5.2480487 50.6960888, 5.248064 50.6960606, 5.2480909 50.6960362)",,,,,,,
94550823,unclassified,,False,False,96.272,"LINESTRING (5.2483223 50.6960258, 5.2483657 50.696002, 5.2483968 50.6959807, 5.2490674 50.6953753, 5.2491217 50.6953251)",2,Rue des Combattants,50,,,,
1064815669,unclassified,roundabout,True,False,28.295,"LINESTRING (5.2483223 50.6960258, 5.2483601 50.6960531, 5.2483814 50.6960869, 5.2483837 50.6961232, 5.2483668 50.696158, 5.2483326 50.6961871, 5.248285 50.6962074, 5.2482294 50.6962165)",,,,,,,
176533995,unclassified,,False,False,65.554,"LINESTRING (5.2491217 50.6953251, 5.2497609 50.6948966)",2,Place Ernest Rongvaux,50,,,,
94550823,unclassified,,False,True,96.272,"LINESTRING (5.2491217 50.6953251, 5.2490674 50.6953753, 5.2483968 50.6959807, 5.2483657 50.696002, 5.2483223 50.6960258)",2,Rue des Combattants,50,,,,
178264487,unclassified,,False,False,39.302,"LINESTRING (5.2491217 50.6953251, 5.2490394 50.6952527, 5.2487096 50.6950909)",2,Rue Emile Hallet,50,,,,
176533995,unclassified,,False,True,65.554,"LINESTRING (5.2497609 50.6948966, 5.2491217 50.6953251)",2,Place Ernest Rongvaux,50,,,,
"[857128421, 176533997, 245253182]",tertiary,,False,False,219.42399999999998,"LINESTRING (5.2497609 50.6948966, 5.249798 50.6948769, 5.2499401 50.6948199, 5.2500718 50.6948736, 5.2501469 50.6949043, 5.2502245 50.6949307, 5.2510367 50.6952074, 5.2511647 50.695251, 5.2511939 50.6952585, 5.2517274 50.6954282, 5.2522111 50.6955617, 5.252444 50.695627, 5.2525228 50.6956491)",2,Avenue Reine Astrid,50,,,,
