osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,access
315255339,N64,Rue Albert 1er,secondary,50,False,False,112.37599999999999,"LINESTRING (5.0838267 50.6688817, 5.0836427 50.6689796, 5.0829391 50.6693511, 5.0828985 50.6693731, 5.0826036 50.6695301)",,,,
173434025,,,secondary,50,True,False,13.049000000000001,"LINESTRING (5.0741745 50.6700132, 5.0741911 50.6700431, 5.0741918 50.6700748, 5.0741764 50.670105, 5.0741596 50.6701245)",1,roundabout,,
59497266,N80,,secondary,50,True,False,17.823,"LINESTRING (5.0742186 50.6703999, 5.0740963 50.6702596)",1,,,
31422683,N80,Rue Zénobe Gramme,secondary,50,False,False,88.97000000000001,"LINESTRING (5.0742186 50.6703999, 5.0742479 50.6704353, 5.0743478 50.6705251, 5.0744895 50.670623, 5.0746928 50.6707284, 5.0747215 50.6707433, 5.0749998 50.6708876, 5.0750747 50.6709229, 5.0751244 50.6709482)",1,,,
31422683,N80,Rue Zénobe Gramme,secondary,50,False,True,88.97,"LINESTRING (5.0751244 50.6709482, 5.0750747 50.6709229, 5.0749998 50.6708876, 5.0747215 50.6707433, 5.0746928 50.6707284, 5.0744895 50.670623, 5.0743478 50.6705251, 5.0742479 50.6704353, 5.0742186 50.6703999)",1,,,
59497267,N80,Rue Zénobe Gramme,secondary,50,True,False,148.981,"LINESTRING (5.0751244 50.6709482, 5.0753429 50.6710713, 5.0758481 50.6713276, 5.0762984 50.6715505, 5.0764731 50.671617, 5.0768174 50.6717453)",,,,
87279204,,Remparts Saint-Christophe,residential,50,True,False,150.22899999999998,"LINESTRING (5.0751244 50.6709482, 5.0757175 50.6704519, 5.0760358 50.6703499, 5.0763663 50.6702821, 5.0767861 50.6701879)",,,,
"[31422682, 315255379]",N64,Rue des Vieux Remparts,secondary,50,True,False,70.878,"LINESTRING (5.0789931 50.6737417, 5.0788524 50.6736976, 5.0786573 50.6735907, 5.0786135 50.6735715, 5.0785525 50.6735448, 5.0785047 50.673524, 5.0783988 50.6734944, 5.0782577 50.6734797, 5.0781109 50.6734811)",,,5,
192458487,,Rue d'Avernas,residential,30,False,False,129.934,"LINESTRING (5.0789931 50.6737417, 5.0789709 50.6738375, 5.078878 50.6739117, 5.0786579 50.6740843, 5.0785724 50.6741495, 5.078483 50.6742191, 5.078344 50.6743459, 5.0783111 50.6743952, 5.0782498 50.6744879, 5.0782426 50.6744995, 5.0780977 50.6747337, 5.0780897 50.67474)",,,,
31422680,N64,Rue d'Avernas,secondary,50,True,False,11.692,"LINESTRING (5.0796783 50.6733204, 5.0795933 50.6734107)",,,5,
313595521,N80,Rue de Landen,secondary,70,True,False,20.893,"LINESTRING (5.0796783 50.6733204, 5.0798515 50.6734729)",1,,,
126563537,N80,Rue de Landen,secondary,70,False,True,25.209,"LINESTRING (5.08193 50.6752926, 5.0820463 50.675507)",1,,,
87279145,,Rue des Combattants,residential,,False,False,131.583,"LINESTRING (5.08193 50.6752926, 5.0820019 50.6752741, 5.0821126 50.6752195, 5.0822241 50.6751595, 5.0823079 50.675108, 5.0824251 50.6750345, 5.0825063 50.6749836, 5.0826721 50.6748796, 5.0827817 50.6748109, 5.0830179 50.6746628, 5.0831534 50.6745778, 5.0832653 50.6745076, 5.0832934 50.67449)",,,,
"[315255360, 126563537, 220225889]",N80,Rue de Landen,secondary,70,False,False,250.49399999999994,"LINESTRING (5.08193 50.6752926, 5.0818194 50.6751452, 5.0817159 50.6750072, 5.0816921 50.6749869, 5.0810159 50.6744105, 5.0804428 50.6739562, 5.0803704 50.6738964, 5.080298 50.673839, 5.0802316 50.6737836, 5.0801171 50.6736908, 5.0800369 50.6736251, 5.0798515 50.6734729)",1,,,
87543434,N80,Avenue de Thouars,secondary,50,True,False,88.2,"LINESTRING (5.0760981 50.6730821, 5.0759993 50.6730327, 5.0758898 50.6729765, 5.0755771 50.6727936, 5.0754039 50.6726923, 5.0753016 50.6726325, 5.0751805 50.6725443)",,,5,
