osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,access,junction
174096369,2,Audenhovenlaan,tertiary,False,False,13.423,"LINESTRING (4.5665845 50.9793141, 4.5664292 50.9792433)",,,,
174096369,2,Audenhovenlaan,tertiary,False,True,335.399,"LINESTRING (4.5665845 50.9793141, 4.5667107 50.9793789, 4.5673613 50.9798019, 4.5676986 50.9800603, 4.5680431 50.9803405, 4.5681548 50.9804373, 4.5692161 50.9813553, 4.5695946 50.9816527)",,,,
"[428994754, 428994757, 118215470]",,Bredepleinstraat,residential,False,True,257.997,"LINESTRING (4.5665845 50.9793141, 4.5666289 50.9792822, 4.5668191 50.9791388, 4.567306 50.9787425, 4.5675658 50.97855, 4.5676284 50.9785026, 4.5677134 50.9784446, 4.5677235 50.9784368, 4.5689485 50.9775349)",yes,,,
42213979,,Rijmenamsebaan,tertiary,False,False,138.679,"LINESTRING (4.5730382 50.9837322, 4.5730614 50.9838167, 4.5731648 50.9839327, 4.5741025 50.9847748)",,50,,
174100257,,Pastorijstraat,unclassified,False,True,117.832,"LINESTRING (4.5730382 50.9837322, 4.5728452 50.9837057, 4.5723226 50.9833622, 4.5719412 50.9829702)",,,,
"[139807125, 756348783]",,Rijmenamsebaan,tertiary,False,True,155.398,"LINESTRING (4.5730382 50.9837322, 4.5731805 50.9825953, 4.5731999 50.982477, 4.5731922 50.9823828, 4.5731757 50.9823402)",,30,,
"[139807099, 24764181]",,Hanswijkstraat,tertiary,False,False,37.525999999999996,"LINESTRING (4.5699027 50.9819004, 4.5700958 50.9818437, 4.570394 50.9817656)",,30,,
"[139807096, 24764182]",,Audenhovenlaan,tertiary,False,False,34.983000000000004,"LINESTRING (4.5699027 50.9819004, 4.5698177 50.9818319, 4.5697955 50.981814, 4.5695946 50.9816527)",,,,
"[139807104, 458871591, 49521327]",,Kap. A. Tobbackstraat,tertiary,False,True,217.461,"LINESTRING (4.5699027 50.9819004, 4.5698568 50.9819969, 4.5698421 50.9820279, 4.5697966 50.9821478, 4.5697747 50.9822904, 4.5697863 50.9824527, 4.5697811 50.9825819, 4.5697653 50.9827295, 4.5697309 50.9828802, 4.5694333 50.9836722, 4.5693746 50.9838179)",,50,,
22938455,,Bergstraat,tertiary,False,False,193.87399999999997,"LINESTRING (4.5687959 50.9860465, 4.5687093 50.986009, 4.568657 50.9859541, 4.5686347 50.9858868, 4.5685779 50.9855391, 4.56859 50.9854145, 4.5686438 50.9852813, 4.5690763 50.9843891)",,50,,
22736135,2,Vosweg,residential,False,False,110.338,"LINESTRING (4.5689485 50.9775349, 4.5699582 50.9782968)",,50,yes,
