osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,width,junction
24009667,Rue Hambursin,residential,50,False,False,142.578,"LINESTRING (4.689794 50.5636593, 4.6896824 50.5635564, 4.6886718 50.5625935)",,,,
1259683416,Rue Chapelle Marion,residential,,False,False,55.479,"LINESTRING (4.689794 50.5636593, 4.6898368 50.5635869, 4.6900701 50.5631922)",,,,
"[24025590, 24025591]",Avenue des Combattants,tertiary,50,False,False,40.206,"LINESTRING (4.7005787 50.5591837, 4.7004177 50.559412, 4.7003552 50.5595161)",yes,2,,
350253999,Avenue des Combattants,tertiary,50,False,True,43.016999999999996,"LINESTRING (4.7005787 50.5591837, 4.7007343 50.5589705, 4.7007905 50.5588229)",,,,
470651256,Impasse des Combattants,residential,,False,False,41.404,"LINESTRING (4.7005787 50.5591837, 4.7008171 50.5594044, 4.7009802 50.5594194)",,,,
"[8601863, 26239479]",Rue Sigebert,residential,"['50', '30']",False,False,125.27699999999999,"LINESTRING (4.6987773 50.561651, 4.6986488 50.5616314, 4.6985418 50.5616162, 4.6980889 50.5615572, 4.6976991 50.5615064, 4.6972932 50.5614623, 4.6970384 50.5614304)",,,,
"[1061819637, 1061819638, 24025591]",Avenue des Combattants,tertiary,50,False,True,97.97800000000001,"LINESTRING (4.6987773 50.561651, 4.6988147 50.5615989, 4.6988521 50.5615445, 4.6990278 50.5613247, 4.6992037 50.5610777, 4.6993651 50.5608531)",,2,,
1061823262,Avenue Maréchal Juin,tertiary,50,False,False,63.05800000000001,"LINESTRING (4.6987773 50.561651, 4.6988672 50.5616632, 4.6989345 50.561673, 4.6996502 50.5617698)",,2,,
8111905,Rue Gustave Masset,residential,50,True,False,142.032,"LINESTRING (4.6896731 50.560574, 4.6897916 50.5605476, 4.6898857 50.5605305, 4.6901661 50.5604732, 4.6907659 50.5604105, 4.6911931 50.5603094, 4.6915027 50.5602361, 4.6916009 50.5602309)",,,,
26487485,Rue Théo Toussaint,residential,50,True,False,210.542,"LINESTRING (4.6919098 50.5600104, 4.6918641 50.5599806, 4.6916716 50.5598384, 4.6915472 50.5597486, 4.6908354 50.5593961, 4.6897935 50.5588352, 4.689738 50.5587964, 4.6897614 50.5587473)",,,3,
26487486,Rue Pierquin,residential,50,True,False,107.845,"LINESTRING (4.6919098 50.5600104, 4.6919865 50.5599538, 4.6922511 50.5597401, 4.6923226 50.5596834, 4.6926892 50.5594887, 4.6929451 50.559391, 4.693021 50.5593598)",,,,
24010234,Rue Gustave Docq,residential,30,True,False,86.26400000000001,"LINESTRING (4.693021 50.5593598, 4.6936417 50.5591914, 4.6937485 50.559155, 4.6938613 50.5591476, 4.694018 50.559186, 4.694149 50.5592235)",,,,
26550072,Rue du Chien Noir,residential,30,True,False,38.83,"LINESTRING (4.693021 50.5593598, 4.6930563 50.5594322, 4.6931974 50.5596905)",,,,
445254685,Rue Entrée Jacques,residential,30,False,True,62.578,"LINESTRING (4.6887101 50.5590234, 4.6895006 50.5587694)",,,,
445254685,Rue Entrée Jacques,residential,30,False,False,79.08699999999999,"LINESTRING (4.6887101 50.5590234, 4.688485 50.5591294, 4.6878105 50.5594468)",,,,
24009507,Rue des Oies,residential,50,False,True,226.40199999999996,"LINESTRING (4.6901131 50.5573268, 4.6897136 50.5571492, 4.6893355 50.5569763, 4.6887261 50.556551, 4.6885443 50.5563625, 4.6884 50.5560929, 4.6883752 50.5557578, 4.6883742 50.5557439)",,,,
24015176,Rue du Culot,residential,50,False,False,72.721,"LINESTRING (4.6901131 50.5573268, 4.6901362 50.5572953, 4.6909419 50.5569468)",,,,
630428854,Rue des Oies,residential,50,False,False,56.63700000000001,"LINESTRING (4.6901131 50.5573268, 4.6901796 50.5573791, 4.6902593 50.5574348, 4.6902907 50.5574537, 4.6905925 50.5576605, 4.6906538 50.5577026)",,,,
447984809,Rue des Oies,residential,50,True,False,15.721,"LINESTRING (4.6906538 50.5577026, 4.6907168 50.5578382)",,,,
630428854,Rue des Oies,residential,50,False,True,56.63699999999999,"LINESTRING (4.6906538 50.5577026, 4.6905925 50.5576605, 4.6902907 50.5574537, 4.6902593 50.5574348, 4.6901796 50.5573791, 4.6901131 50.5573268)",,,,
