osmid,oneway,name,highway,reversed,length,geometry,junction,ref,maxspeed,width
75785354,True,Markt,tertiary,False,151.926,"LINESTRING (2.952783 50.9782723, 2.9527168 50.9783181, 2.9526064 50.9783492, 2.9525116 50.9783578, 2.95232 50.9783809, 2.9519523 50.9784025, 2.9516121 50.9783984, 2.9510305 50.9783754, 2.9506701 50.9783298)",,,,
295400811,True,,tertiary,False,11.030000000000001,"LINESTRING (2.952783 50.9782723, 2.952771 50.9782623, 2.952764 50.9782521, 2.9527608 50.9782398, 2.9527626 50.978227, 2.9527688 50.978216, 2.9527809 50.9782049, 2.9527945 50.9781974, 2.952814 50.9781913)",roundabout,,,
41755490,False,Klerkenstraat,secondary,False,14.892,"LINESTRING (2.9457295 50.977392, 2.945695 50.9774808, 2.945679 50.9775221)",,N301,50,
1119230984,False,Poelkapellestraat,secondary,False,234.29299999999998,"LINESTRING (2.9457295 50.977392, 2.9457695 50.9772584, 2.9463492 50.9753214)",,N301,,
41755082,False,Eugène de Grootelaan,tertiary,True,81.481,"LINESTRING (2.9463492 50.9753214, 2.9467265 50.9753759, 2.9469095 50.9754282, 2.9474702 50.9755104)",,,,
1119230984,False,Poelkapellestraat,secondary,True,234.29299999999998,"LINESTRING (2.9463492 50.9753214, 2.9457695 50.9772584, 2.9457295 50.977392)",,N301,,
75785365,True,Kerkstraat,tertiary,False,362.926,"LINESTRING (2.9506701 50.9783298, 2.9498693 50.9781869, 2.949754 50.9781379, 2.9489426 50.9779961, 2.9488458 50.9779784, 2.9487552 50.9779619, 2.9472056 50.9776794, 2.9458754 50.9774509, 2.9457803 50.9774346, 2.9457295 50.977392)",,,,
"[26759098, 357449174]",False,Markt,residential,False,259.366,"LINESTRING (2.9506701 50.9783298, 2.950666 50.9782954, 2.9506621 50.9782649, 2.9507791 50.9780827, 2.950835 50.9779956, 2.9511687 50.9774759, 2.9511962 50.9774206, 2.9512048 50.9773657, 2.9511729 50.9768724, 2.951165 50.9767637, 2.9511493 50.976063)",,,,
"[1212350796, 75661254]",False,Terreststraat,tertiary,True,117.287,"LINESTRING (2.9506701 50.9783298, 2.9507236 50.9783925, 2.9508166 50.9785443, 2.9508287 50.9785641, 2.9511317 50.9789612, 2.9513788 50.9792849)",,,50,
75661254,False,Terreststraat,tertiary,False,38.6,"LINESTRING (2.9516105 50.9795999, 2.9513788 50.9792849)",,,50,
1212354012,False,Nieuwstraat,unclassified,False,56.125,"LINESTRING (2.9516105 50.9795999, 2.9515383 50.9796337, 2.9513705 50.9797154, 2.9510377 50.97995)",,,30,3
