osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,ref,bridge
231945295,True,1,Rue Léon Lepage - Léon Lepagestraat,residential,30,False,40.634,"LINESTRING (4.3455437 50.8528192, 4.34549 50.85274, 4.3454775 50.8527215, 4.3453051 50.8524863)",,,
8250729,False,,Rue de l'Évêque - Bisschopsstraat,tertiary,30,False,15.73,"LINESTRING (4.3503997 50.8508877, 4.3504757 50.8508598, 4.350536 50.8508375, 4.3505935 50.8508167)",,,
199090893,False,2,Rue de la Vierge Noire - Zwarte Lievevrouwstraat,tertiary,30,True,12.104,"LINESTRING (4.3503997 50.8508877, 4.3504246 50.8509549, 4.3504414 50.8509933)",,,
"[1135956355, 8511997]",False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,True,29.961999999999996,"LINESTRING (4.3493474 50.8507991, 4.3493681 50.8509042, 4.3492961 50.8510613)",,,
12344344,True,1,Boulevard Emile Jacqmain - Emile Jacqmainlaan,living_street,20,False,55.766999999999996,"LINESTRING (4.3534755 50.8527987, 4.3534365 50.8527286, 4.353379 50.85263, 4.3533541 50.8525873, 4.3532659 50.8524324, 4.3532048 50.8523272)",,,
12345356,True,1,Rue Saint-Michel - Sint-Michielsstraat,residential,30,False,48.939,"LINESTRING (4.3534755 50.8527987, 4.3535809 50.8527598, 4.3540769 50.8525761)",,,
412481969,True,,Rue du Pont Neuf - Nieuwbrug,residential,30,False,44.087,"LINESTRING (4.3541324 50.8539142, 4.3542562 50.8538666, 4.3542936 50.8538498, 4.354343 50.8538323, 4.3545937 50.8537363, 4.3546694 50.8537088)",,,
"[412481971, 1119490719]",True,1,Boulevard Emile Jacqmain - Emile Jacqmainlaan,residential,30,False,132.333,"LINESTRING (4.3541324 50.8539142, 4.3540994 50.8538572, 4.3540827 50.8538281, 4.3536744 50.8531356, 4.3535154 50.8528657, 4.3534755 50.8527987)",,,
829999422,True,,Rue du Pont Neuf - Nieuwbrug,residential,30,False,40.856,"LINESTRING (4.3541324 50.8539142, 4.3539846 50.8539702, 4.3539401 50.8539889, 4.3537799 50.8540495, 4.3536897 50.8540837, 4.3536346 50.8541045)",,,
199090903,True,1,Boulevard Emile Jacqmain - Emile Jacqmainlaan,residential,30,False,105.999,"LINESTRING (4.3546627 50.8548067, 4.3546164 50.8547365, 4.3542283 50.8540779, 4.3541938 50.8540196, 4.3541739 50.853986, 4.3541324 50.8539142)",,,
12815471,True,,Rue de la Forêt d'Houthulst - Houthulstbosstraat,residential,30,False,34.016,"LINESTRING (4.3456477 50.8557646, 4.3459462 50.8556549, 4.3459985 50.8556383, 4.3460724 50.8556179)",,,
12815652,True,,Rue de Passchendaele - Passendalestraat,living_street,20,False,166.05800000000002,"LINESTRING (4.3456477 50.8557646, 4.3456372 50.8557526, 4.3456131 50.8557269, 4.3446516 50.8547226, 4.3444654 50.8545281, 4.3444249 50.8544862)",,,
8512003,True,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,False,51.462999999999994,"LINESTRING (4.3497317 50.8511063, 4.349886 50.8510926, 4.3502813 50.8510219, 4.3502921 50.85102, 4.3503043 50.8510178, 4.3504414 50.8509933)",,,
30272886,False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,False,31.076,"LINESTRING (4.3497317 50.8511063, 4.3496491 50.8511053, 4.3495365 50.8510951, 4.3492961 50.8510613)",,,
"[1135956355, 8511997]",False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,False,29.961999999999996,"LINESTRING (4.3492961 50.8510613, 4.3493681 50.8509042, 4.3493474 50.8507991)",,,
30272886,False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,True,31.076,"LINESTRING (4.3492961 50.8510613, 4.3495365 50.8510951, 4.3496491 50.8511053, 4.3497317 50.8511063)",,,
30272887,False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,False,28.332,"LINESTRING (4.3492961 50.8510613, 4.3492508 50.8510657, 4.3492104 50.8510741, 4.3490067 50.851117, 4.3489611 50.8511237, 4.3489083 50.8511177)",,,
8512005,False,2,Rue de Laeken - Lakensestraat,tertiary,30,True,71.46600000000001,"LINESTRING (4.3504414 50.8509933, 4.3504766 50.8510754, 4.3505129 50.8511349, 4.3505676 50.8511975, 4.3506187 50.8512627, 4.3506812 50.8513912, 4.3506968 50.851424, 4.3507112 50.8514542, 4.3507794 50.8515973)",,,
199090893,False,2,Rue de la Vierge Noire - Zwarte Lievevrouwstraat,tertiary,30,False,12.104,"LINESTRING (4.3504414 50.8509933, 4.3504246 50.8509549, 4.3503997 50.8508877)",,,
8512005,False,2,Rue de Laeken - Lakensestraat,tertiary,30,False,71.46600000000001,"LINESTRING (4.3507794 50.8515973, 4.3507112 50.8514542, 4.3506968 50.851424, 4.3506812 50.8513912, 4.3506187 50.8512627, 4.3505676 50.8511975, 4.3505129 50.8511349, 4.3504766 50.8510754, 4.3504414 50.8509933)",,,
356328314,False,2,Rue de Laeken - Lakensestraat,tertiary,30,False,55.389,"LINESTRING (4.3507794 50.8515973, 4.3508096 50.8516607, 4.3508551 50.8517598, 4.3508625 50.8517759, 4.3509798 50.8520329, 4.3509849 50.8520773)",,,
30272887,False,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,True,28.332,"LINESTRING (4.3489083 50.8511177, 4.3489611 50.8511237, 4.3490067 50.851117, 4.3492104 50.8510741, 4.3492508 50.8510657, 4.3492961 50.8510613)",,,
979359699,True,,Quai au Bois à Brûler - Brandhoutkaai,living_street,20,False,93.068,"LINESTRING (4.3489083 50.8511177, 4.3488723 50.8511551, 4.3488073 50.8512047, 4.3485778 50.8515409, 4.3483503 50.851874)",,,
189090595,True,,Place Sainte-Catherine - Sint-Katelijneplein,living_street,20,False,37.492,"LINESTRING (4.3484185 50.8509834, 4.3486343 50.8510438, 4.3487983 50.8510897, 4.3489083 50.8511177)",,,
"[924125264, 189090596, 1135956357]",True,,"['Place Sainte-Catherine - Sint-Katelijneplein', 'Rue de Flandre - Vlaamsesteenweg']",living_street,20,False,197.556,"LINESTRING (4.3484185 50.8509834, 4.3483076 50.8509536, 4.3478945 50.8508335, 4.3472501 50.8506154, 4.3472153 50.8506036, 4.3471485 50.8505791, 4.3471233 50.8506048, 4.3471013 50.8506271, 4.3470375 50.8506917, 4.346858 50.8509441, 4.3467587 50.8510836, 4.3466694 50.8512099, 4.3465721 50.8513765)",,,
8512014,True,,Rue du Peuplier - Populierstraat,living_street,20,False,117.309,"LINESTRING (4.3483503 50.851874, 4.3484469 50.8519053, 4.3497001 50.8523806, 4.3497848 50.8524148)",,,
12472765,True,,Quai au Bois à Brûler - Brandhoutkaai,living_street,20,False,122.151,"LINESTRING (4.3483503 50.851874, 4.3480027 50.85236, 4.3477402 50.8527425, 4.3476509 50.8528798)",,,
31448290,False,,Place du Béguinage - Begijnhof,living_street,20,True,22.551000000000002,"LINESTRING (4.3497848 50.8524148, 4.3497364 50.8525139, 4.3497349 50.852613)",,,
