osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,access
"[611864840, 611864828, 182753532, 611864837]",yes,True,2,A604,primary,50,False,98.147,"LINESTRING (5.5117562 50.6176048, 5.511624 50.6178269, 5.5115526 50.6179467, 5.5114175 50.6181748, 5.5112625 50.61843)",,,
"[611864826, 24498174]",yes,True,1,,secondary_link,,False,247.59699999999998,"LINESTRING (5.5117562 50.6176048, 5.5117537 50.6176953, 5.5117597 50.6177708, 5.5117747 50.6178175, 5.5118005 50.617867, 5.5118093 50.6178802, 5.5118375 50.6179039, 5.5118946 50.6179391, 5.5119603 50.6179729, 5.5120495 50.6180027, 5.5121387 50.618023, 5.5137078 50.6183104, 5.5142157 50.6183835, 5.5145502 50.6184217, 5.514705 50.618462)",,,
"[946464816, 588501298, 28678264]",yes,True,1,,secondary_link,,False,153.616,"LINESTRING (5.5112625 50.61843, 5.5112874 50.6185479, 5.5113023 50.6185774, 5.5113172 50.6186001, 5.5113532 50.6186367, 5.5113989 50.6186733, 5.5114585 50.6187089, 5.5115129 50.6187308, 5.5115738 50.6187527, 5.5116322 50.6187625, 5.5116906 50.6187682, 5.5117739 50.6187698, 5.511846 50.6187637, 5.5119096 50.6187522, 5.5119619 50.6187361, 5.5120111 50.6187179, 5.5120527 50.6186956, 5.5120814 50.6186773, 5.5121239 50.618645, 5.5121535 50.618614, 5.5121759 50.6185833, 5.5121983 50.6185431, 5.5122081 50.6185069, 5.5122137 50.6184625, 5.5122043 50.6184162, 5.5121735 50.6183467, 5.5121538 50.6183095, 5.5121246 50.618273, 5.5120547 50.6182184, 5.5119028 50.61814)",,,
"[946464817, 5019771, 176131908]",yes,True,1,A604,motorway,"['50', '120']",False,191.45099999999996,"LINESTRING (5.5112625 50.61843, 5.5111879 50.6185254, 5.5110873 50.6186465, 5.510937 50.6188166, 5.5107642 50.6189811, 5.5105919 50.6191308, 5.5102322 50.6193575, 5.5098126 50.6195617, 5.5096006 50.6196606, 5.5095179 50.6197158)",,,
5028483,yes,True,2,A604,primary,50,False,89.35,"LINESTRING (5.5122033 50.616853, 5.5117562 50.6176048)",Pont de Seraing,,
"[611864841, 5028482, 611864836, 611864829]",yes,True,2,A604,primary,50,False,97.57300000000001,"LINESTRING (5.5111727 50.6184095, 5.5113332 50.6181565, 5.5114631 50.6179274, 5.5115333 50.6178062, 5.5116596 50.6175883)",,,
179175009,yes,True,3,A604,primary,50,False,85.401,"LINESTRING (5.5116596 50.6175883, 5.5120586 50.6168632)",Pont de Seraing,,
"[611864825, 24495844]",yes,True,1,N90z,primary,50,False,98.551,"LINESTRING (5.5120586 50.6168632, 5.5120389 50.6167253, 5.5120247 50.6166779, 5.5119977 50.6166264, 5.5119699 50.616597, 5.5119292 50.6165675, 5.5118823 50.6165333, 5.5118246 50.6165018, 5.511731 50.6164723, 5.5111192 50.6163347)",,,
611864824,yes,True,2,N90z,primary,50,False,25.195,"LINESTRING (5.5120586 50.6168632, 5.5121188 50.61677, 5.5122129 50.6166592)",,,
24493074,,True,2,N90,primary,70,False,444.03999999999996,"LINESTRING (5.5103303 50.6161058, 5.5099614 50.6159844, 5.5095353 50.6158416, 5.5090773 50.6156818, 5.5089261 50.6156242, 5.5087708 50.6155635, 5.508574 50.6154818, 5.5083851 50.6154003, 5.5082097 50.615321, 5.5080815 50.6152611, 5.507944 50.6151887, 5.5078077 50.6151144, 5.5076709 50.6150348, 5.5075242 50.6149434, 5.5074021 50.6148586, 5.5071636 50.6146894, 5.5068713 50.6144783, 5.5067347 50.6143771, 5.5066124 50.6142798, 5.5065113 50.6141987, 5.5064 50.6141038, 5.5062996 50.6140143, 5.5062089 50.6139322, 5.5061128 50.6138417, 5.506031 50.6137597, 5.5059114 50.613637, 5.5058185 50.6135391, 5.5058077 50.613501, 5.5058031 50.6134598)",Quai Sadoine,,
429243457,,True,2,N90,primary,70,False,163.43499999999997,"LINESTRING (5.5058031 50.6134598, 5.5058631 50.6134853, 5.505908 50.6135127, 5.5059684 50.6135727, 5.5060308 50.6136317, 5.5061288 50.6137238, 5.5064215 50.6139782, 5.5067552 50.6142391, 5.5070711 50.6144669, 5.5072616 50.6145957)",Quai Sadoine,,
"[946464808, 142807295]",,True,"['2', '3']",N617,secondary,70,False,156.153,"LINESTRING (5.5152717 50.6185582, 5.5147261 50.6185256, 5.5144151 50.6185041, 5.5139729 50.61846, 5.5130903 50.6183335)",Quai des Carmes,,
