osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,junction,access,bridge
34106549,Nieuwstraat,residential,False,False,104.121,"LINESTRING (3.4461945 51.2051541, 3.4462787 51.2055878, 3.4463063 51.20573, 3.4463617 51.2060156, 3.4463687 51.206084)",,,,,,
215995056,Stationsplein,residential,False,False,104.54599999999999,"LINESTRING (3.4461945 51.2051541, 3.4461017 51.2051892, 3.4447606 51.2052003, 3.4447096 51.2052014)",,,,,,
"[34106547, 344074582, 344074583]",Stationsplein,residential,False,True,249.375,"LINESTRING (3.4461945 51.2051541, 3.4462746 51.2051225, 3.4463616 51.205103, 3.4471214 51.2050808, 3.4473357 51.2050746, 3.4477684 51.2050729, 3.4481989 51.2050712, 3.4487564 51.2050834, 3.4495113 51.2051136, 3.4496329 51.2051174, 3.449695 51.2051155, 3.4497483 51.205105)",,,,,,
34106548,Marktstraat,tertiary,False,False,15.369,"LINESTRING (3.4459906 51.208982, 3.4459177 51.2090613, 3.4458637 51.2090935)",,,,,,
"[216264769, 95092094]",Nieuwstraat,tertiary,False,False,61.139,"LINESTRING (3.4459906 51.208982, 3.4459948 51.2089383, 3.446009 51.2087885, 3.4460445 51.2085177, 3.4460555 51.2084337)",30,,,,,
48521212,Westeindestraat,tertiary,False,True,53.489,"LINESTRING (3.4427665 51.2090221, 3.4434732 51.2092102)",,,,,,
315536394,Westeindestraat,tertiary,False,True,17.387,"LINESTRING (3.4427665 51.2090221, 3.4425269 51.2089783)",,,,,,
73902631,Brielstraat,residential,False,True,161.883,"LINESTRING (3.4485373 51.2069321, 3.4484539 51.2069021, 3.448021 51.2067517, 3.4471726 51.206457, 3.4466336 51.2062697, 3.4465111 51.2062198)",,,,,,
114274434,39e Linielaan,tertiary,True,False,151.675,"LINESTRING (3.4485373 51.2069321, 3.4486314 51.2069728, 3.4487589 51.207031, 3.4488397 51.2070802, 3.4488936 51.207146, 3.4489158 51.2071926, 3.4489238 51.2072321, 3.4489258 51.2072659, 3.4489104 51.2073825, 3.4488521 51.2077412, 3.4488447 51.2078921, 3.4488457 51.2081355, 3.4488259 51.2081889)",30,N410a,,,,
"[150540518, 683656143]",Stationsstraat,tertiary,False,False,209.901,"LINESTRING (3.4485373 51.2069321, 3.448575 51.2068861, 3.448623 51.2068274, 3.4489428 51.206432, 3.4491218 51.206232, 3.4494108 51.2059092, 3.449451 51.2058626, 3.4494933 51.2058136, 3.4495473 51.2057021, 3.4496547 51.2054806, 3.4497081 51.2053703, 3.4497274 51.205321, 3.4497673 51.2052194)","['30', '50']",N410a,,,,
150540518,Stationsstraat,tertiary,False,True,12.789,"LINESTRING (3.4497483 51.205105, 3.4497673 51.2052194)",50,N410a,,,,
"[34106547, 344074582, 344074583]",Stationsplein,residential,False,False,249.375,"LINESTRING (3.4497483 51.205105, 3.449695 51.2051155, 3.4496329 51.2051174, 3.4495113 51.2051136, 3.4487564 51.2050834, 3.4481989 51.2050712, 3.4477684 51.2050729, 3.4473357 51.2050746, 3.4471214 51.2050808, 3.4463616 51.205103, 3.4462746 51.2051225, 3.4461945 51.2051541)",,,,,,
215995057,Stationsstraat,tertiary,False,False,44.541,"LINESTRING (3.4497483 51.205105, 3.4498124 51.205064, 3.4498659 51.2050092, 3.4499259 51.2048769, 3.4499362 51.2048535, 3.4499471 51.2048279, 3.4499842 51.2047403)",50,N410a,,,,
48521212,Westeindestraat,tertiary,False,False,53.489,"LINESTRING (3.4434732 51.2092102, 3.4427665 51.2090221)",,,,,,
"[118370809, 34106550]",Westeindestraat,tertiary,False,True,93.786,"LINESTRING (3.4434732 51.2092102, 3.4438507 51.2092971, 3.4439033 51.209307, 3.4441338 51.2093498, 3.444266 51.2093639, 3.4443713 51.2093703, 3.4446463 51.2093471, 3.4447769 51.2093379)",,,,,,
137166108,Vakekerkweg,residential,False,False,116.64500000000001,"LINESTRING (3.4434732 51.2092102, 3.4431897 51.209594, 3.4431017 51.2097165, 3.4430022 51.2098032, 3.4428586 51.2099067, 3.4427457 51.2099585, 3.4426184 51.2100073, 3.4425404 51.2100527)",,,,,,
48521211,Boudewijn Lippensstraat,tertiary,True,False,132.76299999999998,"LINESTRING (3.4460555 51.2084337, 3.4462136 51.2084129, 3.4465967 51.2083809, 3.4479426 51.2082687)",30,,,,,
73902637,Nieuwstraat,residential,False,True,243.024,"LINESTRING (3.4460555 51.2084337, 3.4463858 51.2063577, 3.4463921 51.2062585)",,,,,,
"[216264769, 95092094]",Nieuwstraat,tertiary,False,True,61.139,"LINESTRING (3.4460555 51.2084337, 3.4460445 51.2085177, 3.446009 51.2087885, 3.4459948 51.2089383, 3.4459906 51.208982)",30,,,,,
150540524,Stationsstraat,tertiary,True,False,155.159,"LINESTRING (3.4479426 51.2082687, 3.4479636 51.2082361, 3.4479871 51.2081483, 3.4479951 51.208071, 3.448034 51.2079013, 3.4480842 51.2077288, 3.4481729 51.2075356, 3.4483592 51.2071919, 3.4484879 51.2069925, 3.4485373 51.2069321)",30,,,,,
683660953,Boudewijn Lippensstraat,tertiary,True,False,62.187,"LINESTRING (3.4479426 51.2082687, 3.4487079 51.2082041, 3.4488259 51.2081889)",,,,,,
150540538,Schouwburgplaats,residential,True,False,96.241,"LINESTRING (3.4488259 51.2081889, 3.448781 51.2082659, 3.4487315 51.2084969, 3.4487398 51.2085356, 3.4487545 51.2085735, 3.4487636 51.208609, 3.4487632 51.2086413, 3.4487508 51.2086743, 3.448728 51.2086999, 3.4486794 51.2087532, 3.4486563 51.2087966, 3.4486232 51.2089441, 3.4486 51.2090277)",30,N410a,,,,
157743729,Kanunnik Andrieslaan,tertiary,True,False,96.076,"LINESTRING (3.4488259 51.2081889, 3.4489799 51.20818, 3.4492588 51.2081562, 3.4495922 51.2081436, 3.4498799 51.208142, 3.450049 51.2081469, 3.4501998 51.2081589)",,,,,,
114274439,Stationsstraat,tertiary,True,False,76.314,"LINESTRING (3.447761 51.2089455, 3.4478134 51.2087587, 3.4479426 51.2082687)",,,,,,
216264768,Marktstraat,tertiary,True,False,123.94000000000001,"LINESTRING (3.447761 51.2089455, 3.4474314 51.208992, 3.4470783 51.2089905, 3.4465144 51.2089766, 3.4461505 51.2089803, 3.4459906 51.208982)",30,,,,,
1220213283,Marktstraat,tertiary,True,False,7.251,"LINESTRING (3.4486946 51.2090549, 3.4486 51.2090277)",30,N410a,,,,
114274436,Noordstraat,tertiary,True,False,115.612,"LINESTRING (3.4473742 51.2107201, 3.4480883 51.2098708, 3.4481477 51.2098002)",,N410a,,,,
95092074,Mevrouw Courtmanslaan,tertiary,False,True,86.297,"LINESTRING (3.4507868 51.2082946, 3.4506767 51.2083457, 3.4501389 51.2086504, 3.4499743 51.2087424, 3.449857 51.2088069)",30,N9d,2,,,
"[118370809, 34106550]",Westeindestraat,tertiary,False,False,93.786,"LINESTRING (3.4447769 51.2093379, 3.4446463 51.2093471, 3.4443713 51.2093703, 3.444266 51.2093639, 3.4441338 51.2093498, 3.4439033 51.209307, 3.4438507 51.2092971, 3.4434732 51.2092102)",,,,,,
51870641,Marktstraat,residential,True,False,186.385,"LINESTRING (3.4447769 51.2093379, 3.4446811 51.2085996, 3.4447619 51.2084872, 3.4460555 51.2084337)",,,,,,
