osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,junction,access
300871043,N643a,Chaussée de Wavre,secondary,50,False,False,16.3,,"LINESTRING (5.2141696 50.5375641, 5.2142991 50.5374428)",,,
367270356,N643a,Chaussée de Wavre,secondary,50,False,True,215.747,2,"LINESTRING (5.2141696 50.5375641, 5.2140379 50.5376578, 5.2138406 50.5377724, 5.2136529 50.5378613, 5.2134874 50.5379227, 5.2130592 50.5380801, 5.2128278 50.5381664, 5.2120048 50.5384677, 5.2117813 50.5385477, 5.2116148 50.5386096)",,,
276794549,N643a,Chaussée de Wavre,secondary,50,False,True,24.075,,"LINESTRING (5.2147304 50.5369906, 5.2145506 50.5371745)",,,
52873188,,Allée des Balsamines,residential,,False,False,75.132,,"LINESTRING (5.2147304 50.5369906, 5.2153888 50.537237, 5.2156432 50.5373369)",,,
276794549,N643a,Chaussée de Wavre,secondary,50,False,False,61.729,,"LINESTRING (5.2147304 50.5369906, 5.214753 50.536964, 5.2151028 50.5365836, 5.2151726 50.5365119)",,,
54510127,,Rue Nicolas Honlet,residential,,False,False,114.13600000000001,,"LINESTRING (5.218412 50.535011, 5.2183348 50.5349012, 5.2182543 50.5347733, 5.2181658 50.5346779, 5.2181739 50.5345909, 5.2181685 50.5344852, 5.2181605 50.5343574, 5.2180988 50.5342636, 5.2180076 50.5341715, 5.2179727 50.5340471)",,,
"[1217416284, 58130510]",N643a,Chaussée de Wavre,secondary,50,False,False,100.381,3,"LINESTRING (5.218412 50.535011, 5.2189757 50.534829, 5.219324 50.5347352, 5.2195537 50.5346835, 5.2197149 50.5346581)",,,
"[294061608, 1217416284, 58130511]",N643a,Chaussée de Wavre,secondary,50,False,True,43.068,,"LINESTRING (5.218412 50.535011, 5.2182288 50.5350706, 5.2180814 50.5351201, 5.2178712 50.5351895)",yes,,
294063969,N64,Chaussée de Tirlemont,primary,50,False,True,42.817,1,"LINESTRING (5.2197149 50.5346581, 5.2198069 50.5350387)",,,
"[8230620, 315255302]",,Chaussée de Tirlemont,primary,50,False,False,142.506,2,"LINESTRING (5.2197149 50.5346581, 5.2195514 50.5338579, 5.2195081 50.5336112, 5.219471 50.533386)",,,
"[1217416284, 58130510]",N643a,Chaussée de Wavre,secondary,50,False,True,100.381,3,"LINESTRING (5.2197149 50.5346581, 5.2195537 50.5346835, 5.219324 50.5347352, 5.2189757 50.534829, 5.218412 50.535011)",,,
315255302,,Chaussée de Tirlemont,primary,50,False,False,11.147,2,"LINESTRING (5.219471 50.533386, 5.2194546 50.5332863)",,,
"[8230620, 315255302]",,Chaussée de Tirlemont,primary,50,False,True,142.506,2,"LINESTRING (5.219471 50.533386, 5.2195081 50.5336112, 5.2195514 50.5338579, 5.2197149 50.5346581)",,,
22874616,,Rue Léon Charlier,tertiary,,True,False,30.914,1,"LINESTRING (5.2077567 50.5338531, 5.2075626 50.5338013, 5.20748 50.5337792, 5.2074142 50.5337672, 5.2073469 50.5337581)",,,
397717781,,Rue Léon Charlier,tertiary,50,False,False,71.623,,"LINESTRING (5.2077567 50.5338531, 5.2081899 50.5340913, 5.2085529 50.53425)",,,
22874645,,Rue Georges Smal,tertiary,,False,True,10.566,,"LINESTRING (5.2127895 50.5357755, 5.2126981 50.5357003)",,,
22874645,,Rue Georges Smal,tertiary,,False,False,31.910999999999998,,"LINESTRING (5.2127895 50.5357755, 5.2128961 50.5358689, 5.2130546 50.5360078)",,,
52872935,,Rue Georges Smal,residential,,False,False,43.268,,"LINESTRING (5.2127895 50.5357755, 5.2124231 50.5359956, 5.2123482 50.5360451)",,,
