osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,ref,tunnel
459172468,Paalstraat,tertiary,30,False,True,102.905,"LINESTRING (4.5037675 51.2552234, 4.5042533 51.2560171, 4.5042965 51.2560876)",,,,
23540990,Rosveldstraat,unclassified,30,False,False,256.21500000000003,"LINESTRING (4.5042965 51.2560876, 4.5041531 51.2561071, 4.5025089 51.2559175, 4.5006754 51.2557104)",,,,
459172468,Paalstraat,tertiary,30,False,False,102.905,"LINESTRING (4.5042965 51.2560876, 4.5042533 51.2560171, 4.5037675 51.2552234)",,,,
30073671,Paalstraat,residential,30,True,False,278.65500000000003,"LINESTRING (4.5015378 51.2526687, 4.5012119 51.2525004, 4.5008309 51.2523027, 4.5003887 51.2520714, 4.4997599 51.2517761, 4.4987042 51.2512965, 4.4983594 51.2511469)",,,,
54434309,Churchilllaan,residential,50,False,True,54.598,"LINESTRING (4.4983594 51.2511469, 4.4976416 51.2509488)",,,,
23541084,Markt,residential,50,True,False,67.425,"LINESTRING (4.4983594 51.2511469, 4.4982608 51.2512568, 4.4979886 51.2517059)",,,,
23540990,Rosveldstraat,unclassified,30,False,True,256.215,"LINESTRING (4.5006754 51.2557104, 4.5025089 51.2559175, 4.5041531 51.2561071, 4.5042965 51.2560876)",,,,
38419770,Tarwestraat,unclassified,30,False,False,64.594,"LINESTRING (4.5006754 51.2557104, 4.5005431 51.2556332, 4.5005126 51.2556172, 4.5004211 51.2555691, 4.499944 51.255354)",,,,
28201651,Thuretstraat,residential,30,False,False,120.376,"LINESTRING (4.498626 51.255037, 4.498553 51.2561186)",,,,
38420058,Lijsterstraat,unclassified,30,False,False,92.162,"LINESTRING (4.498626 51.255037, 4.4973028 51.2550029)",,,,
28201651,Thuretstraat,residential,30,False,True,137.429,"LINESTRING (4.498626 51.255037, 4.4986801 51.2544931, 4.4987163 51.2539517, 4.4987565 51.253851, 4.4987573 51.2538057)",,,,
38419770,Tarwestraat,unclassified,30,False,True,100.38499999999999,"LINESTRING (4.498626 51.255037, 4.4990633 51.2550518, 4.4996893 51.2552607, 4.499944 51.255354)",,,,
38420058,Lijsterstraat,unclassified,30,False,True,92.162,"LINESTRING (4.4973028 51.2550029, 4.498626 51.255037)",,,,
