osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,access
367316780,Rue des Clouteries,residential,False,True,109.939,"LINESTRING (4.3312639 50.4127044, 4.3310787 50.4123933, 4.331067 50.4123736, 4.3309225 50.4121937, 4.3308441 50.4120962, 4.3305579 50.4118293)",,,,
609532724,Rue de la Briqueterie,residential,False,False,52.75,"LINESTRING (4.3312639 50.4127044, 4.3309716 50.4128513, 4.330836 50.412929, 4.3307189 50.4130242)",,,,
88488708,Rue Jean Pain,residential,False,True,72.858,"LINESTRING (4.3305579 50.4118293, 4.3313159 50.4113866)",,,,
367316780,Rue des Clouteries,residential,False,True,50.603,"LINESTRING (4.3305579 50.4118293, 4.330154 50.411454)",,,,
367316780,Rue des Clouteries,residential,False,False,109.939,"LINESTRING (4.3305579 50.4118293, 4.3308441 50.4120962, 4.3309225 50.4121937, 4.331067 50.4123736, 4.3310787 50.4123933, 4.3312639 50.4127044)",,,,
367316780,Rue des Clouteries,residential,False,False,50.603,"LINESTRING (4.330154 50.411454, 4.3305579 50.4118293)",,,,
88488686,,residential,False,False,16.065,"LINESTRING (4.330154 50.411454, 4.3300661 50.4114124, 4.329958 50.4113835)",,,,
314697701,Rue des Gaulx,residential,False,True,149.31099999999998,"LINESTRING (4.330154 50.411454, 4.3302863 50.4113631, 4.3304189 50.4112719, 4.3306494 50.4111034, 4.3308463 50.4109683, 4.3310609 50.4108412, 4.3312968 50.4107245, 4.3316503 50.4106189, 4.3317366 50.4105931)",,,,
88488709,Rue de l'Hôpital,residential,False,True,133.49,"LINESTRING (4.3302983 50.4151635, 4.3297519 50.4151097, 4.328935 50.4150292, 4.3284811 50.4151695)",,,,
609532724,Rue de la Briqueterie,residential,False,True,240.03,"LINESTRING (4.3302983 50.4151635, 4.330383 50.414832, 4.3304864 50.4144276, 4.3305524 50.414185, 4.3306229 50.4135734, 4.3306647 50.4132108, 4.3306926 50.4130899, 4.3307189 50.4130242)",,,,
78145157,Avenue des Déportés,residential,False,True,184.29800000000003,"LINESTRING (4.3308607 50.4095232, 4.330576 50.409636, 4.3298793 50.4099119, 4.3296082 50.4100193, 4.3290097 50.4102563, 4.3286518 50.4103981)",,,,
88488698,Avenue des Déportés,residential,False,False,22.631,"LINESTRING (4.3308607 50.4095232, 4.3307982 50.409437, 4.3307163 50.4093418)",,,,
367321515,Place Charles Brogniez,residential,False,False,22.485999999999997,"LINESTRING (4.3268279 50.4083761, 4.3269796 50.4083611, 4.3271426 50.4083713)",,,,
367321647,Place de l'Esplanade,residential,False,True,94.968,"LINESTRING (4.3268279 50.4083761, 4.3267801 50.4083328, 4.3265059 50.4080848, 4.326099 50.4077167, 4.3260561 50.4076779)",,,,
367321885,Rue Général de Gaulle,residential,False,True,23.688,"LINESTRING (4.3268279 50.4083761, 4.3266696 50.4084064, 4.3265155 50.4084506)",,,,
88488646,Rue du Parc,residential,False,False,242.166,"LINESTRING (4.3265155 50.4084506, 4.3265905 50.4085407, 4.3270729 50.409007, 4.327192 50.4091221, 4.3274322 50.4093543, 4.328027 50.4099292, 4.3284462 50.4102438)",,,,
367321885,Rue Général de Gaulle,residential,False,False,23.688,"LINESTRING (4.3265155 50.4084506, 4.3266696 50.4084064, 4.3268279 50.4083761)",,,,
367690169,Rue de Mons,primary,True,False,57.099,"LINESTRING (4.3258045 50.4071121, 4.3249993 50.4070939)",N90,50,,
844868429,Rue de Leernes,tertiary,False,True,11.491,"LINESTRING (4.3258045 50.4071121, 4.3258649 50.4070162)",,50,,
1164872359,Rue Louis Delattre,residential,True,False,28.537,"LINESTRING (4.3258045 50.4071121, 4.3258374 50.4071493, 4.3258208 50.407184, 4.3258113 50.4071972, 4.3258019 50.4072103, 4.3257853 50.4072317, 4.3257637 50.4072566, 4.3257189 50.407304, 4.3256653 50.4073268)",,,,
"[844868440, 226071087]","['Place H. Cornille', 'Rue de Forchies']",secondary,False,False,110.49799999999999,"LINESTRING (4.3230093 50.4141508, 4.32281 50.4140187, 4.322692 50.4139486, 4.3224497 50.4138155, 4.3220962 50.4136296, 4.3219627 50.4135672, 4.3219012 50.4135478, 4.3218092 50.413526)",N582,50,,
1208308778,Rue de Forchies,secondary,False,True,97.266,"LINESTRING (4.3230093 50.4141508, 4.3231738 50.414268, 4.3233458 50.4144088, 4.3235506 50.4145911, 4.3236955 50.4147338, 4.3238094 50.4148592)",N582,50,,
