osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge,access
4845386,Boulevard Emile Schevenels,primary,roundabout,True,False,7.478,"LINESTRING (3.8248072 50.7125706, 3.8247542 50.7125681, 3.8247034 50.7125584)",,,,,,
4886962,Boulevard Emile Schevenels,primary,,True,False,52.795,"LINESTRING (3.8250076 50.712494, 3.8250138 50.7125664, 3.8250319 50.7126228, 3.8250621 50.7126862, 3.8251398 50.7128288, 3.8251742 50.7129546)",1,N42,50,,,
357981092,Boulevard Emile Schevenels,primary,roundabout,True,False,17.16,"LINESTRING (3.8250076 50.712494, 3.8249708 50.7125248, 3.824923 50.7125487, 3.8248673 50.7125643, 3.8248072 50.7125706)",,,,,,
4845436,Porte d'Ogy,residential,,True,False,100.205,"LINESTRING (3.8250379 50.7124369, 3.8252898 50.7124556, 3.8256377 50.7125191, 3.8258891 50.7125588, 3.8262276 50.7126111, 3.8264241 50.7126345)",,,50,,,
357981093,Boulevard Emile Schevenels,primary,roundabout,True,False,6.731,"LINESTRING (3.8250379 50.7124369, 3.8250272 50.7124664, 3.8250076 50.712494)",,,,,,
427552852,Boulevard Emile Schevenels,primary,roundabout,True,False,12.568999999999999,"LINESTRING (3.8247474 50.7122681, 3.8248067 50.7122648, 3.8248654 50.7122707, 3.8249201 50.7122856)",,,,,,
1093575268,Boulevard Emile Schevenels,primary,,True,False,22.285000000000004,"LINESTRING (3.8247474 50.7122681, 3.8247965 50.7121927, 3.8248277 50.7121355, 3.8248487 50.7120787)",1,N57,50,,,
4845436,Porte d'Ogy,residential,,True,False,5.756,"LINESTRING (3.8264241 50.7126345, 3.8265057 50.7126313)",,,50,,,
4872058,Avenue de Ghoy,unclassified,,True,False,127.976,"LINESTRING (3.8264241 50.7126345, 3.8263837 50.712763, 3.8263311 50.7129193, 3.8262668 50.7130694, 3.8262283 50.7131593, 3.8261603 50.7132268, 3.8260601 50.7133276, 3.8259586 50.7134199, 3.8258721 50.713494, 3.8257611 50.7135905, 3.8256803 50.7136624)",,,,,,
106262633,Chaussée de Renaix,primary,,True,False,28.476999999999997,"LINESTRING (3.824249 50.7125919, 3.8244251 50.7125409, 3.8244961 50.7125018, 3.8245591 50.7124396)",1,N57,,,,
143218412,Boulevard Emile Schevenels,primary,,False,False,436.195,"LINESTRING (3.8248487 50.7120787, 3.8244661 50.7101999, 3.8240341 50.70819)",2,N57,50,,,
1093575267,Boulevard Emile Schevenels,primary,,True,False,23.665,"LINESTRING (3.8248487 50.7120787, 3.8249052 50.7121936, 3.8249121 50.7122324, 3.8249201 50.7122856)",1,N57,50,,,
"[25001779, 4845436]",Porte d'Ogy,residential,,True,False,67.114,"LINESTRING (3.8278698 50.7125692, 3.8281743 50.7125282, 3.8284742 50.7124686, 3.8286343 50.7124313, 3.8287796 50.7123937)",,,"['50', '30']",,,
25001780,Rue des Fossés,residential,,True,False,152.263,"LINESTRING (3.8278698 50.7125692, 3.8279794 50.7128203, 3.8281092 50.7130418, 3.8282548 50.7132446, 3.8285124 50.7134646, 3.8286341 50.7135543, 3.8288066 50.7136402, 3.8289738 50.7136939)",1,,,4,,
4940842,Grand Rue,residential,,True,False,50.383,"LINESTRING (3.8295096 50.7117136, 3.8302136 50.7117947)",,,30,,,
