osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,ref,junction
145819384,Hoogstraat,tertiary,50,False,True,256.87,"LINESTRING (4.0909942 51.1117185, 4.090775 51.1116292, 4.0905991 51.1115718, 4.0903986 51.1115121, 4.0901401 51.1114624, 4.0898843 51.1114511, 4.0898358 51.1114545, 4.0895808 51.1114724, 4.0893059 51.111498, 4.0889399 51.1114861, 4.0887156 51.1114691, 4.0885415 51.1114227, 4.0880841 51.1112165, 4.087791 51.1110832, 4.0876441 51.1110163)",,,,
145819395,Rivierstraat,residential,,False,True,220.727,"LINESTRING (4.0795792 51.112749, 4.0797747 51.1126621, 4.0814602 51.1114017, 4.0815076 51.1113231, 4.0815186 51.1112184)",,,,
145819390,Kouterstraat,residential,,False,False,184.087,"LINESTRING (4.084184 51.1109882, 4.0837076 51.1109068, 4.0834548 51.110994, 4.0834047 51.1110113, 4.0829372 51.1111717, 4.0827829 51.1112141, 4.082543 51.1112309, 4.0816881 51.1112207)",,,,
145819396,Schietakkerstraat,residential,,False,False,121.77699999999999,"LINESTRING (4.084184 51.1109882, 4.084283 51.1103531, 4.0843659 51.1099974, 4.0844592 51.1099194)",,,,
115775463,Molendreef,residential,,False,False,48.713,"LINESTRING (4.0868309 51.1133055, 4.0874973 51.1134355)",,,,
145819392,Molenstraat,residential,,False,True,23.419,"LINESTRING (4.0868309 51.1133055, 4.0865205 51.1132256)",,,,
115775463,Molendreef,residential,,False,True,48.713,"LINESTRING (4.0874973 51.1134355, 4.0868309 51.1133055)",,,,
115775463,Molendreef,residential,,False,False,125.033,"LINESTRING (4.0874973 51.1134355, 4.0876272 51.1134713, 4.0876649 51.1134813, 4.0890341 51.1138509, 4.0891425 51.1138801)",,,,
145819399,Zuidermolen,residential,,False,False,115.3,"LINESTRING (4.0874973 51.1134355, 4.0876235 51.1131734, 4.0876712 51.1130949, 4.0877045 51.1131016, 4.0887001 51.1133045)",,,,
"[1249830631, 61692117, 521578423]","['Gentstraat', 'Vierschaar']",residential,,False,True,110.23,"LINESTRING (4.0843899 51.109819, 4.0842407 51.1098007, 4.0840501 51.1097549, 4.0839342 51.1097301, 4.0838415 51.1097214, 4.0836918 51.1097256, 4.0836346 51.1097286, 4.0833874 51.1097222, 4.0831183 51.1096847, 4.0829454 51.1096529, 4.0828567 51.1096295)",,,,
145819396,Schietakkerstraat,residential,,False,True,12.261,"LINESTRING (4.0843899 51.109819, 4.0844112 51.1098669, 4.0844592 51.1099194)",,,,
