osmid,ref,name,highway,width,oneway,reversed,length,geometry,bridge,maxspeed,lanes,access
"[155591984, 197248018, 1073544283, 163972228]",N833,Rue du Comte Théodule d'Ursel,secondary,6,False,True,164.54100000000003,"LINESTRING (5.4560748 50.3530559, 5.4563184 50.3529652, 5.4565564 50.3527878, 5.4565891 50.3527358, 5.4566057 50.3527035, 5.4566021 50.3526513, 5.4565971 50.3526134, 5.4565768 50.3525635, 5.45655 50.35252, 5.4565369 50.3524978, 5.4564976 50.3524409, 5.456454 50.3523579, 5.4563836 50.3522647, 5.4563644 50.3522444, 5.4562871 50.3522065, 5.4560807 50.352132, 5.4557827 50.3520459, 5.4556935 50.3520149)",,,,
"[439477776, 53334772, 53334773]",N833,Rue du Comte Théodule d'Ursel,secondary,6,False,False,46.588,"LINESTRING (5.4560748 50.3530559, 5.4560409 50.3530663, 5.45557 50.3532216, 5.4554922 50.3532491)",yes,,,
"[95933444, 480899741]",,Chemin touristique,unclassified,,False,False,85.023,"LINESTRING (5.4568042 50.353946, 5.4569969 50.354106, 5.4570144 50.35416, 5.4570022 50.3542181, 5.4569751 50.354271, 5.4569005 50.3543639, 5.4568552 50.3544474, 5.4568252 50.354565, 5.4568212 50.3546465)",,50,,
163972225,,Avenue Hubert Phillipart,residential,,True,False,111.858,"LINESTRING (5.4568042 50.353946, 5.4567278 50.3538818, 5.4563537 50.3534352, 5.4560748 50.3530559)",,,,
"[439477776, 53334772, 53334773]",N833,Rue du Comte Théodule d'Ursel,secondary,6,False,True,46.588,"LINESTRING (5.4554922 50.3532491, 5.45557 50.3532216, 5.4560409 50.3530663, 5.4560748 50.3530559)",yes,,,
149649389,N833,Fond de Vedeur,secondary,,False,False,352.03700000000003,"LINESTRING (5.4554922 50.3532491, 5.455429 50.3532794, 5.455311 50.3533456, 5.4551963 50.3534513, 5.4551556 50.3534991, 5.4551163 50.3535908, 5.4551022 50.3536282, 5.4550626 50.3538265, 5.4549674 50.354281, 5.4549339 50.3543947, 5.4548815 50.3544991, 5.454741 50.3546917, 5.4546257 50.3548375, 5.4544937 50.3550394, 5.4544559 50.3551478, 5.45444 50.3552977, 5.4544601 50.3555664, 5.4545452 50.3558443, 5.4546302 50.3559948, 5.4548314 50.3562059)",,50,2,
"[1125677715, 37806684]",,Avenue Louis de Loncin,residential,,False,False,342.409,"LINESTRING (5.4554922 50.3532491, 5.4556436 50.3533893, 5.4557139 50.3535467, 5.4557281 50.3537578, 5.4555492 50.3541403, 5.4554135 50.3544464, 5.4552681 50.3547401, 5.4551903 50.3549313, 5.4550338 50.3552228, 5.4549372 50.3554487, 5.4548811 50.3555419, 5.4548314 50.3557208, 5.4548343 50.3559092, 5.4548598 50.3561134, 5.4548314 50.3562059)",,,,
"[1174788432, 1083712014]",,Rue de la Haie Himbe,residential,5,False,False,336.15299999999996,"LINESTRING (5.4554922 50.3532491, 5.4553999 50.3531953, 5.4553427 50.3531795, 5.4552742 50.3531706, 5.4551948 50.3531742, 5.4551122 50.3531876, 5.4550138 50.3532095, 5.4548233 50.3532666, 5.45467 50.3533093, 5.4544945 50.3533293, 5.4542792 50.3533151, 5.4539791 50.3532628, 5.4534348 50.3531245, 5.4531669 50.3530598, 5.4530635 50.35304, 5.4528643 50.3529982, 5.4527125 50.3529272, 5.4525709 50.3528149, 5.4524091 50.3526716, 5.4523281 50.3526083, 5.4522352 50.3525555, 5.4519963 50.352434, 5.4516281 50.3522825, 5.4515371 50.3522459, 5.4514484 50.3521739)",,,,
404929900,,Neuve Voie,tertiary,,False,True,222.02399999999994,"LINESTRING (5.4524451 50.3490662, 5.4524534 50.3490975, 5.4524858 50.3491166, 5.4525789 50.3491669, 5.4527378 50.3492717, 5.4529268 50.3493874, 5.4530737 50.3494811, 5.4532169 50.3496019, 5.4533645 50.3497373, 5.4535565 50.3498676, 5.4539417 50.350097, 5.4543395 50.3503236, 5.4544964 50.3504143, 5.4545568 50.3504477, 5.4545916 50.3504772, 5.4546071 50.3504931)",,,,
552670887,,Neuve Voie,tertiary,5,False,False,253.16499999999996,"LINESTRING (5.4524451 50.3490662, 5.4524798 50.3490478, 5.4525301 50.3490455, 5.452578 50.349057, 5.4527954 50.3491324, 5.4529288 50.349177, 5.4534851 50.3493377, 5.4537759 50.3494273, 5.4544273 50.3496383, 5.4544774 50.3496506, 5.4546027 50.3496814, 5.4548198 50.3497252, 5.4549867 50.3497565, 5.4552026 50.34978, 5.4553563 50.3497896, 5.4555429 50.3497895, 5.4557523 50.3497854)",,,,
404302162,N833,Rue du Comte Théodule d'Ursel,secondary,5,False,False,55.509,"LINESTRING (5.4541087 50.3513487, 5.4541873 50.3514051, 5.4544364 50.3515839, 5.4546606 50.3517004)",,50,,
404929900,,Neuve Voie,tertiary,,False,False,104.71,"LINESTRING (5.4541087 50.3513487, 5.4542181 50.3512728, 5.4542577 50.3512381, 5.4543791 50.3510616, 5.4545809 50.3507283, 5.4546202 50.3506457, 5.4546433 50.3505654, 5.4546339 50.3505204, 5.4546071 50.3504931)",,,,
404929900,,Neuve Voie,tertiary,,False,False,222.024,"LINESTRING (5.4546071 50.3504931, 5.4545916 50.3504772, 5.4545568 50.3504477, 5.4544964 50.3504143, 5.4543395 50.3503236, 5.4539417 50.350097, 5.4535565 50.3498676, 5.4533645 50.3497373, 5.4532169 50.3496019, 5.4530737 50.3494811, 5.4529268 50.3493874, 5.4527378 50.3492717, 5.4525789 50.3491669, 5.4524858 50.3491166, 5.4524534 50.3490975, 5.4524451 50.3490662)",,,,
404929900,,Neuve Voie,tertiary,,False,True,104.71,"LINESTRING (5.4546071 50.3504931, 5.4546339 50.3505204, 5.4546433 50.3505654, 5.4546202 50.3506457, 5.4545809 50.3507283, 5.4543791 50.3510616, 5.4542577 50.3512381, 5.4542181 50.3512728, 5.4541087 50.3513487)",,,,
30219425,,Place aux Foires,residential,,True,False,53.727000000000004,"LINESTRING (5.4550053 50.3518115, 5.4552081 50.3516644, 5.4553326 50.3515705, 5.4554202 50.3515142, 5.4555265 50.3514631)",,,,
"[134884826, 134884827, 149649373]",N833,Rue du Comte Théodule d'Ursel,secondary,"['5', '6']",False,False,53.818000000000005,"LINESTRING (5.4550053 50.3518115, 5.4551034 50.351843, 5.455644 50.3520014, 5.4556935 50.3520149)",yes,,,
404302162,N833,Rue du Comte Théodule d'Ursel,secondary,5,False,True,27.405,"LINESTRING (5.4550053 50.3518115, 5.454926 50.3517881, 5.4546606 50.3517004)",,50,,
54988036,,Rue de la Haie Himbe,residential,5,False,True,183.67300000000003,"LINESTRING (5.4494541 50.3511369, 5.4495199 50.3511657, 5.4506821 50.351674, 5.4510997 50.3519035, 5.4512413 50.3520122, 5.4514484 50.3521739)",,,,
"[769231754, 88497911]",,Place aux Foires,residential,,True,False,63.57599999999999,"LINESTRING (5.4558959 50.3515113, 5.4559686 50.3515701, 5.4559972 50.3516227, 5.4559874 50.3516776, 5.4556935 50.3520149)",,,,
"[95933440, 163972231, 1083712009, 668687497, 552670893]",,"['Place aux Foires', 'Avenue Hubert Phillipart']",residential,,True,False,469.9320000000001,"LINESTRING (5.4558959 50.3515113, 5.4560772 50.3514562, 5.4563041 50.3514131, 5.4564512 50.3513919, 5.4565838 50.351383, 5.4567191 50.3513776, 5.4568542 50.3513858, 5.45697 50.3514006, 5.4570688 50.3514248, 5.4573207 50.3515361, 5.4574773 50.3516038, 5.4578835 50.3518462, 5.4581121 50.3519952, 5.4583877 50.3521659, 5.4584464 50.3522322, 5.4584623 50.3522941, 5.4584533 50.3523479, 5.4585552 50.3525433, 5.458592 50.3526336, 5.4586061 50.3527126, 5.4586025 50.3528032, 5.4585827 50.3528811, 5.4585392 50.3529745, 5.4584997 50.3529931, 5.4584198 50.3530264, 5.4583398 50.3530758, 5.4581976 50.3531738, 5.4580769 50.3532306, 5.4577415 50.3533538, 5.4575283 50.3534558, 5.457483 50.3534806, 5.4574572 50.3534947, 5.4570206 50.3537587, 5.4568981 50.3538501, 5.4568042 50.353946)",,,,
"[134884826, 134884827, 149649373]",N833,Rue du Comte Théodule d'Ursel,secondary,"['5', '6']",False,True,53.818000000000005,"LINESTRING (5.4556935 50.3520149, 5.455644 50.3520014, 5.4551034 50.351843, 5.4550053 50.3518115)",yes,,,
"[155591984, 197248018, 1073544283, 163972228]",N833,Rue du Comte Théodule d'Ursel,secondary,6,False,False,164.54100000000003,"LINESTRING (5.4556935 50.3520149, 5.4557827 50.3520459, 5.4560807 50.352132, 5.4562871 50.3522065, 5.4563644 50.3522444, 5.4563836 50.3522647, 5.456454 50.3523579, 5.4564976 50.3524409, 5.4565369 50.3524978, 5.45655 50.35252, 5.4565768 50.3525635, 5.4565971 50.3526134, 5.4566021 50.3526513, 5.4566057 50.3527035, 5.4565891 50.3527358, 5.4565564 50.3527878, 5.4563184 50.3529652, 5.4560748 50.3530559)",,,,
53294434,,Rue des Comtes du Luxembourg,tertiary,4,False,False,82.694,"LINESTRING (5.4589923 50.3488049, 5.4601432 50.3486878)",,,,
95453562,,Rue de Saint-Amour,residential,4,False,False,227.812,"LINESTRING (5.4589923 50.3488049, 5.4592175 50.3490637, 5.4595088 50.349293, 5.4611065 50.3503347)",,,,
552670888,,Neuve Voie,tertiary,5,False,True,255.64600000000002,"LINESTRING (5.4589923 50.3488049, 5.458432 50.3489199, 5.4580042 50.3490388, 5.4575737 50.3491638, 5.4575603 50.349169, 5.4569593 50.3494001, 5.4564418 50.349599, 5.4562439 50.349675, 5.4560075 50.3497398, 5.4557523 50.3497854)",,,,
95453562,,Rue de Saint-Amour,residential,4,False,True,227.812,"LINESTRING (5.4611065 50.3503347, 5.4595088 50.349293, 5.4592175 50.3490637, 5.4589923 50.3488049)",,,,
437872073,,Rue du Plâtre,residential,4,False,False,70.693,"LINESTRING (5.4611065 50.3503347, 5.4610079 50.3506261, 5.4609564 50.3507661, 5.4608818 50.350954)",,,,
570285198,,Rue de Saint-Amour,residential,4,False,False,137.13,"LINESTRING (5.4611065 50.3503347, 5.4615139 50.350613, 5.4616739 50.3507038, 5.4620074 50.3508691, 5.4625997 50.3511065)",,,,
474073626,,,residential,,False,False,25.211,"LINESTRING (5.4554669 50.35133, 5.4552252 50.3511638)",,,,
