osmid,oneway,name,highway,access,reversed,length,geometry,lanes,ref,maxspeed,junction
103577102,True,Rue des Archers,residential,destination,False,65.571,"LINESTRING (3.8951326 50.4106378, 3.8950457 50.4106747, 3.8945436 50.4108877, 3.894372 50.4109731)",,,,
"[865951666, 103985011]",False,Rue des Alliés,secondary,,False,116.47200000000001,"LINESTRING (3.8951326 50.4106378, 3.8949604 50.4104088, 3.8947408 50.4100744, 3.8946107 50.4098763, 3.8945528 50.4097593, 3.8945443 50.409742, 3.8945005 50.4096719)",2,N544,30,
865951666,False,Rue des Alliés,secondary,,True,45.042,"LINESTRING (3.8951326 50.4106378, 3.8952472 50.4107621, 3.8953132 50.4108164, 3.8954032 50.4108842, 3.8955326 50.4109466)",2,N544,30,
84934303,True,Rue Dufrane-Friart,residential,,False,47.052,"LINESTRING (3.8993528 50.4134495, 3.8992514 50.4134869, 3.8988928 50.4136637, 3.8988729 50.4137219)",,,,
573245462,False,Rue de Grande-Bretagne,secondary,,False,183.275,"LINESTRING (3.8993528 50.4134495, 3.8987867 50.4129905, 3.8987331 50.4129495, 3.8986794 50.412905, 3.898084 50.4124435, 3.8977165 50.4121734)",2,N544,50,
84934301,True,Rue Franklin Roosevelt,residential,,False,158.005,"LINESTRING (3.8955326 50.4109466, 3.8956481 50.4108823, 3.8961024 50.4106702, 3.8967169 50.4103783, 3.8973558 50.4101319)",,,,
499900604,False,Rue Hankar,residential,,True,73.693,"LINESTRING (3.8955326 50.4109466, 3.8954025 50.4110218, 3.8947368 50.4113731)",,,,
573245462,False,Rue de Grande-Bretagne,secondary,,True,50.153999999999996,"LINESTRING (3.8955326 50.4109466, 3.8956629 50.411007, 3.896106 50.411211)",2,N544,50,
865951666,False,Rue des Alliés,secondary,,False,45.042,"LINESTRING (3.8955326 50.4109466, 3.8954032 50.4108842, 3.8953132 50.4108164, 3.8952472 50.4107621, 3.8951326 50.4106378)",2,N544,30,
943613636,False,Rue Ferrer,secondary,yes,True,36.541,"LINESTRING (3.8972592 50.4057575, 3.8977654 50.405695)",2,N546,50,
713715610,False,Rue Ferrer,secondary,yes,False,74.71199999999999,"LINESTRING (3.8972592 50.4057575, 3.8971858 50.4057669, 3.8967748 50.4058181, 3.8966408 50.4058434, 3.896465 50.4058866, 3.8962558 50.4059511)",2,N546,50,
126100868,False,Rue Léon Dufuisseaux,secondary,yes,True,25.967,"LINESTRING (3.8944454 50.4066401, 3.8947543 50.4065145)",2,N546,50,
62323473,True,Rue Charles Rogier,residential,,False,177.81900000000002,"LINESTRING (3.8944454 50.4066401, 3.8950225 50.4073344, 3.8956764 50.408033)",,,,
126100868,False,Rue Léon Dufuisseaux,secondary,yes,False,80.517,"LINESTRING (3.8944454 50.4066401, 3.8936085 50.4069549, 3.8934522 50.4069873)",2,N546,50,
84892726,True,Rue Franklin Roosevelt,residential,,False,136.529,"LINESTRING (3.8973558 50.4101319, 3.8975327 50.41007, 3.8983132 50.4098226, 3.8988372 50.4096779, 3.8990773 50.4095836)",,,,
123468522,False,Rue de Lille,residential,,True,138.012,"LINESTRING (3.8973558 50.4101319, 3.8968883 50.4095446, 3.8965118 50.4090802, 3.8964686 50.409027)",,,,
62323473,True,Rue Charles Rogier,residential,,False,123.968,"LINESTRING (3.8956764 50.408033, 3.8964213 50.4089677, 3.8964686 50.409027)",,,,
84892718,False,Rue du Marais,residential,,False,181.784,"LINESTRING (3.8956764 50.408033, 3.8967869 50.4076332, 3.8969104 50.4076017, 3.8975658 50.407471, 3.8976513 50.4074472, 3.8979577 50.4073076)",,,,
115730551,False,Rue des Dames,residential,,False,14.432,"LINESTRING (3.8948269 50.4114895, 3.8947368 50.4113731)",,,,
115730551,False,Rue des Dames,residential,,True,51.29,"LINESTRING (3.8948269 50.4114895, 3.8950242 50.4117635, 3.8950601 50.4118265, 3.8951027 50.4119152)",,,,
