osmid,oneway,ref,name,highway,maxspeed,access,reversed,length,geometry,lanes,junction,tunnel
"[291836164, 144263774, 298589719]",False,N91,Chaussée de Louvain,primary,50,yes,"[False, True]",283.843,"LINESTRING (4.9121833 50.5919409, 4.9112368 50.5928059, 4.9106972 50.5932991, 4.9106633 50.5933301, 4.9102202 50.593735, 4.9100636 50.5938776, 4.9098902 50.5940378)",,,
313595501,False,N91,Chaussée de Louvain,primary,50,yes,True,31.832,"LINESTRING (4.9121833 50.5919409, 4.9123376 50.5918381, 4.9124553 50.5917646, 4.9124921 50.5917328)",,,
313631850,False,N91,Chaussée de Louvain,primary,50,yes,False,33.49,"LINESTRING (4.9121833 50.5919409, 4.9122825 50.5918121, 4.9123454 50.591712, 4.9123805 50.5916672)",,,
"[291836164, 144263774, 298589719]",False,N91,Chaussée de Louvain,primary,50,yes,"[False, True]",283.843,"LINESTRING (4.9098902 50.5940378, 4.9100636 50.5938776, 4.9102202 50.593735, 4.9106633 50.5933301, 4.9106972 50.5932991, 4.9112368 50.5928059, 4.9121833 50.5919409)",,,
144263778,False,N972,Rue du Collège,secondary,50,,True,22.173000000000002,"LINESTRING (4.9098902 50.5940378, 4.9097578 50.5939762, 4.9096253 50.5939316)",,,
173433947,False,N91,Chaussée de Louvain,primary,50,yes,False,87.006,"LINESTRING (4.9098902 50.5940378, 4.9097312 50.5941766, 4.9095858 50.5943077, 4.9094281 50.5944499, 4.9092592 50.5946023, 4.9091773 50.5946761)",,,
922529612,False,,Rue de la Gare,residential,30,,False,34.301,"LINESTRING (4.9098902 50.5940378, 4.9100173 50.5941046, 4.9101172 50.5941766, 4.9101319 50.5942452, 4.910136 50.5942642, 4.9101401 50.5942834)",,,
55822240,False,,Rue de l'Aurore,residential,30,,False,77.054,"LINESTRING (4.9084681 50.5953476, 4.9085668 50.5953966, 4.9086308 50.5954275, 4.9092064 50.5956885, 4.9093011 50.5957846)",,,
"[625262580, 291836165]",False,N91,Chaussée de Louvain,primary,50,yes,False,91.172,"LINESTRING (4.9084681 50.5953476, 4.9083845 50.5954252, 4.9077137 50.5960131)",2,,
"[173433947, 625262580]",False,N91,Chaussée de Louvain,primary,50,yes,True,89.90899999999999,"LINESTRING (4.9084681 50.5953476, 4.9085189 50.5952961, 4.9085432 50.5952714, 4.9087275 50.5950903, 4.9091773 50.5946761)",,,
31563282,False,N991,Route de Ramillies,secondary,50,,False,86.659,"LINESTRING (4.9127821 50.5926408, 4.912687 50.5918638)",2,,
85643953,False,N991,Route de Ramillies,secondary,50,,False,332.69100000000003,"LINESTRING (4.9127821 50.5926408, 4.9129437 50.5938308, 4.9129796 50.5940952, 4.9131869 50.5956217)",,,
31563282,False,N991,Route de Ramillies,secondary,50,,True,86.659,"LINESTRING (4.912687 50.5918638, 4.9127821 50.5926408)",2,,
313715379,True,N991,Rue de Ramillies,secondary,50,,False,17.948,"LINESTRING (4.912687 50.5918638, 4.9126292 50.5918043, 4.9125729 50.5917617, 4.9125416 50.5917318)",,,
41267866,True,,,residential,30,,False,18.872999999999998,"LINESTRING (4.910414 50.5956055, 4.9104579 50.5956053, 4.9104989 50.5956152, 4.9105317 50.5956338, 4.910552 50.5956594, 4.9105559 50.595688, 4.9105428 50.5957155)",,roundabout,
144263779,False,,Rue de la Gare,residential,30,,True,98.511,"LINESTRING (4.910414 50.5956055, 4.9104071 50.5955565, 4.9102353 50.5947269)",,,
173434044,True,,,residential,30,,False,18.444,"LINESTRING (4.9105428 50.5957155, 4.910509 50.5957408, 4.9104614 50.5957546, 4.9104092 50.5957542, 4.9103622 50.5957397, 4.9103294 50.5957139)",,roundabout,
