osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,lanes,junction
13244031,N4,Chaussée de Bruxelles,primary,50,False,False,127.292,"LINESTRING (4.6131402 50.7187966, 4.6130222 50.7188751, 4.6118408 50.7195925)",,,,
"[31821458, 1094414405]",,Rue Saint-Roch,residential,,True,False,142.06900000000002,"LINESTRING (4.6131402 50.7187966, 4.6132759 50.7188587, 4.6135625 50.7190139, 4.6138398 50.7191927, 4.6140992 50.7193749, 4.6143532 50.7195677, 4.6143903 50.7195966, 4.6144303 50.7196277, 4.6145384 50.719712)",,,,
"[36252265, 592484991]",N4,Avenue Auguste Mattagne,primary,"['30', '50']",False,True,190.077,"LINESTRING (4.6131402 50.7187966, 4.613244 50.7187272, 4.6135318 50.7185056, 4.6138155 50.7182871, 4.6143748 50.7178592, 4.6148732 50.7174861)",,,,
1044265542,N4,Chaussée de Bruxelles,primary,50,False,True,32.215,"LINESTRING (4.6104131 50.720424, 4.6107476 50.7202263)",,,,
"[501390164, 38100455]",,Avenue des Mésanges,tertiary,30,False,True,158.80200000000002,"LINESTRING (4.6104131 50.720424, 4.610305 50.7203535, 4.6101577 50.7202434, 4.6099465 50.7200558, 4.6093504 50.7196607, 4.6089874 50.7194242, 4.6088999 50.7193678)",,,,
40149337,N4,Chaussée de Bruxelles,primary,50,False,False,73.06400000000001,"LINESTRING (4.6104131 50.720424, 4.610335 50.7204729, 4.6096582 50.7208749)",,,,
13240329,,Rue du Chemin de Fer,tertiary,30,False,True,20.246,"LINESTRING (4.6069646 50.7169167, 4.606873 50.71694, 4.6068117 50.7169556, 4.6066944 50.7169786)",,,,
"[13264606, 13240335]",,"['Place Henri Berger', 'Rue des Volontaires']",residential,30,False,False,115.57100000000001,"LINESTRING (4.6069646 50.7169167, 4.6068618 50.7168076, 4.6067582 50.7166892, 4.606682 50.7165751, 4.6065575 50.716378, 4.6064747 50.7162454, 4.6063954 50.7161183, 4.6063679 50.7160744, 4.6063488 50.7160341, 4.606316 50.7159649)",,,,
365267813,,Rue du Chemin de Fer,tertiary,30,False,True,51.525999999999996,"LINESTRING (4.6069646 50.7169167, 4.6071898 50.7168758, 4.6076437 50.7167467)",7,,,
"[286982865, 13244038]",,Rue Théophile Piat,residential,"['30', '50']",True,False,120.345,"LINESTRING (4.6061802 50.7156583, 4.6061543 50.7155195, 4.6060687 50.7151659, 4.605644 50.7146466)",,,,
