osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access,junction
114490903,Millennium Highway,tertiary,False,False,61.607,"LINESTRING (-60.9931004 14.0081837, -60.9929395 14.0081551, -60.9925405 14.0082352)",,,,,
114490903,Millennium Highway,tertiary,False,True,149.706,"LINESTRING (-60.9931004 14.0081837, -60.9933123 14.0082592, -60.9934276 14.0083372, -60.9935403 14.0084309, -60.993623 14.0085651, -60.993788 14.0088019, -60.9938976 14.008925, -60.9940263 14.0090082, -60.9941143 14.0090425)",,,,,
298104246,La Pansee Road,tertiary,False,True,23.714,"LINESTRING (-60.9865282 14.0108487, -60.9864323 14.0110406)",2,,,,
25578106,Jeremie Street,tertiary,False,False,128.514,"LINESTRING (-60.9865282 14.0108487, -60.9870338 14.010876, -60.9877165 14.0109281)",2,,,,
114590845,Chaussée Road,tertiary,False,False,55.083,"LINESTRING (-60.9865282 14.0108487, -60.9866275 14.0106125, -60.9866841 14.0104778, -60.986721 14.01039)",2,,,,
26447425,Government House Road,tertiary,False,False,416.89,"LINESTRING (-60.9924374 14.0071347, -60.9925366 14.0066617, -60.9925567 14.0065745, -60.9925762 14.0065387, -60.9925956 14.0065173, -60.9926191 14.0065036, -60.9926439 14.0064997, -60.9926714 14.0065004, -60.9927304 14.0065368, -60.9927928 14.0065765, -60.9928672 14.0066116, -60.9929423 14.0066298, -60.993067 14.0066402, -60.9932092 14.0066402, -60.9932749 14.0066428, -60.99335 14.0066585, -60.9933849 14.0066624, -60.9934325 14.0066591, -60.99347 14.00665, -60.9934942 14.0066324, -60.993519 14.0066051, -60.9935364 14.00657, -60.9935458 14.0065296, -60.9935391 14.0064633, -60.993519 14.0064125, -60.9933534 14.0061354, -60.993342 14.006108, -60.9933332 14.0060716, -60.9933292 14.0060397, -60.9933319 14.0060091, -60.9933399 14.0059851, -60.993354 14.0059656, -60.9933775 14.0059493, -60.993413 14.0059382, -60.9934513 14.0059298, -60.9935062 14.0059291, -60.9935652 14.0059395, -60.9936068 14.0059532, -60.9936766 14.0059831, -60.9937812 14.0060391, -60.9939317 14.0061505, -60.9943039 14.0064889, -60.9943708 14.0065152, -60.994436 14.0065408, -60.9946314 14.0065479)",,30 mph,,,
114490897,Bridge Street,tertiary,True,False,126.227,"LINESTRING (-60.9924374 14.0071347, -60.9924616 14.0071623, -60.9925466 14.0073064, -60.9925798 14.0074723, -60.9925722 14.0077099, -60.9925405 14.0082352)",,,,,
298104247,Jeremie Street,primary,False,True,10.578,"LINESTRING (-60.99163 14.0109854, -60.9915321 14.0109906)",2,,,,
398383526,Jeremie Street,primary,False,False,39.563,"LINESTRING (-60.99163 14.0109854, -60.9919967 14.0109826)",4,,,,
114490896,Bridge Street,tertiary,True,False,31.855,"LINESTRING (-60.9925405 14.0082352, -60.9925174 14.0085208)",1,,yes,,
114490903,Millennium Highway,tertiary,False,True,61.607,"LINESTRING (-60.9925405 14.0082352, -60.9929395 14.0081551, -60.9931004 14.0081837)",,,,,
298104245,Brazil Street,tertiary,False,True,45.898,"LINESTRING (-60.991309 14.0084354, -60.9917327 14.0084725)",2,,,,
298104245,Brazil Street,tertiary,False,False,101.676,"LINESTRING (-60.991309 14.0084354, -60.990928 14.0084172, -60.9903673 14.0084005)",2,,,,
1043317915,Jeremie Street,primary,False,True,20.76,"LINESTRING (-60.9901951 14.0110336, -60.9900027 14.0110368)",2,,,,
298104247,Jeremie Street,primary,False,False,48.074999999999996,"LINESTRING (-60.9901951 14.0110336, -60.9902318 14.0110314, -60.9906403 14.0110154)",2,,,,
"[25578218, 115579764, 115579762]",Laborie Street,residential,False,False,61.598,"LINESTRING (-60.9903859 14.0078469, -60.9903862 14.0078739, -60.9903839 14.0080287, -60.9903673 14.0084005)",,,yes,,
114590867,Riverside Road,tertiary,True,False,99.26,"LINESTRING (-60.9886236 14.0068135, -60.9889845 14.0071019, -60.989068 14.0072161, -60.9891317 14.0073456, -60.9891296 14.0075011)",2,,,,
25578106,Jeremie Street,tertiary,False,False,91.338,"LINESTRING (-60.9877165 14.0109281, -60.9883137 14.0109688, -60.988552 14.010985, -60.988561 14.010986)",2,,,,
25578106,Jeremie Street,tertiary,False,True,128.514,"LINESTRING (-60.9877165 14.0109281, -60.9870338 14.010876, -60.9865282 14.0108487)",2,,,,
388286514,Micoud Street,tertiary,True,False,61.031,"LINESTRING (-60.9872823 14.0090653, -60.9878472 14.0090943)",1,,,,
1041293138,Chaussée Road,tertiary,False,False,51.183,"LINESTRING (-60.9872823 14.0090653, -60.9874748 14.0086446)",2,,,,
1041293138,Chaussée Road,tertiary,False,True,33.955,"LINESTRING (-60.9872823 14.0090653, -60.9871751 14.0093524)",2,,,,
352882426,Chisel Street,unclassified,True,False,50.195,"LINESTRING (-60.9878472 14.0090943, -60.9878145 14.0095446)",,,,,
388286514,Micoud Street,tertiary,True,False,61.968,"LINESTRING (-60.9878472 14.0090943, -60.9884206 14.0091268)",1,,,,
388286514,Micoud Street,tertiary,True,False,59.033,"LINESTRING (-60.9884206 14.0091268, -60.9889675 14.0091434)",1,,,,
388290516,Coral Street,residential,True,False,88.91,"LINESTRING (-60.9884206 14.0091268, -60.9884893 14.00833)",,,,,
388286514,Micoud Street,tertiary,True,False,51.297,"LINESTRING (-60.9898283 14.0091927, -60.9903033 14.0092131)",1,,,,
114490898,Peynier Street,tertiary,True,False,90.92099999999999,"LINESTRING (-60.9898283 14.0091927, -60.9898483 14.008886, -60.9898943 14.0083776)",,15 mph,,,
388286514,Micoud Street,tertiary,True,False,44.399,"LINESTRING (-60.9912533 14.0092626, -60.991664 14.0092879)",1,,,,
388290515,Bourbon Street,unclassified,True,False,92.20100000000001,"LINESTRING (-60.9912533 14.0092626, -60.9912546 14.0091845, -60.9912958 14.0087072, -60.9913027 14.00856, -60.991309 14.0084354)",,,,,
25578273,Micoud Street,tertiary,True,False,33.859,"LINESTRING (-60.992454 14.0093236, -60.9921404 14.0093117)",1,,,,
1268835193,Micoud Street,tertiary,False,True,63.104,"LINESTRING (-60.992454 14.0093236, -60.9927706 14.0093369, -60.992973 14.0093431, -60.9930293 14.0093756)",2,,,,
114590845,Chaussée Road,tertiary,False,True,61.543,"LINESTRING (-60.9871318 14.0094855, -60.9868764 14.0099804)",2,,,,
1041293139,Chaussée Road,tertiary,False,False,15.52,"LINESTRING (-60.9871318 14.0094855, -60.9871751 14.0093524)",2,,,,
