osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,junction
"[185780818, 60632947, 60632950]",2,N71,Clonakilty Relief Road,primary,False,False,43.864999999999995,yes,"LINESTRING (-8.8863431 51.621867, -8.8863744 51.6218435, -8.8864288 51.6217959, -8.8864719 51.6217361, -8.8864893 51.6217069, -8.8865359 51.6215819, -8.8865442 51.6215014)",,
"[1160983853, 24961966]",2,N71,Clonakilty Relief Road,primary,False,True,260.19,,"LINESTRING (-8.8863431 51.621867, -8.8862186 51.621905, -8.8861461 51.6219141, -8.8860426 51.6219271, -8.885972 51.6219283, -8.885576 51.621935, -8.8851053 51.621991, -8.8845891 51.6220832, -8.8842702 51.6221477, -8.8840706 51.6221931, -8.883483 51.622343, -8.883291 51.622408, -8.883096 51.622483, -8.882919 51.622556, -8.8828217 51.6226034)",50,
1186324392,,,Clarke Street,unclassified,False,False,26.984,,"LINESTRING (-8.8863431 51.621867, -8.8864489 51.6219971, -8.8864633 51.6220491, -8.8864555 51.622093)",,
1089028841,2,N71,Casement Street,primary,False,False,120.238,,"LINESTRING (-8.8868712 51.6213558, -8.8870106 51.6213585, -8.8873217 51.6213764, -8.8883854 51.621458, -8.8886026 51.6214695)",,
1147603542,2,N71,Casement Street,primary,True,False,12.886,,"LINESTRING (-8.8868712 51.6213558, -8.8868089 51.6213603, -8.8867597 51.6213672, -8.8866934 51.6213869)",,
1089028841,2,N71,Casement Street,primary,False,False,17.857,,"LINESTRING (-8.8891492 51.6214716, -8.8892632 51.6214548, -8.8893954 51.6214235)",,
1089028841,2,N71,Casement Street,primary,False,True,37.853,,"LINESTRING (-8.8891492 51.6214716, -8.8890213 51.6214823, -8.8888333 51.6214785, -8.8886026 51.6214695)",,
308163485,2,N71,Larkin Street,primary,False,True,13.484,,"LINESTRING (-8.8895372 51.6213401, -8.8893954 51.6214235)",,
24961969,,,,residential,False,True,125.692,,"LINESTRING (-8.8895372 51.6213401, -8.8895818 51.6213482, -8.8899798 51.6214076, -8.8906671 51.6215239, -8.8909508 51.6215775, -8.8913067 51.6215735)",,
308163485,2,N71,Larkin Street,primary,False,False,126.164,,"LINESTRING (-8.8895372 51.6213401, -8.8897453 51.6211979, -8.8899373 51.6210368, -8.8900467 51.6209449, -8.8902681 51.620759, -8.8905613 51.6205145, -8.8906709 51.6204529)",,
1186325117,2,N71,Fairfield Terrace,primary,False,False,15.383,,"LINESTRING (-8.8906709 51.6204529, -8.8908831 51.6204107)",,
34649995,,,,unclassified,False,False,97.624,,"LINESTRING (-8.8906709 51.6204529, -8.8906979 51.6203654, -8.8907575 51.620244, -8.8909479 51.6199322, -8.8910049 51.6198402, -8.8910697 51.6197467, -8.8911045 51.6196872, -8.8911074 51.6196224)",,
308163485,2,N71,Larkin Street,primary,False,True,126.16399999999999,,"LINESTRING (-8.8906709 51.6204529, -8.8905613 51.6205145, -8.8902681 51.620759, -8.8900467 51.6209449, -8.8899373 51.6210368, -8.8897453 51.6211979, -8.8895372 51.6213401)",,
1186325117,2,N71,Fairfield Terrace,primary,False,True,15.383,,"LINESTRING (-8.8908831 51.6204107, -8.8906709 51.6204529)",,
60431086,,,O’Rahilly Street,residential,False,False,122.831,,"LINESTRING (-8.8908831 51.6204107, -8.8909026 51.6204622, -8.8910661 51.6208938, -8.8910869 51.6209488, -8.8911264 51.6210603, -8.8912201 51.6213252, -8.8912777 51.6214878)",,
187809987,,,Molaga Street,residential,False,True,74.857,,"LINESTRING (-8.8798814 51.6245305, -8.880483 51.6250906)",,
364409160,2,N71,Convent Road,primary,False,False,68.168,,"LINESTRING (-8.8798814 51.6245305, -8.8801056 51.6244024, -8.8805319 51.6241626, -8.8806116 51.6241178)",50,
364409160,2,N71,Convent Road,primary,False,False,51.047,,"LINESTRING (-8.8809502 51.623927, -8.8815241 51.6236375)",50,
364409160,2,N71,Convent Road,primary,False,True,31.567,,"LINESTRING (-8.8809502 51.623927, -8.8806116 51.6241178)",50,
666683813,,,,residential,False,True,87.533,,"LINESTRING (-8.8809502 51.623927, -8.8814061 51.6243758, -8.881617 51.6245965)",,
24961966,2,N71,Clonakilty Relief Road,primary,False,False,96.396,,"LINESTRING (-8.8818723 51.6232315, -8.882064 51.623056, -8.882305 51.622883, -8.882446 51.622799, -8.8825509 51.622735, -8.8828217 51.6226034)",50,
1037496427,2,N71,Clonakilty Relief Road,primary,True,False,18.093,,"LINESTRING (-8.8818723 51.6232315, -8.8818411 51.623307, -8.8818283 51.6233914)",50,
"[1160983853, 24961966]",2,N71,Clonakilty Relief Road,primary,False,False,260.19,,"LINESTRING (-8.8828217 51.6226034, -8.882919 51.622556, -8.883096 51.622483, -8.883291 51.622408, -8.883483 51.622343, -8.8840706 51.6221931, -8.8842702 51.6221477, -8.8845891 51.6220832, -8.8851053 51.621991, -8.885576 51.621935, -8.885972 51.6219283, -8.8860426 51.6219271, -8.8861461 51.6219141, -8.8862186 51.621905, -8.8863431 51.621867)",50,
24961966,2,N71,Clonakilty Relief Road,primary,False,True,96.39600000000002,,"LINESTRING (-8.8828217 51.6226034, -8.8825509 51.622735, -8.882446 51.622799, -8.882305 51.622883, -8.882064 51.623056, -8.8818723 51.6232315)",50,
42741754,,,,unclassified,False,False,205.864,,"LINESTRING (-8.8828217 51.6226034, -8.8829413 51.6226627, -8.8830351 51.6226728, -8.8832147 51.6226762, -8.8838241 51.6226877, -8.8841236 51.6227176, -8.8843168 51.6227369, -8.8857439 51.6228793)",,
185780828,2,R880,Wolfe Tone Street,secondary,False,True,36.573,,"LINESTRING (-8.8862495 51.6232097, -8.8857252 51.6232569)",,
60431083,,,James P. O'Regan Street,unclassified,True,False,82.664,,"LINESTRING (-8.8862495 51.6232097, -8.8862521 51.6233065, -8.8862994 51.6234881, -8.8864299 51.6239436)",,
