osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,width,tunnel
14220855,True,1,N62,Liberty Square,primary,False,59.887,"LINESTRING (-7.8134539 52.6789146, -7.8137579 52.6788528, -7.8140208 52.6787993, -7.8142961 52.6787433)",,,,
181519642,False,2,N62,Slievenamon Road,primary,True,197.309,"LINESTRING (-7.8134539 52.6789146, -7.8134081 52.6788034, -7.8133601 52.6786867, -7.8130873 52.6780511, -7.8130772 52.6780235, -7.8130238 52.6778855, -7.8127704 52.6771895)",50,,,
30590458,False,2,R660,West Gate,secondary,False,22.738,"LINESTRING (-7.8142961 52.6787433, -7.8146173 52.6786809)",,,,
"[1022420251, 1018623204]",True,1,N62,Liberty Square,primary,False,40.243,"LINESTRING (-7.8142961 52.6787433, -7.8143311 52.6788191, -7.8143748 52.6789278, -7.8144356 52.6790951)",,,,
14220688,False,2,N62,Parnell Street,primary,False,254.12199999999999,"LINESTRING (-7.8144356 52.6790951, -7.8145003 52.6791531, -7.8146585 52.6793816, -7.8146929 52.6794286, -7.814735 52.6794685, -7.8147988 52.6795293, -7.8150197 52.679697, -7.8152882 52.6798891, -7.8154208 52.6799606, -7.8155887 52.6800358, -7.8159345 52.6801822, -7.8170561 52.6806761)",,,,
"[1018623205, 1018818263]",True,1,N62,Liberty Square,primary,False,29.786,"LINESTRING (-7.8144356 52.6790951, -7.8143237 52.6790994, -7.8142083 52.6791076, -7.8141352 52.679109, -7.8139949 52.6791117)",,,,
1105220241,True,1,N62,Liberty Square,primary,False,31.619,"LINESTRING (-7.8139949 52.6791117, -7.813855 52.6791176, -7.813527 52.6791313)",,,,
1022420250,True,1,N62,Liberty Square,primary,False,24.595,"LINESTRING (-7.813527 52.6791313, -7.8134539 52.6789146)",,,,
1022420252,True,1,N75,Liberty Square,primary,False,79.132,"LINESTRING (-7.813527 52.6791313, -7.8123645 52.6792298)",,,,
14223155,False,2,N75,,primary,False,57.267,"LINESTRING (-7.8111813 52.679285, -7.8107469 52.6792932, -7.8105398 52.6793024, -7.8103351 52.6793219)",50,,,
66954341,True,1,N75,Liberty Square,primary,False,77.964,"LINESTRING (-7.8111813 52.679285, -7.811642 52.6791875, -7.8119354 52.6791501, -7.8122937 52.6790974)",,,,
14220690,False,2,N62,Cúchulainn Road,primary,False,120.187,"LINESTRING (-7.8170561 52.6806761, -7.815331 52.680949)",,,,
14220688,False,2,N62,Parnell Street,primary,True,254.12199999999999,"LINESTRING (-7.8170561 52.6806761, -7.8159345 52.6801822, -7.8155887 52.6800358, -7.8154208 52.6799606, -7.8152882 52.6798891, -7.8150197 52.679697, -7.8147988 52.6795293, -7.814735 52.6794685, -7.8146929 52.6794286, -7.8146585 52.6793816, -7.8145003 52.6791531, -7.8144356 52.6790951)",,,,
"[25544874, 368065931, 368065932, 153100209, 153100210]",False,2,R498,Parnell Street,secondary,False,427.299,"LINESTRING (-7.8170561 52.6806761, -7.8180998 52.681107, -7.8189327 52.6814766, -7.8191749 52.6815822, -7.8200395 52.6819591, -7.8206162 52.6822106, -7.8209205 52.6823401, -7.8222331 52.682893)",,yes,,
575141058,False,,,Castle Avenue,residential,True,133.929,"LINESTRING (-7.8170561 52.6806761, -7.8187281 52.680255, -7.8188937 52.6802186)",50,,,
14220690,False,2,N62,Cúchulainn Road,primary,True,120.187,"LINESTRING (-7.815331 52.680949, -7.8170561 52.6806761)",,,,
14220692,True,1,N62,O'Donovan Rossa Street,primary,False,233.93800000000002,"LINESTRING (-7.815331 52.680949, -7.8153246 52.6807915, -7.8152826 52.6806339, -7.8151778 52.6804989, -7.8150026 52.6803634, -7.8144791 52.6801241, -7.8143691 52.6800362, -7.8142875 52.6799492, -7.814195 52.6797652, -7.8140903 52.679481, -7.8140325 52.6792698, -7.8139949 52.6791117)",,,,
14222023,False,2,N62,Brittas Road,primary,False,88.40599999999999,"LINESTRING (-7.815331 52.680949, -7.8152943 52.6811192, -7.8150466 52.6816134, -7.8149884 52.6817143)",50,,,
37111830,False,,,Matthew Avenue,residential,False,9.197,"LINESTRING (-7.8195432 52.6777766, -7.819554 52.6778285, -7.8195647 52.6778582)",50,,,
"[153101818, 368467447, 153101815]",False,2,R660,,secondary,True,180.762,"LINESTRING (-7.8195432 52.6777766, -7.8196403 52.6777392, -7.8197491 52.6777123, -7.8200658 52.6776506, -7.8205131 52.6775805, -7.8212803 52.6774623, -7.8214404 52.6774337, -7.8215773 52.6774093, -7.8218088 52.6773584, -7.8219854 52.6773109, -7.8220877 52.6772812)",,yes,,
368467444,False,2,R660,Friar Street,secondary,True,50.89,"LINESTRING (-7.8195432 52.6777766, -7.8193961 52.67784, -7.8192215 52.6779048, -7.8189945 52.6779702, -7.8188848 52.6779971)",,,,
856054723,False,2,,Butler Avenue,residential,True,15.237,"LINESTRING (-7.8195432 52.6777766, -7.8195387 52.6777295, -7.8195104 52.6776413)",50,,7,
25544747,False,2,L4027,,residential,False,54.107,"LINESTRING (-7.8224744 52.6814643, -7.8224427 52.6812964, -7.8224012 52.6809798)",,,,
25544747,False,2,L4027,,residential,False,32.233,"LINESTRING (-7.8223421 52.6805118, -7.8223009 52.680223)",,,,
25544747,False,2,L4027,,residential,True,52.192,"LINESTRING (-7.8223421 52.6805118, -7.8223597 52.6806633, -7.8223845 52.6808523, -7.8224012 52.6809798)",,,,
368467399,False,,L4027,,residential,True,76.739,"LINESTRING (-7.8220877 52.6772812, -7.8221909 52.6775255, -7.8222412 52.6777465, -7.8222912 52.6779592)",,,,
"[153101818, 153101815, 368467447]",False,2,R660,,secondary,False,180.76199999999997,"LINESTRING (-7.8220877 52.6772812, -7.8219854 52.6773109, -7.8218088 52.6773584, -7.8215773 52.6774093, -7.8214404 52.6774337, -7.8212803 52.6774623, -7.8205131 52.6775805, -7.8200658 52.6776506, -7.8197491 52.6777123, -7.8196403 52.6777392, -7.8195432 52.6777766)",,yes,,
573731821,False,,,,unclassified,False,161.874,"LINESTRING (-7.8094426 52.6794359, -7.8093727 52.679331, -7.8093391 52.6792195, -7.8093482 52.6791481, -7.8093549 52.6790961, -7.8093055 52.6789858, -7.8092402 52.6788839, -7.8091394 52.6787676, -7.8092165 52.6786489, -7.8093891 52.6783914, -7.8094294 52.6783313, -7.8096467 52.6780841)",,,,
