osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access,bridge,junction,width
14890414,True,2,Camden Place,tertiary,50,False,121.00999999999999,"LINESTRING (-8.4702857 51.9009777, -8.4704503 51.9009835, -8.4715063 51.9010175, -8.4720456 51.9010471)",,,,,
1054293221,False,3,MacCurtain Street,trunk,50,False,68.358,"LINESTRING (-8.4664514 51.9013256, -8.466132 51.9013179, -8.465781 51.9013143, -8.4657441 51.9013138, -8.4654572 51.9013339)",N8,yes,,,
"[727180, 127658906, 127658900, 1210047972]",False,3,"['Brian Ború Bridge', 'Brian Boru Bridge']",trunk,50,True,87.527,"LINESTRING (-8.4658342 51.8997721, -8.4658103 51.8998339, -8.4658023 51.8998628, -8.4658007 51.8998675, -8.4655999 51.9004458, -8.4655961 51.9004568, -8.4655807 51.9005431)",N8,yes,yes,,
"[159762888, 721234677]",True,"['1', '3']",Clontarf Street,secondary,50,False,43.589,"LINESTRING (-8.4658342 51.8997721, -8.465863 51.8997043, -8.4659022 51.8996063, -8.4659574 51.8994354, -8.4659522 51.8993888)",R610,,,,
"[551736897, 337008054]",True,2,Anderson's Quay,trunk,50,False,72.441,"LINESTRING (-8.4658342 51.8997721, -8.4657022 51.8997692, -8.4656629 51.8997647, -8.4652195 51.8997146, -8.4650011 51.8996972, -8.4647942 51.8996665)",N8,,,,
"[1202667907, 721218794, 721218795, 727153, 317727542]",False,"['1', '4']",Merchant's Quay,trunk,50,False,92.01,"LINESTRING (-8.4658342 51.8997721, -8.4659692 51.8997832, -8.4660438 51.8997924, -8.466184 51.8998109, -8.466494 51.899849, -8.466933 51.8999001, -8.4669882 51.8999037, -8.4670392 51.8999084, -8.4671534 51.899919)",N8,yes,,,
"[38375347, 29313477, 182814158]",True,3,Parnell Place,secondary,50,False,94.02199999999999,"LINESTRING (-8.4668815 51.8978298, -8.4669934 51.8979252, -8.4673103 51.8985045, -8.467338 51.8985583, -8.467366 51.8986125, -8.4673675 51.8986154)",R610,,,,
5364457,True,1,Emmett Place,unclassified,30,False,35.979,"LINESTRING (-8.4727007 51.899601, -8.4726276 51.8997888, -8.4725546 51.8999112)",L50462,,,,
17453746,True,1,Drawbridge Street,unclassified,30,False,19.849,"LINESTRING (-8.4727007 51.899601, -8.4725779 51.8996099, -8.4724308 51.8996569)",L50462,,,,
"[20647689, 20647714]",True,3,"['Clontarf Street', 'Clontarf Bridge']",secondary,50,False,80.009,"LINESTRING (-8.465717 51.8989623, -8.4654189 51.8984997, -8.4653518 51.8983813, -8.4653221 51.8983347, -8.4653085 51.8983134, -8.4652943 51.8982918)",R610,,,,
55637435,True,1,Oliver Plunkett Street Lower,unclassified,50,False,56.69799999999999,"LINESTRING (-8.465717 51.8989623, -8.4655492 51.8989974, -8.4650609 51.8990995, -8.4649334 51.8991241)",,,,,
55637430,True,3,Clontarf Street,secondary,50,False,50.113,"LINESTRING (-8.4659522 51.8993888, -8.4658343 51.8991568, -8.4657822 51.8990703, -8.4657709 51.8990524, -8.4657631 51.8990383, -8.465717 51.8989623)",R610,,,,
80511362,False,2,Lapp's Quay,unclassified,50,False,57.268,"LINESTRING (-8.4659065 51.8981132, -8.466659 51.8978904)",,,,,
5312339,False,2,Connell Street,unclassified,50,True,86.47399999999999,"LINESTRING (-8.4659065 51.8981132, -8.4659202 51.8981348, -8.4663347 51.89879, -8.4663637 51.8988379)",,,,,
29313475,True,2,Lapp's Quay,unclassified,50,False,46.486,"LINESTRING (-8.4659065 51.8981132, -8.4653612 51.8982767, -8.4652943 51.8982918)",,,,,
38375349,True,2,Oliver Plunkett Street Lower,tertiary,50,False,10.312,"LINESTRING (-8.4663637 51.8988379, -8.4662166 51.8988569)",,,,,
5312339,False,2,Connell Street,unclassified,50,False,86.474,"LINESTRING (-8.4663637 51.8988379, -8.4663347 51.89879, -8.4659202 51.8981348, -8.4659065 51.8981132)",,,,,
"[20647305, 1201728779, 1201728783, 1201728784, 1201728785, 1201728787, 1201728788, 1201728789, 1201728790, 1009747549, 1009747550, 1009747551]",True,"['1', '2']",Albert Quay,tertiary,50,False,121.85,"LINESTRING (-8.4649162 51.8976675, -8.4647911 51.8976984, -8.4647812 51.8977009, -8.4647612 51.8977061, -8.4647458 51.8977101, -8.4644146 51.8977962, -8.4643651 51.8978091, -8.4643199 51.8978212, -8.4642521 51.8978393, -8.4641848 51.8978573, -8.4641232 51.8978738, -8.4636248 51.8980072, -8.463588 51.8980169, -8.4635623 51.8980236, -8.463543 51.8980279, -8.4635241 51.8980321, -8.4634271 51.8980541, -8.4632733 51.8980815)",,,,,
