osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge
29702525,Castletown The Drive,residential,50,False,False,18.028,,,"LINESTRING (-6.5372726 53.3411499, -6.5371298 53.3412878)",
28490179,Main Street,secondary,50,False,False,303.05600000000004,2,R405,"LINESTRING (-6.5372726 53.3411499, -6.5374681 53.3409267, -6.5375036 53.340891, -6.5375204 53.3408736, -6.5375448 53.3408483, -6.5378442 53.3405379, -6.5379238 53.3404582, -6.5379907 53.3403914, -6.5380929 53.3402829, -6.53822 53.3401424, -6.5382414 53.3401188, -6.5383409 53.3400124, -6.5384033 53.3399472, -6.538468 53.3398782, -6.5387096 53.3396056, -6.5387558 53.3395574, -6.5388116 53.3394967, -6.5390094 53.339267, -6.5391014 53.3391611, -6.5391867 53.3390584, -6.5394289 53.338749)",
923181234,Big Lane,secondary,50,False,True,17.942,2,R405,"LINESTRING (-6.5372726 53.3411499, -6.5372948 53.3412186, -6.5373333 53.3412376, -6.5374223 53.3412687)",
"[4942369, 4942411, 4942412]",Hazelhatch Road,secondary,50,False,False,93.02799999999999,2,R403,"LINESTRING (-6.539787 53.3383422, -6.5396192 53.3382873, -6.5394119 53.3382012, -6.5392988 53.3381462, -6.5391847 53.3380859, -6.5387855 53.337897, -6.5386588 53.3378494)",yes
28490179,Main Street,secondary,50,False,True,51.104,2,R405,"LINESTRING (-6.539787 53.3383422, -6.5397303 53.3384034, -6.5394289 53.338749)",
"[329538960, 1160537524, 1160537525, 49250686]","['Clane Road', 'English Row']",secondary,,False,True,146.622,2,R403,"LINESTRING (-6.539787 53.3383422, -6.5399272 53.3382225, -6.5399371 53.3382131, -6.5401179 53.3380565, -6.5402472 53.3379524, -6.5403356 53.3378791, -6.5404188 53.3378204, -6.5405088 53.3377571, -6.5406086 53.3376955, -6.540727 53.3376389, -6.5412478 53.3374227, -6.5412948 53.3373996)",
42926590,Simmonstown Manor,tertiary,50,False,True,58.023,2,,"LINESTRING (-6.5413523 53.3347096, -6.5413003 53.3346756, -6.5412331 53.3346317, -6.5411196 53.3345513, -6.54101 53.334472, -6.540776 53.3343175)",
907071145,Temple Mills Road,tertiary,,False,False,97.149,2,L1016,"LINESTRING (-6.5413523 53.3347096, -6.5408014 53.3349704, -6.5402328 53.3352716)",
"[4942369, 4942411, 4942412]",Hazelhatch Road,secondary,50,False,True,93.02799999999999,2,R403,"LINESTRING (-6.5386588 53.3378494, -6.5387855 53.337897, -6.5391847 53.3380859, -6.5392988 53.3381462, -6.5394119 53.3382012, -6.5396192 53.3382873, -6.539787 53.3383422)",yes
28996164,Primrose Hill,secondary,50,False,True,87.182,2,R405,"LINESTRING (-6.5386588 53.3378494, -6.5384469 53.3377462, -6.5381707 53.3376255, -6.5379241 53.3375177, -6.5378428 53.3374853, -6.537613 53.3373758)",
"[907071145, 330594131]",Temple Mills Road,tertiary,,False,True,307.048,2,L1016,"LINESTRING (-6.5386588 53.3378494, -6.5386857 53.3378101, -6.538753 53.3377118, -6.5388185 53.3376166, -6.5388772 53.3375214, -6.5389124 53.3374278, -6.5389355 53.337335, -6.5389399 53.3373216, -6.5389889 53.3371713, -6.5390231 53.3370177, -6.539074 53.3368815, -6.5392001 53.336643, -6.539213 53.3366186, -6.5392314 53.3365883, -6.5395372 53.3360846, -6.5399575 53.3355602, -6.5401546 53.3353614, -6.5402328 53.3352716)",
"[24466801, 1241996606, 905450518]",Church Road,tertiary,,False,False,450.408,2,,"LINESTRING (-6.5412948 53.3373996, -6.541355 53.337424, -6.5415077 53.3374776, -6.5416417 53.3375226, -6.5416777 53.3375347, -6.5420107 53.3376286, -6.5422599 53.3376949, -6.5424447 53.337744, -6.5424746 53.337752, -6.5425239 53.3377651, -6.542685 53.337808, -6.5427309 53.3378202, -6.5427702 53.3378306, -6.5428292 53.3378463, -6.5428984 53.3378647, -6.5429796 53.3378863, -6.5430002 53.3378918, -6.5430176 53.3378964, -6.5434509 53.3380127, -6.543647 53.3380653, -6.543984 53.3381557, -6.5441968 53.3382128, -6.5442626 53.3382303, -6.5447308 53.3383544, -6.544983 53.3384213, -6.5451742 53.338472, -6.5452861 53.3385028, -6.5453367 53.3385167, -6.5460694 53.338718, -6.5461562 53.3387586, -6.5462268 53.3388025, -6.5462581 53.3388365, -6.5463071 53.3389015, -6.5464615 53.3390834, -6.5465076 53.33913, -6.5465303 53.3391454, -6.5465631 53.3391676, -6.5466115 53.3392004, -6.5467047 53.3392516, -6.5467454 53.3392697, -6.5467905 53.3392835, -6.5468101 53.3392895, -6.5468537 53.339303, -6.5469498 53.3393199, -6.547001 53.3393261, -6.5470838 53.3393309)",
"[329538960, 1160537524, 1160537525, 49250686]","['Clane Road', 'English Row']",secondary,,False,False,146.622,2,R403,"LINESTRING (-6.5412948 53.3373996, -6.5412478 53.3374227, -6.540727 53.3376389, -6.5406086 53.3376955, -6.5405088 53.3377571, -6.5404188 53.3378204, -6.5403356 53.3378791, -6.5402472 53.3379524, -6.5401179 53.3380565, -6.5399371 53.3382131, -6.5399272 53.3382225, -6.539787 53.3383422)",
30576519,Saint Patrick's Park,residential,30,False,False,100.55999999999999,2,,"LINESTRING (-6.5470838 53.3393309, -6.5470806 53.3393669, -6.5470742 53.339429, -6.5470597 53.3395333, -6.5470403 53.3395809, -6.5469934 53.3396259, -6.5467916 53.3397401, -6.5467307 53.3397768, -6.5466494 53.3398259, -6.546281 53.3400482)",
"[1241996606, 24466801, 905450518]",Church Road,tertiary,,False,True,450.4080000000001,2,,"LINESTRING (-6.5470838 53.3393309, -6.547001 53.3393261, -6.5469498 53.3393199, -6.5468537 53.339303, -6.5468101 53.3392895, -6.5467905 53.3392835, -6.5467454 53.3392697, -6.5467047 53.3392516, -6.5466115 53.3392004, -6.5465631 53.3391676, -6.5465303 53.3391454, -6.5465076 53.33913, -6.5464615 53.3390834, -6.5463071 53.3389015, -6.5462581 53.3388365, -6.5462268 53.3388025, -6.5461562 53.3387586, -6.5460694 53.338718, -6.5453367 53.3385167, -6.5452861 53.3385028, -6.5451742 53.338472, -6.544983 53.3384213, -6.5447308 53.3383544, -6.5442626 53.3382303, -6.5441968 53.3382128, -6.543984 53.3381557, -6.543647 53.3380653, -6.5434509 53.3380127, -6.5430176 53.3378964, -6.5430002 53.3378918, -6.5429796 53.3378863, -6.5428984 53.3378647, -6.5428292 53.3378463, -6.5427702 53.3378306, -6.5427309 53.3378202, -6.542685 53.337808, -6.5425239 53.3377651, -6.5424746 53.337752, -6.5424447 53.337744, -6.5422599 53.3376949, -6.5420107 53.3376286, -6.5416777 53.3375347, -6.5416417 53.3375226, -6.5415077 53.3374776, -6.541355 53.337424, -6.5412948 53.3373996)",
29702525,Castletown The Drive,residential,50,False,True,18.028,,,"LINESTRING (-6.5371298 53.3412878, -6.5372726 53.3411499)",
1164815937,,tertiary,,False,False,20.293,,,"LINESTRING (-6.5371298 53.3412878, -6.5371935 53.3412727, -6.5372622 53.341256, -6.5373266 53.3412547, -6.5374223 53.3412687)",
30576519,Saint Patrick's Park,residential,30,False,False,84.88600000000001,2,,"LINESTRING (-6.546281 53.3400482, -6.5461039 53.3401456, -6.546001 53.3402081, -6.5458942 53.3402715, -6.5458594 53.3402921, -6.5457968 53.3403292, -6.5457625 53.3403502, -6.545724 53.3403806, -6.5456453 53.3404428, -6.5454286 53.3406142)",
30576519,Saint Patrick's Park,residential,30,False,True,100.56000000000002,2,,"LINESTRING (-6.546281 53.3400482, -6.5466494 53.3398259, -6.5467307 53.3397768, -6.5467916 53.3397401, -6.5469934 53.3396259, -6.5470403 53.3395809, -6.5470597 53.3395333, -6.5470742 53.339429, -6.5470806 53.3393669, -6.5470838 53.3393309)",
30576519,Saint Patrick's Park,residential,30,False,False,67.50300000000001,2,,"LINESTRING (-6.5454286 53.3406142, -6.5452457 53.3407566, -6.5451995 53.3407927, -6.5451554 53.340827, -6.5451123 53.3408605, -6.5450633 53.3408987, -6.5450214 53.3409313, -6.54481 53.341096)",
30576519,Saint Patrick's Park,residential,30,False,True,84.88600000000001,2,,"LINESTRING (-6.5454286 53.3406142, -6.5456453 53.3404428, -6.545724 53.3403806, -6.5457625 53.3403502, -6.5457968 53.3403292, -6.5458594 53.3402921, -6.5458942 53.3402715, -6.546001 53.3402081, -6.5461039 53.3401456, -6.546281 53.3400482)",
905462969,Saint Patrick's Park,residential,30,False,False,68.27499999999999,2,,"LINESTRING (-6.5454286 53.3406142, -6.5452013 53.3404997, -6.544877 53.3403379, -6.544855 53.3403269, -6.5448331 53.3403133, -6.5448151 53.3402991, -6.5447016 53.3401878)",
