osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction,bridge
77158824,residential,False,True,13.23,,,,,"LINESTRING (-8.265739 51.9092813, -8.2657624 51.9093994)",,
77219585,tertiary,False,True,20.307,2,L3678,Main Street,50,"LINESTRING (-8.265739 51.9092813, -8.2660347 51.9092726)",,
77219585,tertiary,False,False,63.424,2,L3678,Main Street,50,"LINESTRING (-8.265739 51.9092813, -8.2650721 51.9092952, -8.2648151 51.9093028)",,
5322314,tertiary,False,False,83.025,2,L3612,,,"LINESTRING (-8.2570327 51.9094819, -8.2571203 51.9090864, -8.2571521 51.9088888, -8.2571556 51.9087399)",,
1002263215,tertiary,False,False,97.55,2,L3680,Main Street,50,"LINESTRING (-8.2570327 51.9094819, -8.2568976 51.9095288, -8.2560241 51.9096586, -8.2558261 51.9096949, -8.2556708 51.9097234)",,
1002263215,tertiary,False,True,274.69599999999997,2,L3680,Main Street,50,"LINESTRING (-8.2570327 51.9094819, -8.2582858 51.9094903, -8.2584052 51.9094886, -8.2593251 51.9094698, -8.2597196 51.9094622, -8.2601636 51.9094472, -8.2610323 51.9093997)",,
419898761,tertiary,False,True,56.572,2,L3617,Carrigane Road,,"LINESTRING (-8.2556708 51.9097234, -8.255563 51.9102278)",,
1002263215,tertiary,False,True,97.55,2,L3680,Main Street,50,"LINESTRING (-8.2556708 51.9097234, -8.2558261 51.9096949, -8.2560241 51.9096586, -8.2568976 51.9095288, -8.2570327 51.9094819)",,
419898761,tertiary,False,False,56.572,2,L3617,Carrigane Road,,"LINESTRING (-8.255563 51.9102278, -8.2556708 51.9097234)",,
33040636,residential,False,False,152.225,,,Castle View,,"LINESTRING (-8.255563 51.9102278, -8.2557915 51.9103204, -8.2558926 51.9103614, -8.2559461 51.9104151, -8.2560156 51.9104847, -8.2561272 51.9114632)",,
137087623,tertiary,True,False,12.794,1,L3612,,,"LINESTRING (-8.2565606 51.9071848, -8.2565353 51.9071498, -8.2565273 51.9071118, -8.2565375 51.9070739)",roundabout,
33040836,residential,False,False,200.411,,,Patrick Pearse Place,,"LINESTRING (-8.2611496 51.9105856, -8.261428 51.9105713, -8.2618806 51.9105534, -8.2625876 51.9105466, -8.2630825 51.9105725, -8.263117 51.9105902, -8.2631831 51.9106243, -8.2632374 51.9106648, -8.2632648 51.9107218, -8.2632895 51.9107962, -8.2633049 51.9108413, -8.2637782 51.9108202)",,
