osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,bridge,access,width,tunnel
913681361,True,2,Parliament Street,tertiary,30,False,44.1,,"LINESTRING (-6.26763 53.3453391, -6.2675057 53.3449495)",,,,
"[506780985, 3789703]",True,4,Beresford Place,secondary,50,False,42.482,R105,"LINESTRING (-6.2549447 53.3482797, -6.2549459 53.3483396, -6.2549481 53.3484474, -6.2549494 53.3485299, -6.2549455 53.3486352, -6.254946 53.3486617)",,,,
"[4287410, 254372188]",True,2,Townsend Street,tertiary,30,False,54.58,,"LINESTRING (-6.2573464 53.3459015, -6.2571484 53.3458974, -6.2570256 53.3458976, -6.2569933 53.3458974, -6.2569485 53.3458986, -6.2565244 53.3459029)",,,,
24953717,True,3,College Street,secondary,30,False,40.755,R138,"LINESTRING (-6.2573464 53.3459015, -6.2572963 53.3458532, -6.2572785 53.3458214, -6.2572721 53.3457912, -6.257284 53.3457487, -6.2573108 53.3457101, -6.2573757 53.3456588, -6.257516 53.3456107)",,,,
37692415,True,2,Cavendish Row,secondary,30,False,34.843999999999994,R132,"LINESTRING (-6.2617308 53.3530031, -6.2615723 53.3528982, -6.2614424 53.3527641, -6.261428 53.3527492)",,,,
"[913333121, 4395952, 1253784187, 1253784188, 1253784189, 1253784191]",True,1,Cavendish Row,secondary,30,False,65.80799999999999,R132,"LINESTRING (-6.2617308 53.3530031, -6.2617072 53.3529333, -6.2616725 53.3528961, -6.2616133 53.35278, -6.2616131 53.3527798, -6.2616192 53.3527463, -6.2616134 53.3527349, -6.2616105 53.3527133, -6.2616084 53.352698, -6.2616071 53.3526894, -6.2616034 53.3526659, -6.2616084 53.3526366, -6.2616179 53.3526178, -6.2616243 53.3525967, -6.2616586 53.3525405, -6.2617435 53.3524663, -6.2617636 53.3524486)",,,,
3791905,True,3,Ormond Quay Lower,secondary,30,False,146.32999999999998,R148,"LINESTRING (-6.2678881 53.3460812, -6.2668561 53.3461542, -6.2657034 53.3462557)",,,,
"[375772040, 1179644970, 31028273, 31028274, 4396056]",True,2,Grattan Bridge,tertiary,30,False,84.278,,"LINESTRING (-6.2678881 53.3460812, -6.2678733 53.3460388, -6.2678608 53.3460027, -6.2677556 53.3457001, -6.2676779 53.3454768, -6.267666 53.3454425, -6.2676573 53.3454177, -6.2676445 53.3453809, -6.26763 53.3453391)",yes,yes,,
4396046,True,,Liffey Street Lower,residential,30,False,73.999,,"LINESTRING (-6.2636112 53.347914, -6.2636365 53.3478986, -6.2636443 53.3478832, -6.263417 53.3472702)",,,,
"[39994843, 14401069]",True,1,"['Upper Abbey Street', 'Middle Abbey Street']",residential,30,False,177.219,,"LINESTRING (-6.2636112 53.347914, -6.2637049 53.3479262, -6.2638233 53.3479151, -6.264173 53.3478504, -6.2643426 53.3478216, -6.2648549 53.3477468, -6.2648992 53.3477404, -6.2654785 53.3476507, -6.2655236 53.3476449, -6.2661005 53.3475599, -6.2661975 53.3475458)",,,,
488735970,True,3,Westmoreland Street,secondary,30,False,40.354,R138,"LINESTRING (-6.2591475 53.3453253, -6.2591428 53.3456406, -6.2591418 53.3456882)",,,,
43100899,False,3,Gardiner Street Lower,secondary,50,True,96.389,R802,"LINESTRING (-6.2544091 53.3507411, -6.2543745 53.3506908, -6.2543489 53.3506536, -6.2540211 53.350177, -6.2538576 53.3499392)",,,,
125865744,True,1,Talbot Street,unclassified,30,False,261.393,,"LINESTRING (-6.2544091 53.3507411, -6.2545649 53.3507135, -6.2553821 53.3505686, -6.2556412 53.3505315, -6.2562826 53.3504395, -6.2575357 53.3502487, -6.2580896 53.3501584, -6.2581183 53.3501521, -6.2581589 53.3501431, -6.2582119 53.3501328)",,,,
162745567,False,2,Gardiner Street Lower,secondary,50,False,95.928,R802,"LINESTRING (-6.2544091 53.3507411, -6.2544851 53.3508434, -6.2545108 53.350878, -6.2549947 53.3515298)",,,,
4074523,True,4,D'Olier Street,secondary,30,False,26.721,R138,"LINESTRING (-6.2587886 53.3470058, -6.2587358 53.3469203, -6.2586477 53.3467807)",,,,
"[405573992, 4401569]",True,3,"['Burgh Quay', 'Aston Quay']",secondary,30,False,22.742,R148,"LINESTRING (-6.2587886 53.3470058, -6.2589457 53.3469735, -6.259063 53.3469467, -6.25911 53.3469351)",,,,
18927706,True,,Great Strand Street,unclassified,30,False,146.613,,"LINESTRING (-6.2659153 53.346805, -6.2663797 53.3467364, -6.2674682 53.3465691, -6.2680572 53.3464833)",,,,
"[1127336983, 1047862775]",False,,Jervis Street,residential,30,False,84.476,,"LINESTRING (-6.2659153 53.346805, -6.2660452 53.3471461, -6.2660844 53.3472488, -6.2661947 53.3475384, -6.2661975 53.3475458)",,,,
"[3790724, 1064203149]",True,3,Bachelors Walk,secondary,30,False,155.999,R148,"LINESTRING (-6.2632219 53.3466226, -6.2619097 53.3469289, -6.2616125 53.3470045, -6.2613345 53.3470659, -6.2611712 53.3471053, -6.2610363 53.3471379)",,,,
"[70595235, 362939725]",True,"['4', '3']",Tara Street,secondary,50,False,103.235,R802,"LINESTRING (-6.2551333 53.3458807, -6.2551509 53.3462544, -6.2551446 53.346416, -6.2551246 53.3467737, -6.2551226 53.3468087)",,,,
1071076714,True,2,Townsend Street,tertiary,30,False,68.025,,"LINESTRING (-6.2551333 53.3458807, -6.2547258 53.3458803, -6.2546633 53.345879, -6.2545452 53.3458766, -6.2543011 53.3458716, -6.2541089 53.3458676)",,,,
42638928,True,,Swift's Row,unclassified,30,False,62.678,,"LINESTRING (-6.2657034 53.3462557, -6.2659153 53.346805)",,,,
3791905,True,3,Ormond Quay Lower,secondary,30,False,170.295,R148,"LINESTRING (-6.2657034 53.3462557, -6.2651481 53.3463085, -6.2650563 53.346319, -6.264668 53.3463571, -6.2643329 53.3463946, -6.2641278 53.3464339, -6.263871 53.3464833, -6.2634384 53.3465712, -6.2632694 53.3466111, -6.2632219 53.3466226)",,,,
162745567,False,2,Gardiner Street Lower,secondary,50,True,81.882,R802,"LINESTRING (-6.2560402 53.3530263, -6.2555708 53.3523453)",,,,
