osmid,lanes,ref,highway,oneway,reversed,length,geometry,maxspeed,name,access,bridge,junction
55681666,2,R518,secondary,False,False,256.411,"LINESTRING (-8.9388427 52.5233553, -8.9403672 52.5245771, -8.9410299 52.5251525, -8.9410976 52.5252083)",,,,,
409890527,2,R523,secondary,False,False,58.638999999999996,"LINESTRING (-8.9388427 52.5233553, -8.9383078 52.5235653, -8.9381204 52.5236466)",50,,,,
"[174836713, 409890519]",2,R523,secondary,False,False,76.981,"LINESTRING (-8.9332554 52.5238284, -8.9329411 52.5238612, -8.9323564 52.5239223, -8.932135 52.523949)",50,,,,
"[409890532, 409890519]",2,R523,secondary,False,True,18.264000000000003,"LINESTRING (-8.9332554 52.5238284, -8.9333688 52.5238104, -8.9335166 52.5237869)",50,,,,
772417769,,L1203,tertiary,False,False,140.258,"LINESTRING (-8.9332554 52.5238284, -8.9333099 52.5239524, -8.9333853 52.5241394, -8.9336107 52.5245494, -8.9338746 52.5250315)",50,,,,
177812929,,,residential,False,True,63.883,"LINESTRING (-8.9338746 52.5250315, -8.933716 52.5250417, -8.9335252 52.5250741, -8.9331204 52.525151, -8.9329631 52.5251761)",,,,,
772417769,,L1203,tertiary,False,False,95.958,"LINESTRING (-8.9338746 52.5250315, -8.9340246 52.5253119, -8.934292 52.5258562)",50,,,,
772417769,,L1203,tertiary,False,True,140.258,"LINESTRING (-8.9338746 52.5250315, -8.9336107 52.5245494, -8.9333853 52.5241394, -8.9333099 52.5239524, -8.9332554 52.5238284)",50,,,,
44023716,,L1203,tertiary,False,False,104.311,"LINESTRING (-8.934292 52.5258562, -8.9343642 52.5260402, -8.9343385 52.5264057, -8.9343028 52.5266753, -8.9343055 52.5267879)",50,,,,
100000750,,,residential,False,False,82.731,"LINESTRING (-8.934292 52.5258562, -8.9343601 52.5258414, -8.9344682 52.5258049, -8.934526 52.5257378, -8.9345762 52.5256103, -8.9346837 52.525436, -8.9348762 52.525236)",,,,,
