osmid,oneway,lanes,highway,maxspeed,access,reversed,length,geometry,ref,name
201175890,False,2,unclassified,50,yes,False,37.88,"LINESTRING (-8.1224606 51.8646193, -8.1224083 51.8646439, -8.1221669 51.8647079, -8.1219439 51.8647018)",,
"[412601888, 412457158]",False,2,secondary,50,,True,193.10899999999998,"LINESTRING (-8.1224606 51.8646193, -8.122081 51.8643521, -8.12184 51.8641636, -8.1216331 51.8639666, -8.1215085 51.8638393, -8.1214197 51.8637561, -8.1210936 51.8634323, -8.1208766 51.8631904)",R629,
"[132723744, 413178706]",False,2,secondary,,,True,155.976,"LINESTRING (-8.1148869 51.866242, -8.1150784 51.8661949, -8.1152342 51.8661415, -8.1154411 51.8660724, -8.115657 51.8660083, -8.1159983 51.8659447, -8.1162515 51.8659024, -8.1165011 51.8658552, -8.11663 51.8658175, -8.1167557 51.8657775, -8.1168533 51.8657293, -8.1169429 51.8656767)",R629,
413178709,False,2,unclassified,,,False,24.892,"LINESTRING (-8.1148869 51.866242, -8.1149171 51.8662973, -8.1149146 51.8663432, -8.1149111 51.8664065, -8.1148673 51.8664558)",L3676,
33004550,False,2,secondary,50,,False,62.278,"LINESTRING (-8.1280809 51.8608945, -8.1273245 51.8612035)",R631,
201194413,False,,residential,,,False,44.141999999999996,"LINESTRING (-8.1280809 51.8608945, -8.1280474 51.8608502, -8.1279735 51.8607326, -8.1278984 51.8605669, -8.1278765 51.8605189)",,
33004550,False,2,secondary,50,,False,57.939,"LINESTRING (-8.1255312 51.8619474, -8.1247622 51.8621618)",R631,
33004550,False,2,secondary,50,,True,148.495,"LINESTRING (-8.1255312 51.8619474, -8.1261358 51.86173, -8.126558 51.861541, -8.1270172 51.8613388, -8.1273245 51.8612035)",R631,
201194571,False,,residential,,,False,80.25,"LINESTRING (-8.1255312 51.8619474, -8.1256256 51.8620522, -8.1260946 51.8625797)",,
33004550,False,2,secondary,50,,True,69.599,"LINESTRING (-8.1238384 51.8624193, -8.1247622 51.8621618)",R631,
33004550,False,2,secondary,50,,False,220.78200000000007,"LINESTRING (-8.1238384 51.8624193, -8.1233705 51.8625432, -8.1230625 51.8626247, -8.1216477 51.8629991, -8.1214626 51.8630481, -8.1211475 51.8631161, -8.1210107 51.86315, -8.1209345 51.863173, -8.1208766 51.8631904)",R631,
201195071,False,1,residential,30,,False,248.74200000000005,"LINESTRING (-8.1238384 51.8624193, -8.1239927 51.8626456, -8.124197 51.8628412, -8.1243794 51.8630549, -8.1245001 51.8631907, -8.1246476 51.8633845, -8.1248511 51.8636527, -8.1249748 51.8638367, -8.1250634 51.863951, -8.1251224 51.8640255, -8.1255618 51.8639011, -8.1257737 51.8638398)",,Dún Órga
413178708,False,1,unclassified,,,False,28.682000000000002,"LINESTRING (-8.1154552 51.8664904, -8.1154789 51.8664276, -8.1153539 51.8662502)",L36301,
1028614963,False,2,unclassified,,,False,41.718,"LINESTRING (-8.1154552 51.8664904, -8.1153917 51.8664814, -8.1153038 51.8664789, -8.1151371 51.8665011, -8.1150383 51.8664992, -8.1149262 51.8664682, -8.1148673 51.8664558)",L36301,
412457159,False,,tertiary,,,False,98.044,"LINESTRING (-8.1201142 51.8619739, -8.1198846 51.8616334, -8.1196873 51.8613743, -8.1194933 51.861182)",L3633,Church Street
412457159,False,,tertiary,,,True,145.074,"LINESTRING (-8.1201142 51.8619739, -8.120388 51.8623955, -8.1206811 51.8628466, -8.1208519 51.863147, -8.1208766 51.8631904)",L3633,Church Street
"[412457884, 412601892]",False,2,unclassified,50,,True,138.783,"LINESTRING (-8.1201142 51.8619739, -8.1199262 51.8620313, -8.1193222 51.8622189, -8.119132 51.862269, -8.1186737 51.8623175, -8.1182113 51.862337)",,Commons East
33004550,False,2,secondary,50,,True,220.78199999999998,"LINESTRING (-8.1208766 51.8631904, -8.1209345 51.863173, -8.1210107 51.86315, -8.1211475 51.8631161, -8.1214626 51.8630481, -8.1216477 51.8629991, -8.1230625 51.8626247, -8.1233705 51.8625432, -8.1238384 51.8624193)",R631,
"[412601888, 412457158]",False,2,secondary,50,,False,193.109,"LINESTRING (-8.1208766 51.8631904, -8.1210936 51.8634323, -8.1214197 51.8637561, -8.1215085 51.8638393, -8.1216331 51.8639666, -8.12184 51.8641636, -8.122081 51.8643521, -8.1224606 51.8646193)",R629,
412457159,False,,tertiary,,,False,145.07399999999998,"LINESTRING (-8.1208766 51.8631904, -8.1208519 51.863147, -8.1206811 51.8628466, -8.120388 51.8623955, -8.1201142 51.8619739)",L3633,Church Street
