osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,junction,bridge,tunnel,access
168780280,True,1,R876,Fairhill,secondary,False,33.872,"LINESTRING (-9.5038125 52.0600527, -9.5040347 52.0600008, -9.5042639 52.0599283)",,,,,
425404068,False,1,R876,Fairhill,secondary,False,22.358,"LINESTRING (-9.5038125 52.0600527, -9.5037031 52.0600566, -9.5036843 52.0600572, -9.503486 52.0600642)",,,,,
111447061,True,2,N71,Kenmare Place,primary,False,60.227999999999994,"LINESTRING (-9.5071047 52.0574406, -9.5071456 52.0574478, -9.5074996 52.0574995, -9.507973 52.0575194)",50,roundabout,,,
427722062,True,2,N71,Kenmare Place,primary,False,7.721,"LINESTRING (-9.5081968 52.0575942, -9.5082282 52.0576609)",,roundabout,,,
86092109,True,2,N71,Kenmare Place,primary,False,21.047000000000004,"LINESTRING (-9.507115 52.0577887, -9.5070399 52.0577727, -9.5069594 52.05774, -9.5069136 52.0577079, -9.506884 52.0576741)",50,roundabout,,,
86188259,True,1,,East Avenue Road,secondary,False,27.503999999999998,"LINESTRING (-9.507115 52.0577887, -9.5070176 52.057818, -9.506905 52.0578425, -9.5068392 52.0578554, -9.5067389 52.0578752)",,,,,
"[233762296, 427722089]",False,2,N71,The Haha,primary,True,61.531000000000006,"LINESTRING (-9.5068631 52.0572817, -9.5068577 52.0572213, -9.5068837 52.0571637, -9.5069981 52.0570298, -9.5071279 52.0568706, -9.5071735 52.0567707)",50,,,,
994049349,True,2,N71,The Haha,primary,False,25.253999999999998,"LINESTRING (-9.5068631 52.0572817, -9.5069312 52.057374, -9.5071047 52.0574406)",50,,,,
86092108,True,1,N71,Mission Road,primary,False,13.485,"LINESTRING (-9.5082564 52.0574786, -9.5082274 52.0575337, -9.5082179 52.0575518, -9.5081968 52.0575942)",50,,,,
1102321686,False,2,N71,Mission Road,primary,False,191.965,"LINESTRING (-9.5082564 52.0574786, -9.5095247 52.0573456, -9.5103183 52.0573059, -9.5110418 52.0572785)",50,,,,
"[136726547, 427722053, 1102321685, 427722054]",False,2,,Beech Road,unclassified,False,182.779,"LINESTRING (-9.5110418 52.0572785, -9.5111354 52.0576092, -9.5111666 52.0577212, -9.511225 52.057918, -9.5112293 52.0579415, -9.5112673 52.0580366, -9.511385 52.0583468, -9.5114498 52.058533, -9.511562 52.0588903)",,,,,
1102321686,False,2,N71,Mission Road,primary,True,191.965,"LINESTRING (-9.5110418 52.0572785, -9.5103183 52.0573059, -9.5095247 52.0573456, -9.5082564 52.0574786)",50,,,,
136726551,True,,R876,High Street,secondary,False,74.777,"LINESTRING (-9.5090543 52.0584275, -9.5090854 52.0585063, -9.5091469 52.0586617, -9.5092594 52.0589025, -9.5093406 52.0590764)",50,,,,
"[432626088, 375133640]",False,2,R876,"['Kenmare Place', 'Main Street']",secondary,True,92.293,"LINESTRING (-9.5090543 52.0584275, -9.5090017 52.0583238, -9.5089342 52.0581909, -9.508897 52.0581568, -9.5088329 52.0581227, -9.5088019 52.0580688, -9.5087272 52.0578882, -9.5086978 52.0578548, -9.5086877 52.0578433, -9.5086611 52.0578264, -9.5086339 52.0578092, -9.5084187 52.0577454)",,,,,
26526874,False,,,Dennehy's Boreen,residential,False,68.066,"LINESTRING (-9.5025573 52.0633368, -9.503552 52.0633097)",,,,,
"[136726548, 26526878, 26526879]",False,,,Dennehy's Boreen,residential,True,410.62699999999995,"LINESTRING (-9.5025573 52.0633368, -9.5023695 52.0626978, -9.5023751 52.0625743, -9.5026391 52.061833, -9.5029964 52.0617714, -9.5031748 52.0617036, -9.5032101 52.0616766, -9.5031705 52.0615713, -9.5028359 52.0613347, -9.5028415 52.0612216, -9.5030015 52.0610538, -9.5031383 52.0609117, -9.5032314 52.0607499, -9.503486 52.0600642)",,,yes,,
26526874,False,,,Dennehy's Boreen,residential,True,68.066,"LINESTRING (-9.503552 52.0633097, -9.5025573 52.0633368)",,,,,
26526875,True,2,R876,East Avenue Road,secondary,False,25.214,"LINESTRING (-9.5067389 52.0578752, -9.5068448 52.0577954, -9.5068712 52.0577254, -9.506884 52.0576741)",,,,,
38287749,False,2,R876,East Avenue Road,secondary,False,256.668,"LINESTRING (-9.5067389 52.0578752, -9.5066717 52.0578905, -9.5066432 52.0578966, -9.5063128 52.0579516, -9.5058862 52.058066, -9.5057876 52.0581059, -9.5054016 52.0583455, -9.5050768 52.0586093, -9.5050184 52.0586796, -9.5048869 52.0588599, -9.5048083 52.0589651, -9.5047497 52.0590524, -9.5047113 52.05913, -9.5046152 52.0593642, -9.5045776 52.0595048, -9.5045592 52.0595601)",,,,,
136726554,False,,,New Market Lane,unclassified,True,52.423,"LINESTRING (-9.5089314 52.0598571, -9.5096637 52.0597173)",,,,,
136726553,False,,R876,Lewis Road,secondary,True,62.091,"LINESTRING (-9.5061298 52.0615562, -9.5061317 52.0621146)",50,,,,
119081584,False,,,Sunnyhill Upper,residential,False,98.492,"LINESTRING (-9.5061298 52.0615562, -9.5066513 52.0615489, -9.5075703 52.0615553)",,,,,
295213019,False,,R876,Lewis Road,secondary,False,54.75,"LINESTRING (-9.5061298 52.0615562, -9.5061344 52.0614641, -9.5061433 52.0610639)",50,,,,
34918986,False,,,,residential,True,82.455,"LINESTRING (-9.5075703 52.0615553, -9.5076015 52.0620441, -9.507547 52.0620923, -9.5072346 52.0621171)",30,,,,
"[119081584, 172693334]",False,,,"[""O'Connor's Terrace"", 'Sunnyhill Upper']",residential,False,100.876,"LINESTRING (-9.5075703 52.0615553, -9.5082727 52.0615173, -9.5083645 52.0614467, -9.5083197 52.0610644)",,,,,
119081584,False,,,Sunnyhill Upper,residential,True,98.492,"LINESTRING (-9.5075703 52.0615553, -9.5066513 52.0615489, -9.5061298 52.0615562)",,,,,
136726553,False,,R876,Lewis Road,secondary,False,62.091,"LINESTRING (-9.5061317 52.0621146, -9.5061298 52.0615562)",50,,,,
34918986,False,,,,residential,False,75.414,"LINESTRING (-9.5061317 52.0621146, -9.5066657 52.0621227, -9.5072346 52.0621171)",30,,,,
