osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,lanes,bridge
370165194,R445,secondary,50,False,True,149.212,,"LINESTRING (-7.0607252 53.1386608, -7.0628001 53.1381594)",,
23393253,R414,secondary,50,False,False,68.301,Drogheda Street,"LINESTRING (-7.0607252 53.1386608, -7.0611178 53.1390474, -7.0612516 53.1391876)",,
"[370157457, 370157459]",R445,secondary,,False,True,222.70999999999998,,"LINESTRING (-7.0607252 53.1386608, -7.0605853 53.1386758, -7.060433 53.1386765, -7.0600785 53.1386291, -7.0593561 53.1385342, -7.0582867 53.1383938, -7.0574598 53.138284)",,
23393253,R414,secondary,50,False,True,68.301,Drogheda Street,"LINESTRING (-7.0612516 53.1391876, -7.0611178 53.1390474, -7.0607252 53.1386608)",,
25492522,,tertiary,50,False,False,328.571,Drogheda Street,"LINESTRING (-7.0612516 53.1391876, -7.0614262 53.1393345, -7.0619471 53.1398583, -7.0622277 53.1401405, -7.062288 53.1402012, -7.0625189 53.1404439, -7.0630672 53.1410244, -7.0632534 53.1412215, -7.0636629 53.1416308, -7.0637152 53.1416834, -7.0637609 53.1417294)",2,
86072065,R414,secondary,50,False,False,73.366,,"LINESTRING (-7.0612516 53.1391876, -7.0611595 53.1392362, -7.0610503 53.1393364, -7.0608577 53.1395536, -7.0608094 53.1396081, -7.0606812 53.139747)",,
25492522,,tertiary,50,False,False,113.305,Drogheda Street,"LINESTRING (-7.0653228 53.1433013, -7.0662319 53.1441621)",2,
25492522,,tertiary,50,False,True,170.974,Drogheda Street,"LINESTRING (-7.0653228 53.1433013, -7.0640104 53.1419805)",2,
118527342,,residential,50,False,True,189.65700000000004,Mary's Lane,"LINESTRING (-7.0653228 53.1433013, -7.0639811 53.1437739, -7.0633157 53.1440336, -7.0632703 53.144072, -7.0632703 53.1441089, -7.063273 53.1441458, -7.063297 53.144181, -7.0634098 53.1443004)",,
118527350,,unclassified,50,False,True,250.46999999999997,Hopkins Lane,"LINESTRING (-7.0653228 53.1433013, -7.0659599 53.1430677, -7.0661974 53.1429806, -7.066247 53.1429591, -7.0662812 53.1429365, -7.0663001 53.1429109, -7.0663069 53.1428832, -7.0663018 53.1428555, -7.0662795 53.1428247, -7.0661769 53.1427254, -7.0657699 53.1423312, -7.0657699 53.1423158, -7.0657767 53.1422994, -7.0657938 53.142284, -7.065816 53.1422697, -7.0658793 53.1422451, -7.0659444 53.1422229, -7.0663907 53.1420707, -7.0668524 53.1419128, -7.0669759 53.1418706)",,
