osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge,tunnel
189203158,False,,,unclassified,50,False,82.283,,"LINESTRING (-9.2184104 53.626516, -9.2184869 53.6265526, -9.2188456 53.6266859, -9.2192666 53.6268417, -9.2193452 53.6268708, -9.2194061 53.6268929, -9.2194623 53.6269133)",,
942144111,False,2,R331,secondary,50,True,264.35900000000004,Abbey Street,"LINESTRING (-9.2184104 53.626516, -9.2187155 53.6263913, -9.2192001 53.6261237, -9.2198836 53.6257131, -9.2202161 53.6255134, -9.2202361 53.6255014, -9.2206492 53.6252708, -9.2213764 53.624923)",,
189203140,False,,L16111,unclassified,30,False,4.999,,"LINESTRING (-9.2187579 53.6207654, -9.2188257 53.6207855)",,
189203140,False,,L16111,unclassified,30,True,65.139,,"LINESTRING (-9.2187579 53.6207654, -9.218377 53.6206381, -9.217905 53.6205204, -9.2178694 53.6205118)",,
189203165,False,,,residential,30,True,84.054,Corr na gCloch,"LINESTRING (-9.2187579 53.6207654, -9.2188617 53.6206219, -9.2188437 53.6205554, -9.218774 53.620514, -9.2181142 53.6203199, -9.2180517 53.6203196)",,
189203140,False,,L16111,unclassified,30,False,83.705,,"LINESTRING (-9.2191763 53.620864, -9.2204281 53.6209881)",,
189203140,False,,L16111,unclassified,30,True,24.792,,"LINESTRING (-9.2191763 53.620864, -9.218951 53.6208226, -9.2188257 53.6207855)",,
189203142,False,,,residential,30,False,216.037,Gort na gCloch,"LINESTRING (-9.2191763 53.620864, -9.2191441 53.6210485, -9.2190476 53.6215385, -9.2190012 53.6216909, -9.2189207 53.6217164, -9.2187866 53.6217068, -9.2186935 53.6216849, -9.2186613 53.6216531, -9.2187579 53.6208735, -9.2188257 53.6207855)",,
189203159,False,,,residential,30,True,92.066,Waterside,"LINESTRING (-9.2223413 53.6259736, -9.2221804 53.6259959, -9.2220838 53.6261391, -9.2218148 53.6266923)",,
200421241,False,2,,residential,30,True,124.89699999999999,Brewery Court,"LINESTRING (-9.2216792 53.6247442, -9.2221589 53.6248472, -9.2222769 53.6249299, -9.2222887 53.6249412, -9.222368 53.625016, -9.2223801 53.625058, -9.2222822 53.6252099, -9.2229233 53.6253507)",,
942144112,False,2,R331,secondary,50,False,28.178,Abbey Street,"LINESTRING (-9.2216792 53.6247442, -9.2216637 53.6247534, -9.2214366 53.6248875, -9.2213764 53.624923)",,
942144112,False,2,R331,secondary,50,True,89.558,Abbey Street,"LINESTRING (-9.2216792 53.6247442, -9.2218356 53.6246358, -9.2218857 53.6246011, -9.222 53.6244889, -9.2220514 53.6244384, -9.2222496 53.624124, -9.2223019 53.6240898, -9.2223721 53.6240723)",,
189203140,False,,L16111,unclassified,30,True,4.999,,"LINESTRING (-9.2188257 53.6207855, -9.2187579 53.6207654)",,
189203140,False,,L16111,unclassified,30,False,24.792,,"LINESTRING (-9.2188257 53.6207855, -9.218951 53.6208226, -9.2191763 53.620864)",,
189203142,False,,,residential,30,True,216.037,Gort na gCloch,"LINESTRING (-9.2188257 53.6207855, -9.2187579 53.6208735, -9.2186613 53.6216531, -9.2186935 53.6216849, -9.2187866 53.6217068, -9.2189207 53.6217164, -9.2190012 53.6216909, -9.2190476 53.6215385, -9.2191441 53.6210485, -9.2191763 53.620864)",,
189203145,False,,,residential,,True,36.98,,"LINESTRING (-9.2179532 53.6199922, -9.2180517 53.6203196)",,
200421236,False,,,residential,30,False,154.019,,"LINESTRING (-9.2272054 53.6278385, -9.2273288 53.627829, -9.2274495 53.6278597, -9.2274763 53.627936, -9.2274736 53.6280517, -9.2274334 53.6281396, -9.2274334 53.6282478, -9.2274227 53.6284068, -9.2273663 53.6285002, -9.2272403 53.6285786, -9.2271384 53.6286104, -9.2268889 53.628602, -9.2265005 53.6285739, -9.226458 53.6285709)",,
200421236,False,,,residential,30,False,45.507000000000005,,"LINESTRING (-9.2260039 53.6285416, -9.2256779 53.6285288, -9.2254801 53.6285197, -9.2253844 53.6285152, -9.2253156 53.628512)",,
200421236,False,,,residential,30,True,30.122,,"LINESTRING (-9.2260039 53.6285416, -9.226272 53.6285575, -9.226458 53.6285709)",,
200421236,False,,,residential,30,True,45.507000000000005,,"LINESTRING (-9.2253156 53.628512, -9.2253844 53.6285152, -9.2254801 53.6285197, -9.2256779 53.6285288, -9.2260039 53.6285416)",,
"[1195860632, 1195860633]",False,2,L1607,tertiary,"['30', '50']",False,298.391,,"LINESTRING (-9.2253156 53.628512, -9.2254284 53.6276469, -9.2256103 53.626248, -9.2256144 53.6262262, -9.2256876 53.6258378)",,
200421242,False,2,,residential,30,False,34.459,,"LINESTRING (-9.225179 53.6257667, -9.2256876 53.6258378)",,
200421242,False,2,,residential,30,True,28.305,,"LINESTRING (-9.225179 53.6257667, -9.2247713 53.6256871)",,
200421253,False,2,,residential,30,True,120.97600000000001,,"LINESTRING (-9.225179 53.6257667, -9.2250878 53.6259575, -9.2250288 53.6260371, -9.2249403 53.626071, -9.2245514 53.6260689, -9.2240015 53.6260423, -9.2236984 53.6260116)",,
