osmid,oneway,ref,highway,reversed,length,geometry,name,maxspeed,lanes,junction,bridge
115494415,True,R931,secondary,False,17.74,"LINESTRING (-9.2680909 51.549053, -9.2681571 51.5491116, -9.2682775 51.5491577)",,,,,
775951186,True,R595,secondary,False,16.043,"LINESTRING (-9.2680909 51.549053, -9.2680298 51.5490941, -9.2678997 51.5491295)",Townsend Street,50,,,
115494418,True,R596,secondary,False,25.306,"LINESTRING (-9.2661543 51.5491203, -9.2659644 51.5490979, -9.265792 51.5490917)",Main Street,,1,,
123278767,True,R595,secondary,False,27.358,"LINESTRING (-9.2661543 51.5491203, -9.2660737 51.5491484, -9.266022 51.5491985, -9.2659876 51.5492732, -9.2659688 51.5493232)",Main Street,,1,,
60954949,True,R595,secondary,False,28.633000000000003,"LINESTRING (-9.2659688 51.5493232, -9.2658757 51.549173, -9.265792 51.5490917)",The Square,,1,,
110541139,False,R595,secondary,False,59.184000000000005,"LINESTRING (-9.2659688 51.5493232, -9.2659457 51.549412, -9.2658204 51.54959, -9.265705 51.5497653, -9.2656659 51.5498186)",North Street,,2,,
110541139,False,R595,secondary,False,408.283,"LINESTRING (-9.2656659 51.5498186, -9.2655371 51.5499974, -9.2654554 51.5501032, -9.2653826 51.5501948, -9.2653688 51.5502166, -9.2651507 51.550563, -9.2651324 51.5505921, -9.2649277 51.5509135, -9.2649108 51.55094, -9.2648569 51.5510353, -9.2648534 51.5510415, -9.2646998 51.5513133, -9.2645016 51.5516639, -9.2644799 51.5517022, -9.2644413 51.5517706, -9.2643749 51.5518879, -9.2643237 51.5519785, -9.2643049 51.5520117, -9.2642083 51.5521751, -9.2641117 51.5523384, -9.264024 51.5524389, -9.2638363 51.5526138, -9.2635737 51.5528447, -9.2634686 51.5529525, -9.2632704 51.553156)",North Street,,2,,
110541139,False,R595,secondary,True,59.184000000000005,"LINESTRING (-9.2656659 51.5498186, -9.265705 51.5497653, -9.2658204 51.54959, -9.2659457 51.549412, -9.2659688 51.5493232)",North Street,,2,,
176845293,False,,residential,True,72.90700000000001,"LINESTRING (-9.2656659 51.5498186, -9.2651829 51.549705, -9.2651541 51.5496252, -9.2651833 51.5495279, -9.2651986 51.5493744)",Windmill Lane,,,,
115494416,True,R931,secondary,False,26.311,"LINESTRING (-9.2682775 51.5491577, -9.2678997 51.5491295)",Main Street,,,,
123811151,False,R931,secondary,True,189.49899999999997,"LINESTRING (-9.2682775 51.5491577, -9.2685719 51.5492018, -9.2687626 51.5492403, -9.2690122 51.5493254, -9.2695629 51.5495131, -9.2698294 51.5496167, -9.2700574 51.5496846, -9.270336 51.5497573, -9.2707552 51.5498679)",Bridge Street,,2,,
123278769,True,R595,secondary,False,99.08699999999999,"LINESTRING (-9.2652376 51.5484949, -9.2651152 51.5484116, -9.264997 51.5483311, -9.2648241 51.5482135, -9.2644292 51.5479092, -9.2643182 51.5478124)",Market Street,,2,,
176845311,False,,residential,False,60.01199999999999,"LINESTRING (-9.2652376 51.5484949, -9.2654693 51.5483914, -9.2657492 51.5482994, -9.2660023 51.5482485)",Warners Lane,,,,
34678784,False,,tertiary,False,104.768,"LINESTRING (-9.2656966 51.5490585, -9.2655976 51.5490427, -9.2650362 51.5489386, -9.2645871 51.5488554, -9.264238 51.5488046)",High Street,,2,,
123278769,True,R595,secondary,False,70.963,"LINESTRING (-9.2656966 51.5490585, -9.2656616 51.5489706, -9.265633 51.548911, -9.2655718 51.5488239, -9.2655167 51.5487456, -9.2653095 51.5485602, -9.2652776 51.5485313, -9.2652376 51.5484949)",Market Street,,2,,
186630117,True,N71,primary,False,44.506,"LINESTRING (-9.2705668 51.552793, -9.2704557 51.5527429, -9.2703399 51.5527098, -9.2701934 51.5526845, -9.2699705 51.5526579)",Skibbereen Bypass,60,1,,
954671039,True,N71,primary,False,20.731,"LINESTRING (-9.2705668 51.552793, -9.2705519 51.5527068, -9.2705857 51.5526093)",,,1,roundabout,
954671039,True,N71,primary,False,9.306,"LINESTRING (-9.2705857 51.5526093, -9.270673 51.5525456)",,,1,roundabout,
954671037,True,N71,primary,False,16.039,"LINESTRING (-9.2709471 51.5525225, -9.2710429 51.5525482, -9.2711343 51.5526036)",,,1,roundabout,
954671040,True,N71,primary,False,7.096,"LINESTRING (-9.2711632 51.5527834, -9.2711134 51.5528392)",,,1,roundabout,
954671040,True,N71,primary,False,7.632,"LINESTRING (-9.2709409 51.5529135, -9.2708307 51.5529175)",,,1,roundabout,
186630107,True,,tertiary,False,33.109,"LINESTRING (-9.2708307 51.5529175, -9.2707123 51.5530076, -9.2706263 51.5530874, -9.2705626 51.553163)",,,1,,
954671040,True,N71,primary,False,17.445,"LINESTRING (-9.2708307 51.5529175, -9.270738 51.5529034, -9.2706675 51.5528784, -9.2706105 51.5528474)",,,1,roundabout,
954671040,True,N71,primary,False,6.762,"LINESTRING (-9.2706105 51.5528474, -9.2705668 51.552793)",,,1,roundabout,
186630101,True,N71,primary,False,42.988,"LINESTRING (-9.2699705 51.5526579, -9.2703313 51.5526431, -9.2704976 51.5526198, -9.2705857 51.5526093)",Skibbereen Bypass,60,2,,
28500924,False,R931,secondary,False,25.468,"LINESTRING (-9.2710896 51.5499639, -9.2709217 51.5499147, -9.2707552 51.5498679)",Bridge Street,,2,,
44150792,False,,tertiary,False,80.281,"LINESTRING (-9.2710896 51.5499639, -9.2712175 51.5499933, -9.2714222 51.5500519, -9.2720496 51.5503599)",Upper Bridge Street,,,,
123811153,False,R931,secondary,False,26.153,"LINESTRING (-9.2710896 51.5499639, -9.2710734 51.5500375, -9.2710646 51.5500992, -9.2710448 51.5501974)",Ilen Street,,,,
"[123811153, 186630109, 176835191]",False,R931,secondary,True,237.29000000000002,"LINESTRING (-9.2707457 51.5523115, -9.2706963 51.5521444, -9.2706705 51.5519736, -9.2706695 51.551967, -9.2706849 51.5517549, -9.2707876 51.5513217, -9.2708597 51.5509658, -9.2708658 51.5509418, -9.2708897 51.5508266, -9.2710448 51.5501974)",Ilen Street,,2,,yes
186630121,True,R931,secondary,False,27.292,"LINESTRING (-9.2707457 51.5523115, -9.2708304 51.5524063, -9.2709471 51.5525225)",,,1,,
34678784,False,,tertiary,True,47.033,"LINESTRING (-9.2635603 51.5487942, -9.2638139 51.5487816, -9.2642298 51.5488034, -9.264238 51.5488046)",High Street,,2,,
187430947,False,,residential,False,25.646,"LINESTRING (-9.2635603 51.5487942, -9.2635329 51.5487078, -9.2634229 51.5485827)",Chapel Lane,,,,
341231077,False,,residential,False,190.869,"LINESTRING (-9.2675811 51.5479711, -9.2685706 51.5477767, -9.2685813 51.5477907, -9.2685915 51.5478041, -9.2684571 51.5479222, -9.2681565 51.5480427, -9.2681447 51.5480992, -9.2682831 51.5483869, -9.2684085 51.5485293, -9.2685851 51.5486375)",Ninety Eight Street,,,,
