osmid,oneway,highway,reversed,length,geometry,maxspeed,name,ref,lanes,tunnel,junction
67192762,True,residential,False,33.7,"LINESTRING (-7.7356798 54.9531966, -7.7355196 54.9531476, -7.7354248 54.953109, -7.73534 54.9529862)",,,,,,
67192774,True,residential,False,29.755,"LINESTRING (-7.7356798 54.9531966, -7.7355513 54.953196, -7.7354477 54.9532049, -7.7353745 54.9532152, -7.7352628 54.9532589, -7.735243 54.9532647)",,,,,,
"[55916024, 1193734340, 130268439]",True,residential,False,74.294,"LINESTRING (-7.7367452 54.9531862, -7.7366762 54.953217, -7.7365285 54.9532844, -7.7363354 54.9533149, -7.7356798 54.9531966)",30,,,,,
55916029,True,residential,False,37.436,"LINESTRING (-7.7373223 54.9532344, -7.7370934 54.9532004, -7.7369683 54.9531889, -7.7367452 54.9531862)",30,,,,,
56157120,False,residential,False,44.437,"LINESTRING (-7.7373223 54.9532344, -7.737443 54.9533217, -7.7376179 54.9534539, -7.7377055 54.9535652)",30,,,,,
56155003,False,tertiary,False,192.271,"LINESTRING (-7.7358245 54.9475131, -7.7359564 54.9475578, -7.7363829 54.9477588, -7.7364891 54.9478161, -7.7366264 54.9478901, -7.7369207 54.9480488, -7.7372649 54.9482345, -7.7374061 54.9483106, -7.7374736 54.9483422, -7.7375379 54.9483704, -7.7376165 54.9484022, -7.7376865 54.948434, -7.7377578 54.9484624, -7.7378438 54.9484926, -7.7379283 54.9485126, -7.738007 54.9485277, -7.7380793 54.9485425, -7.7381859 54.9485585)",50,Oliver Plunkett Road,,,,
"[63861993, 64028682, 1167107796, 1167107797, 1161831358]",True,secondary,False,170.983,"LINESTRING (-7.7358245 54.9475131, -7.7357865 54.9475481, -7.7356937 54.9476469, -7.7356431 54.9477003, -7.7354612 54.9478926, -7.7353347 54.9480263, -7.7352114 54.9481566, -7.734957 54.9483787, -7.7348705 54.9484517, -7.7345811 54.9486962, -7.7345435 54.9487269, -7.7345285 54.9487392, -7.7344684 54.9487852, -7.7344209 54.94882)",50,Pearse Road,R250,,,
130268439,True,residential,False,36.5,"LINESTRING (-7.7371482 54.9529539, -7.7370511 54.9530009, -7.7367452 54.9531862)",30,,,,,
927862595,True,residential,False,33.278000000000006,"LINESTRING (-7.7371482 54.9529539, -7.7371794 54.9530299, -7.7371954 54.9530737, -7.7373223 54.9532344)",30,,,,,
56236491,False,residential,False,29.834000000000003,"LINESTRING (-7.7351203 54.9557674, -7.7351899 54.9557794, -7.7352534 54.9557785, -7.735566 54.9557159)",,Beechwood Park,,2,,
56236491,False,residential,True,51.306,"LINESTRING (-7.7351203 54.9557674, -7.7349508 54.9557338, -7.7347892 54.9556978, -7.7346099 54.9556617, -7.7344675 54.9556373, -7.7344004 54.9555856)",,Beechwood Park,,2,,
56236492,False,residential,False,57.901,"LINESTRING (-7.7351203 54.9557674, -7.7351499 54.9557993, -7.7352179 54.9558525, -7.7353055 54.9559076, -7.7353796 54.9559372, -7.735443 54.9559576, -7.7355077 54.9559682, -7.7355854 54.9559756, -7.7356889 54.9559767, -7.7357925 54.9559777, -7.7358752 54.9559742)",,Beechwood Park,,2,,
56236493,False,residential,True,2.173,"LINESTRING (-7.7359808 54.9562082, -7.7359786 54.9561887)",,Beechwood Park,,,,
56236552,False,residential,False,34.149,"LINESTRING (-7.737799 54.9550406, -7.7378024 54.9547335)",30,Beechwood Road,,,,
67239946,False,residential,True,39.276,"LINESTRING (-7.737799 54.9550406, -7.7371839 54.9550378)",30,,,,,
