osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry,name
1122932158,2,R747,secondary,60,False,True,49.348,,"LINESTRING (-6.3287594 52.8533437, -6.3293701 52.8530968)",
"[24824043, 149867373, 149867374]",2,R753,secondary,50,False,False,128.71,yes,"LINESTRING (-6.3287594 52.8533437, -6.3287733 52.8533814, -6.3287827 52.8534069, -6.3288459 52.8535659, -6.3289378 52.853941, -6.3289964 52.8541584, -6.3290619 52.8544443, -6.3290712 52.8544851)",
147858042,,,residential,,False,False,32.788,,"LINESTRING (-6.3290712 52.8544851, -6.3288552 52.8544672, -6.3286082 52.8544009)",
"[27923168, 149867374, 26950927]",2,R753,secondary,50,False,False,82.387,yes,"LINESTRING (-6.3290712 52.8544851, -6.3290764 52.8545359, -6.3291062 52.854744, -6.3291742 52.8550338, -6.3292394 52.8552181)",Aughrim Bridge
"[24824043, 149867373, 149867374]",2,R753,secondary,50,False,True,128.71,yes,"LINESTRING (-6.3290712 52.8544851, -6.3290619 52.8544443, -6.3289964 52.8541584, -6.3289378 52.853941, -6.3288459 52.8535659, -6.3287827 52.8534069, -6.3287733 52.8533814, -6.3287594 52.8533437)",
26950927,2,R753,secondary,50,False,True,13.772,,"LINESTRING (-6.3293164 52.8553329, -6.3292394 52.8552181)",
442942913,2,R753,secondary,50,False,False,81.246,,"LINESTRING (-6.3293164 52.8553329, -6.3282921 52.8557219)",Main Street
26950626,,,unclassified,,False,True,31.057000000000002,,"LINESTRING (-6.3293164 52.8553329, -6.3293468 52.8553956, -6.3294494 52.8556004)",Nursery Way
210785826,2,L2137,tertiary,,False,False,276.28400000000005,,"LINESTRING (-6.3293164 52.8553329, -6.3293733 52.8553126, -6.32949 52.855275, -6.32973 52.8551817, -6.3300317 52.8550967, -6.331305 52.85475, -6.3314232 52.8547134, -6.33166 52.85464, -6.33184 52.8545783, -6.3328905 52.8541859, -6.3329416 52.8541668)",Rednagh Road
442942913,2,R753,secondary,50,False,True,81.246,,"LINESTRING (-6.3282921 52.8557219, -6.3293164 52.8553329)",Main Street
26244448,,L2140,tertiary,,False,False,149.133,,"LINESTRING (-6.3282921 52.8557219, -6.3282906 52.8557861, -6.328278 52.8558676, -6.3280753 52.8560155, -6.3275397 52.8563443, -6.3268903 52.8567184)",Macreddin Road
