osmid,oneway,name,highway,maxspeed,reversed,length,geometry,access,lanes,junction,bridge,width,ref
6065798,False,Mitteldorf,unclassified,30,False,164.69499999999996,"LINESTRING (9.5205518 47.1434521, 9.5206284 47.1433848, 9.5207007 47.1433188, 9.5209066 47.1432275, 9.5211104 47.1431166, 9.5213156 47.1430468, 9.5214964 47.142995, 9.5217627 47.1429326, 9.5222872 47.1428331, 9.5224538 47.1428017)",,,,,,
297716036,False,Altenbach,residential,30,True,116.53100000000002,"LINESTRING (9.5213518 47.1410925, 9.5213847 47.1410996, 9.5214065 47.1411083, 9.5214256 47.1411197, 9.5214584 47.1411575, 9.5215362 47.1412657, 9.5215651 47.1413067, 9.5216234 47.1413642, 9.5217119 47.1414554, 9.521835 47.1415584, 9.5220545 47.1417422, 9.522094 47.141775, 9.5222287 47.1418867, 9.5222417 47.1418987, 9.5222493 47.1419126, 9.522251 47.1419275)",,,,,,
571067337,False,Städtle,residential,20,False,36.376999999999995,"LINESTRING (9.5213518 47.1410925, 9.5214451 47.1410711, 9.5217226 47.1410075, 9.5217993 47.1409759)",permit,,,,,
571067342,False,Städtle,residential,,False,21.208,"LINESTRING (9.5213518 47.1410925, 9.5213001 47.141091, 9.5211644 47.1410869, 9.5211235 47.1410841, 9.5210723 47.1410792)",,,,,,
29596052,False,Postgass,residential,50,True,61.025000000000006,"LINESTRING (9.5216467 47.1388267, 9.5218405 47.1388326, 9.5219487 47.1388358, 9.5221258 47.1388412, 9.5224527 47.1388512)",,,,,,
"[571067343, 529794576, 654069525, 571451477, 140309501, 571452863]",False,Äulestrasse,primary,50,False,196.14,"LINESTRING (9.5216467 47.1388267, 9.5216592 47.1387729, 9.5216922 47.1386271, 9.5217112 47.1385393, 9.5217373 47.1384283, 9.5217647 47.1383075, 9.5217955 47.1381691, 9.5218191 47.1380418, 9.5218468 47.1378847, 9.5218685 47.1377587, 9.5218749 47.1377299, 9.5218884 47.1376693, 9.5219061 47.1375903, 9.5220183 47.1372072, 9.5220731 47.1370887)",,"['2', '3']",,,,
571067343,False,Äulestrasse,primary,50,True,177.117,"LINESTRING (9.5216467 47.1388267, 9.5216115 47.1389831, 9.521591 47.1391327, 9.5215881 47.1391911, 9.5215857 47.1392673, 9.5215819 47.1393636, 9.521578 47.1394756, 9.5215486 47.1398069, 9.5215293 47.1399018, 9.5215145 47.1399535, 9.5214844 47.1400402, 9.5214317 47.1401409, 9.5214005 47.1401901, 9.5213235 47.1402955, 9.5212748 47.1403503, 9.5212517 47.1403755)",,2,,,,
571067342,False,Städtle,residential,,True,21.208,"LINESTRING (9.5210723 47.1410792, 9.5211235 47.1410841, 9.5211644 47.1410869, 9.5213001 47.141091, 9.5213518 47.1410925)",,,,,,
938744542,True,Adlerkreisel,primary,50,False,8.191,"LINESTRING (9.5210723 47.1410792, 9.5210558 47.1411009, 9.5210296 47.1411196, 9.5209994 47.1411308)",,,roundabout,,,
27345654,False,Abtswingertweg,residential,30,False,62.047,"LINESTRING (9.5224538 47.1428017, 9.5225981 47.143351)",,,,,,
