osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry
225914496,2,residential,30,False,False,102.863,"LINESTRING (-2.7662837 11.525763, -2.7663642 11.5266847)"
984100209,2,residential,30,False,True,154.312,"LINESTRING (-2.7662837 11.525763, -2.7648754 11.5259105)"
984100208,2,residential,30,False,False,259.077,"LINESTRING (-2.7662837 11.525763, -2.7679109 11.5256073, -2.7679941 11.5256132, -2.7680401 11.5256693, -2.768117 11.5262386)"
78145061,2,tertiary,60,False,True,111.829,"LINESTRING (-2.7638 11.525997, -2.7638614 11.5270009)"
984100209,2,residential,30,False,False,117.562,"LINESTRING (-2.7638 11.525997, -2.7648754 11.5259105)"
78145061,2,tertiary,60,False,False,144.598,"LINESTRING (-2.7638 11.525997, -2.763796 11.5257282, -2.7637951 11.5253651, -2.7637723 11.5248641, -2.7637246 11.5247038)"
"[984100210, 984100211]",2,residential,30,False,True,126.822,"LINESTRING (-2.7638 11.525997, -2.7631468 11.5260539, -2.7631897 11.5265501)"
225914539,2,residential,30,False,False,103.983,"LINESTRING (-2.768117 11.5262386, -2.7681353 11.5264138, -2.7682198 11.5271683)"
649302384,,residential,,False,True,224.81399999999996,"LINESTRING (-2.768117 11.5262386, -2.767968 11.5262156, -2.7678037 11.5262071, -2.7675998 11.5262097, -2.7673316 11.5262255, -2.7670929 11.5262675, -2.7670151 11.526286, -2.7669829 11.5263437, -2.7669856 11.526554, -2.7669615 11.5266171, -2.7668971 11.5266355, -2.7663642 11.5266847)"
984100208,2,residential,30,False,True,259.077,"LINESTRING (-2.768117 11.5262386, -2.7680401 11.5256693, -2.7679941 11.5256132, -2.7679109 11.5256073, -2.7662837 11.525763)"
225914496,2,residential,30,False,False,58.897,"LINESTRING (-2.7664596 11.527354, -2.7665385 11.527878)"
225914496,2,residential,30,False,True,75.145,"LINESTRING (-2.7664596 11.527354, -2.7663642 11.5266847)"
685538403,2,residential,50,False,False,148.836,"LINESTRING (-2.7664596 11.527354, -2.7650987 11.5274703)"
78145061,2,tertiary,60,False,False,66.99,"LINESTRING (-2.76389 11.5276027, -2.7638614 11.5270009)"
78145061,2,tertiary,60,False,True,58.769,"LINESTRING (-2.76389 11.5276027, -2.7639088 11.5281309)"
685538403,2,residential,50,False,True,132.511,"LINESTRING (-2.76389 11.5276027, -2.7650987 11.5274703)"
225914542,2,tertiary,50,False,False,99.011,"LINESTRING (-2.76389 11.5276027, -2.7632088 11.5277804, -2.7630304 11.527877)"
225914539,2,residential,30,False,False,88.952,"LINESTRING (-2.7683124 11.5285538, -2.7683915 11.52935)"
225914539,2,residential,30,False,True,65.713,"LINESTRING (-2.7683124 11.5285538, -2.7682729 11.5279641)"
649302375,,residential,,False,True,139.91500000000002,"LINESTRING (-2.7683124 11.5285538, -2.7677711 11.5283357, -2.7676329 11.5279787, -2.7673557 11.5278444)"
225914496,2,residential,30,False,False,126.965,"LINESTRING (-2.7666253 11.5284811, -2.7669549 11.5295763)"
225914496,2,residential,30,False,True,67.725,"LINESTRING (-2.7666253 11.5284811, -2.7665385 11.527878)"
649302388,,residential,,False,False,215.392,"LINESTRING (-2.7666253 11.5284811, -2.7667553 11.528541, -2.7670956 11.5287117, -2.7674389 11.5288669, -2.7676615 11.5289727, -2.76805 11.5291639, -2.7683915 11.52935)"
225914539,2,residential,30,False,True,88.952,"LINESTRING (-2.7683915 11.52935, -2.7683124 11.5285538)"
