osmid,lanes,highway,maxspeed,oneway,reversed,length,ref,geometry,name
235147995,2,residential,30,False,True,226.281,,"LINESTRING (0.3624802 12.0590381, 0.3636939 12.0606911)",
339879073,2,trunk,,False,True,106.137,N 4,"LINESTRING (0.3624802 12.0590381, 0.3623772 12.0590713, 0.36229 12.0591172, 0.3616689 12.0595599)",
339879089,2,trunk,,False,True,142.024,N 18,"LINESTRING (0.3624802 12.0590381, 0.362129 12.0585272, 0.3617382 12.0579871)",
104367481,2,trunk,,False,True,51.01,N 4,"LINESTRING (0.3577424 12.0615393, 0.3573605 12.0618057)",
542566788,,residential,,False,False,51.814,,"LINESTRING (0.3577424 12.0615393, 0.3581204 12.0612556)",
104367481,2,trunk,,False,False,67.265,N 4,"LINESTRING (0.3577424 12.0615393, 0.3579243 12.0614964, 0.3580478 12.0614872, 0.3581889 12.0614987, 0.3583507 12.0615351)",
104367481,2,trunk,,False,True,21.146,N 4,"LINESTRING (0.3585366 12.0615909, 0.3583507 12.0615351)",
38887875,2,primary,,False,False,16.364,N 18,"LINESTRING (0.3585366 12.0615909, 0.3585397 12.0616532, 0.3585569 12.0617363)",
"[339879073, 314282052]",2,trunk,,False,False,194.742,N 4,"LINESTRING (0.3585366 12.0615909, 0.3586194 12.0615968, 0.3586963 12.061585, 0.358757 12.0615645, 0.3588313 12.061527, 0.359366 12.0611496, 0.3600379 12.0606852)",
339873197,2,residential,30,False,True,100.89,,"LINESTRING (0.3589065 12.0622852, 0.3581541 12.0628161)",
38887875,2,primary,,False,False,79.463,N 18,"LINESTRING (0.3589065 12.0622852, 0.3591112 12.0625658, 0.359323 12.0628187, 0.3593509 12.062852)",
38887875,2,primary,,False,True,72.27199999999999,N 18,"LINESTRING (0.3589065 12.0622852, 0.3586267 12.061899, 0.3585873 12.0618184, 0.3585569 12.0617363)",
38887875,2,primary,,False,True,59.265,N 18,"LINESTRING (0.3596704 12.0632838, 0.3593509 12.062852)",
235159276,2,residential,30,False,True,204.402,,"LINESTRING (0.3596704 12.0632838, 0.3611847 12.0621947)",
