osmid,ref,highway,oneway,reversed,length,lanes,maxspeed,geometry
685362266,N 17,secondary,False,True,160.99,,,"LINESTRING (0.0593517 11.5043359, 0.0583173 11.5053697)"
687281882,,tertiary,False,False,439.94100000000003,2,50,"LINESTRING (0.0593517 11.5043359, 0.0578283 11.5026521, 0.056597 11.5014457)"
685362266,N 17,secondary,False,False,160.99,,,"LINESTRING (0.0583173 11.5053697, 0.0593517 11.5043359)"
685362266,N 17,secondary,False,True,61.16,,,"LINESTRING (0.0583173 11.5053697, 0.058203 11.505484, 0.0579129 11.505751)"
235484748,,residential,False,True,310.612,2,30,"LINESTRING (0.0531059 11.5009096, 0.0545202 11.5023736, 0.0550697 11.5029344)"
235484747,,residential,False,True,234.728,2,30,"LINESTRING (0.056597 11.5014457, 0.0550697 11.5029344)"
687281882,,tertiary,False,True,439.94100000000003,2,50,"LINESTRING (0.056597 11.5014457, 0.0578283 11.5026521, 0.0593517 11.5043359)"
235484747,,residential,False,False,234.728,2,30,"LINESTRING (0.0550697 11.5029344, 0.056597 11.5014457)"
235484747,,residential,False,True,187.934,2,30,"LINESTRING (0.0550697 11.5029344, 0.0538429 11.5041224)"
235484748,,residential,False,False,310.612,2,30,"LINESTRING (0.0550697 11.5029344, 0.0545202 11.5023736, 0.0531059 11.5009096)"
235484748,,residential,False,True,440.544,2,30,"LINESTRING (0.0550697 11.5029344, 0.0558069 11.5036866, 0.0579129 11.505751)"
235484747,,residential,False,False,187.934,2,30,"LINESTRING (0.0538429 11.5041224, 0.0550697 11.5029344)"
235484749,,residential,False,True,211.452,2,30,"LINESTRING (0.0538429 11.5041224, 0.0552021 11.5054797)"
235484746,,residential,False,False,148.59,2,30,"LINESTRING (0.0552021 11.5054797, 0.0541771 11.5063611)"
235484749,,residential,False,False,211.452,2,30,"LINESTRING (0.0552021 11.5054797, 0.0538429 11.5041224)"
235484749,,residential,False,True,224.287,2,30,"LINESTRING (0.0552021 11.5054797, 0.0566438 11.5069194)"
685362266,N 17,secondary,False,True,50.698,,,"LINESTRING (0.0579129 11.505751, 0.0575738 11.5060632)"
235484748,,residential,False,False,440.544,2,30,"LINESTRING (0.0579129 11.505751, 0.0558069 11.5036866, 0.0550697 11.5029344)"
685362266,N 17,secondary,False,False,61.16,,,"LINESTRING (0.0579129 11.505751, 0.058203 11.505484, 0.0583173 11.5053697)"
235484742,,residential,False,False,443.548,2,30,"LINESTRING (0.0620173 11.5060139, 0.0611751 11.5059549, 0.0602841 11.5059918, 0.0587728 11.5060876, 0.058551 11.5062349, 0.0581557 11.5066127)"
235484745,,residential,False,False,88.054,2,30,"LINESTRING (0.0575738 11.5060632, 0.0581557 11.5066127)"
685362266,N 17,secondary,False,False,50.698,,,"LINESTRING (0.0575738 11.5060632, 0.0579129 11.505751)"
685362266,N 17,secondary,False,True,139.041,,,"LINESTRING (0.0575738 11.5060632, 0.0566438 11.5069194)"
235484746,,residential,False,False,109.501,2,30,"LINESTRING (0.0541771 11.5063611, 0.0534218 11.5070107)"
235484746,,residential,False,True,148.59,2,30,"LINESTRING (0.0541771 11.5063611, 0.0552021 11.5054797)"
235484742,,residential,False,False,139.275,2,30,"LINESTRING (0.0581557 11.5066127, 0.0572407 11.5074873)"
235484745,,residential,False,False,136.68,2,30,"LINESTRING (0.0581557 11.5066127, 0.05904 11.5074845)"
235484745,,residential,False,True,88.054,2,30,"LINESTRING (0.0581557 11.5066127, 0.0575738 11.5060632)"
235484742,,residential,False,True,443.548,2,30,"LINESTRING (0.0581557 11.5066127, 0.058551 11.5062349, 0.0587728 11.5060876, 0.0602841 11.5059918, 0.0611751 11.5059549, 0.0620173 11.5060139)"
235484749,,residential,False,False,224.287,2,30,"LINESTRING (0.0566438 11.5069194, 0.0552021 11.5054797)"
235484749,,residential,False,True,90.651,2,30,"LINESTRING (0.0566438 11.5069194, 0.0572407 11.5074873)"
685362266,N 17,secondary,False,False,139.041,,,"LINESTRING (0.0566438 11.5069194, 0.0575738 11.5060632)"
235484746,,residential,False,True,109.501,2,30,"LINESTRING (0.0534218 11.5070107, 0.0541771 11.5063611)"
235484745,,residential,False,True,136.68,2,30,"LINESTRING (0.05904 11.5074845, 0.0581557 11.5066127)"
235484742,,residential,False,True,139.275,2,30,"LINESTRING (0.0572407 11.5074873, 0.0581557 11.5066127)"
235484749,,residential,False,False,90.651,2,30,"LINESTRING (0.0572407 11.5074873, 0.0566438 11.5069194)"
