osmid,highway,junction,oneway,reversed,length,geometry,lanes,name
353467503,tertiary,roundabout,True,False,18.384999999999998,"LINESTRING (47.8025466 29.3277424, 47.8026075 29.3277573, 47.8026642 29.3277816, 47.802715 29.3278144)",,
353467492,tertiary,,False,False,71.969,"LINESTRING (47.8023155 29.3274796, 47.8023105 29.3271903, 47.8023137 29.3271119, 47.8023075 29.3268325)",2,شارع 122
353467506,tertiary,,True,False,37.967,"LINESTRING (47.8023155 29.3274796, 47.8023504 29.3275708, 47.8023799 29.3276176, 47.8024289 29.3276602, 47.8024623 29.3276865, 47.8025466 29.3277424)",,شارع 122
444637830,residential,,False,False,45.025,"LINESTRING (47.8026884 29.3292053, 47.8031528 29.3291995)",,شارع 230
353467494,tertiary,,False,False,61.889,"LINESTRING (47.8026884 29.3292053, 47.8026811 29.3288271, 47.8026776 29.3286488)",,شارع 231
353467494,tertiary,,False,True,79.404,"LINESTRING (47.8026884 29.3292053, 47.8026964 29.3295574, 47.8027075 29.3299192)",,شارع 231
353467503,tertiary,roundabout,True,False,38.412000000000006,"LINESTRING (47.8022705 29.3282794, 47.8022224 29.3282399, 47.8021838 29.3281932, 47.802156 29.328141, 47.8021401 29.3280851, 47.8021365 29.3280276, 47.8021455 29.3279706)",,
353467495,tertiary,roundabout,True,False,26.764,"LINESTRING (47.8112008 29.3275718, 47.8111678 29.3276886, 47.8110897 29.3277879)",,
353467492,tertiary,,False,True,71.969,"LINESTRING (47.8023075 29.3268325, 47.8023137 29.3271119, 47.8023105 29.3271903, 47.8023155 29.3274796)",2,شارع 122
427044079,tertiary,,True,False,26.732999999999997,"LINESTRING (47.8023075 29.3268325, 47.8022494 29.3267193, 47.8021679 29.3266271)",,شارع 122
353467503,tertiary,roundabout,True,False,13.864,"LINESTRING (47.8021455 29.3279706, 47.8021596 29.3279309, 47.8021799 29.3278933, 47.8022058 29.3278584)",,
353467494,tertiary,,False,True,61.889,"LINESTRING (47.8026776 29.3286488, 47.8026811 29.3288271, 47.8026884 29.3292053)",,شارع 231
353467511,tertiary,,True,False,42.688,"LINESTRING (47.8026776 29.3286488, 47.8026213 29.3284524, 47.8025864 29.3284126, 47.8025435 29.3283846, 47.8024594 29.3283423)",,شارع 231
353467503,tertiary,roundabout,True,False,18.887999999999998,"LINESTRING (47.8028293 29.3280697, 47.8028169 29.3281253, 47.8027929 29.3281779, 47.8027581 29.3282257)",,
