osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,access,width,junction
93627469,False,شارع 8,residential,False,218.786,"LINESTRING (48.0284701 29.3236425, 48.0288179 29.3228314, 48.0290602 29.3222664, 48.0292604 29.3217995)",,,,,,
172862799,False,شارع 7,residential,False,91.271,"LINESTRING (48.0292604 29.3217995, 48.0283793 29.3215104)",,,,,,
172862799,False,شارع 7,residential,True,80.472,"LINESTRING (48.0292604 29.3217995, 48.0300373 29.3220543)",,,,,,
93627469,False,شارع 8,residential,True,218.786,"LINESTRING (48.0292604 29.3217995, 48.0290602 29.3222664, 48.0288179 29.3228314, 48.0284701 29.3236425)",,,,,,
197352296,True,شارع عبدالله علي دشتي,secondary,False,129.534,"LINESTRING (48.0319 29.3151825, 48.0331658 29.3155552)",2,101,45,yes,,
172862799,False,شارع 7,residential,False,80.472,"LINESTRING (48.0300373 29.3220543, 48.0292604 29.3217995)",,,,,,
"[172862658, 172862422, 93627558, 172862799]",False,شارع 7,residential,False,376.463,"LINESTRING (48.0300373 29.3220543, 48.0296437 29.3229232, 48.0296635 29.3229706, 48.0296866 29.3230261, 48.030266 29.3232225, 48.030384 29.3232132, 48.0304806 29.3231757, 48.0305848 29.3229336, 48.0307917 29.3224555, 48.0307917 29.3223526, 48.0307126 29.3222767, 48.0300373 29.3220543)",,,,,,
"[172862658, 93627558, 172862422, 172862799]",False,شارع 7,residential,True,376.46299999999997,"LINESTRING (48.0300373 29.3220543, 48.0307126 29.3222767, 48.0307917 29.3223526, 48.0307917 29.3224555, 48.0305848 29.3229336, 48.0304806 29.3231757, 48.030384 29.3232132, 48.030266 29.3232225, 48.0296866 29.3230261, 48.0296635 29.3229706, 48.0296437 29.3229232, 48.0300373 29.3220543)",,,,,,
93627563,False,شارع 7,residential,False,56.746,"LINESTRING (48.0283793 29.3215104, 48.0286111 29.3210418)",,,,,,
172862799,False,شارع 7,residential,True,91.271,"LINESTRING (48.0283793 29.3215104, 48.0292604 29.3217995)",,,,,,
93627563,False,شارع 7,residential,True,56.746,"LINESTRING (48.0286111 29.3210418, 48.0283793 29.3215104)",,,,,,
93627580,True,شارع حمد بن مبارك المناعي,tertiary,False,25.559,"LINESTRING (48.0286111 29.3210418, 48.0283649 29.3209596)",2,111,45,yes,,
