osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,tunnel
"[315215610, 26281692]",True,2,A8011,Central Way,primary,"['40 mph', '50 mph']",False,170.52700000000002,"LINESTRING (-3.9956673 55.9433053, -3.995093 55.9439247, -3.9948838 55.9441231, -3.9947142 55.9442693, -3.9946543 55.9443364, -3.9945822 55.9444131, -3.9945264 55.944539, -3.9944865 55.9446767)",,,
26291424,True,,,,tertiary,30 mph,False,29.884999999999998,"LINESTRING (-3.9903252 55.944039, -3.990317 55.9440009, -3.9903309 55.9439633, -3.9903654 55.9439301, -3.9904169 55.9439048, -3.9904802 55.94389, -3.9905485 55.9438872, -3.990615 55.9438968)",roundabout,,
"[30796813, 228118615, 148255751]",False,2,,North Carbrain Road,tertiary,30 mph,True,377.74600000000004,"LINESTRING (-3.9903252 55.944039, -3.9902097 55.9440584, -3.9900729 55.9440902, -3.9899101 55.9441532, -3.9893997 55.9443985, -3.9892554 55.9444456, -3.9891576 55.9444669, -3.9889754 55.9445065, -3.9888497 55.9446274, -3.9886534 55.9447234, -3.9879515 55.9449761, -3.9870423 55.9453529, -3.9864441 55.9456156, -3.9859126 55.9458383, -3.9857431 55.9458951, -3.9855856 55.9459369, -3.9854201 55.9459869)",,,
26291424,True,,,,tertiary,30 mph,False,16.673,"LINESTRING (-3.990615 55.9438968, -3.9906713 55.943917, -3.9907136 55.9439461, -3.9907377 55.943981, -3.9907413 55.9440185)",roundabout,,
"[228118613, 32015045, 32015046]",False,2,,North Carbrain Road,tertiary,30 mph,True,76.448,"LINESTRING (-3.990615 55.9438968, -3.9906815 55.9438255, -3.9907604 55.9437686, -3.990886 55.9436895, -3.9914094 55.943376)",,yes,
26291424,True,,,,tertiary,30 mph,False,36.363,"LINESTRING (-3.9907413 55.9440185, -3.9907217 55.9440573, -3.9906801 55.9440902, -3.9906212 55.9441135, -3.9905519 55.9441245, -3.9904928 55.9441233, -3.9904365 55.9441131, -3.9903874 55.9440946, -3.9903493 55.9440693, -3.9903252 55.944039)",roundabout,,
43522017,False,2,,McIntosh Way,tertiary,30 mph,True,156.551,"LINESTRING (-3.9907413 55.9440185, -3.9909326 55.9440345, -3.9910946 55.9440589, -3.9912695 55.9441046, -3.9914332 55.9442041, -3.9915754 55.9442916, -3.9917295 55.9443833, -3.9918334 55.9444313, -3.991907 55.9444574, -3.9919967 55.9444819, -3.9920905 55.9444964, -3.9921847 55.9445079, -3.992237 55.9445127, -3.9922967 55.9445172, -3.9924928 55.9445299, -3.9927054 55.9445442, -3.9928258 55.9445419, -3.9929461 55.9445318)",,,
26291701,True,2,,McIntosh Way,tertiary,40 mph,False,61.86100000000001,"LINESTRING (-3.9929461 55.9445318, -3.9931217 55.9444794, -3.9932622 55.9444449, -3.9934148 55.9444229, -3.9935286 55.9444156, -3.9936306 55.9444213, -3.9937661 55.944439, -3.993887 55.9444613)",,,
43522017,False,2,,McIntosh Way,tertiary,30 mph,False,156.551,"LINESTRING (-3.9929461 55.9445318, -3.9928258 55.9445419, -3.9927054 55.9445442, -3.9924928 55.9445299, -3.9922967 55.9445172, -3.992237 55.9445127, -3.9921847 55.9445079, -3.9920905 55.9444964, -3.9919967 55.9444819, -3.991907 55.9444574, -3.9918334 55.9444313, -3.9917295 55.9443833, -3.9915754 55.9442916, -3.9914332 55.9442041, -3.9912695 55.9441046, -3.9910946 55.9440589, -3.9909326 55.9440345, -3.9907413 55.9440185)",,,
26291710,True,1,,McIntosh Way,tertiary,40 mph,False,41.476,"LINESTRING (-3.9934617 55.9446646, -3.9934303 55.9446047, -3.9933904 55.9445692, -3.9933491 55.9445412, -3.9933013 55.9445262, -3.9932222 55.9445167, -3.9931395 55.9445132, -3.9929461 55.9445318)",,,
