osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge,width
44808173,2,Station Road,tertiary,30 mph,False,False,185.725,"LINESTRING (-2.283004 54.0658577, -2.2828699 54.0659055, -2.2827482 54.0659566, -2.2823606 54.066223, -2.2821785 54.0663674, -2.2821144 54.0664139, -2.2811342 54.0671069)",,,,
2817472,,Bond Lane,unclassified,30 mph,False,False,62.620000000000005,"LINESTRING (-2.2811342 54.0671069, -2.2811737 54.0671393, -2.2812005 54.0671855, -2.2812034 54.0672307, -2.2812016 54.0672693, -2.2810375 54.0676479)",,,,
"[874027022, 40303532, 371375062, 371375063]",2,Station Road,tertiary,30 mph,False,False,177.482,"LINESTRING (-2.2811342 54.0671069, -2.2809271 54.0672637, -2.2808678 54.0673013, -2.2808029 54.067334, -2.2807269 54.0673468, -2.2805086 54.0673493, -2.2803155 54.0673499, -2.2802834 54.0673509, -2.2802349 54.0673508, -2.2797592 54.0673444, -2.2793509 54.0673458, -2.2791504 54.0673493, -2.2790145 54.0673528, -2.2789027 54.0673634, -2.2787829 54.0673897, -2.2786248 54.067435)",,,,
44808173,2,Station Road,tertiary,30 mph,False,True,185.72499999999997,"LINESTRING (-2.2811342 54.0671069, -2.2821144 54.0664139, -2.2821785 54.0663674, -2.2823606 54.066223, -2.2827482 54.0659566, -2.2828699 54.0659055, -2.283004 54.0658577)",,,,
4704579,,,unclassified,,False,False,133.137,"LINESTRING (-2.2786248 54.067435, -2.2786437 54.0674592, -2.2786582 54.0674896, -2.2786641 54.0675322, -2.2786533 54.0676304, -2.2786341 54.0677125, -2.2786394 54.0677698, -2.2786801 54.0678812, -2.2787334 54.0679876, -2.2787414 54.068066, -2.2787307 54.0681039, -2.2787225 54.0681324, -2.2786909 54.0682435, -2.2786811 54.0682779, -2.2785486 54.0686084)",,,,
40303535,2,Station Road,tertiary,30 mph,False,False,73.185,"LINESTRING (-2.2786248 54.067435, -2.2785534 54.0674467, -2.2784672 54.0674463, -2.2782631 54.067437, -2.2779456 54.0674164, -2.2777694 54.0674008, -2.2775161 54.0673694)",,,,
"[40303532, 371375062, 874027022, 371375063]",2,Station Road,tertiary,30 mph,False,True,177.482,"LINESTRING (-2.2786248 54.067435, -2.2787829 54.0673897, -2.2789027 54.0673634, -2.2790145 54.0673528, -2.2791504 54.0673493, -2.2793509 54.0673458, -2.2797592 54.0673444, -2.2802349 54.0673508, -2.2802834 54.0673509, -2.2803155 54.0673499, -2.2805086 54.0673493, -2.2807269 54.0673468, -2.2808029 54.067334, -2.2808678 54.0673013, -2.2809271 54.0672637, -2.2811342 54.0671069)",,,,
100650559,,Duke Street,secondary,20 mph,False,True,14.814,"LINESTRING (-2.2775161 54.0673694, -2.2775634 54.0672391)",B6480,,,
40303535,2,Station Road,tertiary,30 mph,False,True,73.185,"LINESTRING (-2.2775161 54.0673694, -2.2777694 54.0674008, -2.2779456 54.0674164, -2.2782631 54.067437, -2.2784672 54.0674463, -2.2785534 54.0674467, -2.2786248 54.067435)",,,,
592118932,,Duke Street,secondary,20 mph,False,False,36.146,"LINESTRING (-2.2775161 54.0673694, -2.2775039 54.0674008, -2.2774309 54.0675888, -2.2774203 54.067616, -2.2773951 54.0676866)",B6480,,,
