osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,lanes,ref,bridge
827569145,True,Queensway,primary,30 mph,roundabout,False,20.981,"LINESTRING (0.7171419 51.5403104, 0.7171284 51.5404989)",,,
149588605,False,Southchurch Road,residential,,,False,74.888,"LINESTRING (0.7171419 51.5403104, 0.7169176 51.5402921, 0.7160668 51.5402301)",,,
696532179,True,Queensway,primary,30 mph,,False,82.82400000000001,"LINESTRING (0.714805 51.5413678, 0.7142694 51.5414032, 0.7138685 51.5413934, 0.713812 51.541392, 0.7136124 51.5413761)",2,A13,
56214631,True,Queensway,primary,30 mph,,False,224.148,"LINESTRING (0.7136124 51.5413761, 0.7131086 51.5412918, 0.7129033 51.541257, 0.7117095 51.5410382, 0.7115593 51.5409952, 0.71151 51.5409811, 0.7113122 51.5409413, 0.7110875 51.5409269, 0.7109261 51.5409303, 0.7107377 51.540944, 0.7106264 51.5409684, 0.7105532 51.5409911, 0.7105016 51.5410071)",,A13,
"[730880412, 827573327]",False,Chichester Road,tertiary,20 mph,,True,20.698999999999998,"LINESTRING (0.7136124 51.5413761, 0.7136635 51.541323, 0.7136786 51.5413031, 0.713712 51.5412309, 0.7137177 51.541204)",,,
34416611,True,Queensway,primary,40 mph,,False,420.12,"LINESTRING (0.7147636 51.5414961, 0.7153169 51.5413885, 0.7156494 51.5413025, 0.7161089 51.5411558, 0.7169452 51.5408284, 0.7170759 51.5407715, 0.7172298 51.5406866, 0.7173316 51.5406037, 0.7174269 51.5405159, 0.7175245 51.5403982, 0.7175943 51.5402686, 0.7176335 51.5401702, 0.7176446 51.5400391, 0.7177166 51.5394492, 0.7177745 51.5389501, 0.7178006 51.538724)",,A1160,
56214637,True,Queensway,primary_link,30 mph,,False,208.709,"LINESTRING (0.7147636 51.5414961, 0.7152676 51.541452, 0.7157093 51.5413741, 0.7159764 51.541296, 0.7161803 51.5412227, 0.7169587 51.5409168, 0.717349 51.5407645, 0.7174643 51.5407178)",,A13,
49072429,False,Southchurch Road,primary,30 mph,,False,79.19200000000001,"LINESTRING (0.7213629 51.5401075, 0.7208013 51.5400986, 0.7202181 51.5401044)",,A13,
49072429,False,Southchurch Road,primary,30 mph,,True,46.272999999999996,"LINESTRING (0.7213629 51.5401075, 0.7215081 51.5401086, 0.7220319 51.5401134)",,A13,
149712056,False,Lancaster Gardens,residential,,,False,199.62599999999998,"LINESTRING (0.7213629 51.5401075, 0.7213786 51.539664, 0.7213895 51.5394635, 0.721403 51.5391565, 0.7200592 51.5390397)",,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,False,98.184,"LINESTRING (0.7230853 51.5416456, 0.7228098 51.5425118)",2,,
149711988,False,Boscombe Road,residential,,,False,264.964,"LINESTRING (0.7230853 51.5416456, 0.7224283 51.541651, 0.7192544 51.541681)",,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,False,78.488,"LINESTRING (0.7228098 51.5425118, 0.7225925 51.5432046)",2,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,True,98.184,"LINESTRING (0.7228098 51.5425118, 0.7230853 51.5416456)",2,,
149712123,False,Wimborne Road,residential,,,False,245.26,"LINESTRING (0.7228098 51.5425118, 0.7192636 51.5425397)",,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,False,16.641,"LINESTRING (0.7225925 51.5432046, 0.7225465 51.5433515)",2,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,True,78.488,"LINESTRING (0.7225925 51.5432046, 0.7228098 51.5425118)",2,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,False,80.396,"LINESTRING (0.7222898 51.5441463, 0.7220669 51.5448559)",2,,
149712089,True,South Avenue,residential,,,False,282.461,"LINESTRING (0.7222898 51.5441463, 0.7182476 51.5437815)",,,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,True,90.17500000000001,"LINESTRING (0.7222898 51.5441463, 0.7223766 51.5438411, 0.7224116 51.5437627, 0.7225465 51.5433515)",2,,
149712004,True,Central Avenue,tertiary,30 mph,,False,281.56399999999996,"LINESTRING (0.7180353 51.5445017, 0.720682 51.5447346, 0.7220669 51.5448559)",,,
827912709,False,Sutton Road,secondary,30 mph,,False,67.388,"LINESTRING (0.7180353 51.5445017, 0.7180936 51.5442032, 0.7181954 51.5439045)",2,B1015,
827912709,False,Sutton Road,secondary,30 mph,,True,14.145,"LINESTRING (0.7182476 51.5437815, 0.7181954 51.5439045)",2,B1015,
827912709,False,Sutton Road,secondary,30 mph,,False,59.488,"LINESTRING (0.7182476 51.5437815, 0.7183108 51.543651, 0.718384 51.5434615, 0.7184369 51.5432888, 0.7184453 51.5432613)",2,B1015,
149712109,False,Swanage Road,residential,,,True,281.666,"LINESTRING (0.7184985 51.5430714, 0.7225465 51.5433515)",,,
827912709,False,Sutton Road,secondary,30 mph,,True,21.434,"LINESTRING (0.7184985 51.5430714, 0.7184453 51.5432613)",2,B1015,
827912709,False,Sutton Road,secondary,30 mph,,False,50.708,"LINESTRING (0.7184985 51.5430714, 0.7185492 51.5428284, 0.7185697 51.5426178)",2,B1015,
149711988,False,Boscombe Road,residential,,,True,40.826,"LINESTRING (0.7186641 51.5416853, 0.7192544 51.541681)",,,
827912709,False,Sutton Road,secondary,30 mph,,True,26.267,"LINESTRING (0.7186641 51.5416853, 0.7186587 51.5419215)",2,B1015,
827912709,False,Sutton Road,secondary,30 mph,,False,41.434,"LINESTRING (0.7186641 51.5416853, 0.7186803 51.5415046, 0.7186867 51.541313)",2,B1015,
149711989,False,Bournemouth Park Road,tertiary,30 mph,,True,80.396,"LINESTRING (0.7220669 51.5448559, 0.7222898 51.5441463)",2,,
149712123,False,Wimborne Road,residential,,,True,47.119,"LINESTRING (0.7185823 51.5425442, 0.7192636 51.5425397)",,,
827912709,False,Sutton Road,secondary,30 mph,,False,69.442,"LINESTRING (0.7185823 51.5425442, 0.7186587 51.5419215)",2,B1015,
