osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,tunnel
257590894,3,Kenmure Avenue,residential,False,True,9.766,,,"LINESTRING (-4.224787 55.9044103, -4.2249382 55.9044333)",,
257590895,5,Kirkintilloch Road,primary,False,True,6.545,A803,30 mph,"LINESTRING (-4.224787 55.9044103, -4.2248637 55.9043701)",,
45482920,3,Springfield Road,residential,False,True,33.181,,,"LINESTRING (-4.224787 55.9044103, -4.2246032 55.9043937, -4.224268 55.9043453)",,
"[257590896, 257658421, 249121830]","['4', '5']",Kirkintilloch Road,primary,False,False,113.27199999999999,A803,30 mph,"LINESTRING (-4.224787 55.9044103, -4.2246821 55.9045328, -4.2246176 55.9046358, -4.2244396 55.9050139, -4.2244025 55.9051883, -4.2243807 55.9052906, -4.2243588 55.9053938)",,
4470844,,Balmuildy Road,tertiary,False,False,102.52799999999999,,,"LINESTRING (-4.2235254 55.9084945, -4.2246095 55.9085496, -4.2251637 55.9085778)",,
"[1133499075, 257658423]",2,Kirkintilloch Road,primary,False,True,204.00500000000002,A803,30 mph,"LINESTRING (-4.2235254 55.9084945, -4.2238764 55.9080567, -4.2240071 55.907767, -4.2241088 55.9070646, -4.2241433 55.9068264, -4.2241595 55.9067146)",,
31000816,,Kirkintilloch Road,primary,False,True,14.363,A803,30 mph,"LINESTRING (-4.2300722 55.9021452, -4.2301964 55.9020364)",,
"[31000816, 257590895]",5,Kirkintilloch Road,primary,False,False,410.91099999999994,A803,30 mph,"LINESTRING (-4.2300722 55.9021452, -4.2297885 55.902329, -4.2294475 55.9025204, -4.2291828 55.9026436, -4.2287759 55.9028, -4.2275468 55.9031932, -4.2265519 55.9035445, -4.2261318 55.9037054, -4.2258023 55.9038525, -4.2254978 55.9040053, -4.2250848 55.9042479, -4.2249859 55.904306, -4.2248637 55.9043701)",,
31092884,2,South Crosshill Road,tertiary,False,True,114.48899999999999,,30 mph,"LINESTRING (-4.2188465 55.9078367, -4.21911 55.9077062, -4.2203234 55.9072261)",,
31092890,,Cleddens Court,residential,False,False,152.994,,,"LINESTRING (-4.2188465 55.9078367, -4.2187259 55.9075739, -4.2186099 55.9074446, -4.2184434 55.9073844, -4.2169348 55.9073113)",,
31092916,,Hillside Drive,residential,False,False,22.222,,,"LINESTRING (-4.2188465 55.9078367, -4.2189152 55.9079541, -4.2189289 55.90803)",,
30832179,,Callieburn Road,residential,False,False,58.64,,,"LINESTRING (-4.2170164 55.9037933, -4.2171489 55.9032712)",,
249123998,,Springfield Road,residential,False,False,126.974,,,"LINESTRING (-4.2170164 55.9037933, -4.2190446 55.9038993)",,
249123998,,Springfield Road,residential,False,True,126.974,,,"LINESTRING (-4.2190446 55.9038993, -4.2170164 55.9037933)",,
30832102,,The Leys,residential,False,False,58.663,,,"LINESTRING (-4.2190446 55.9038993, -4.2189548 55.9041517, -4.2188384 55.9044139)",,
249123998,,Springfield Road,residential,False,False,106.411,,,"LINESTRING (-4.2190446 55.9038993, -4.2202024 55.9039444, -4.2207449 55.9039815)",,
30832225,,Muir Street,residential,False,True,102.189,,,"LINESTRING (-4.2207449 55.9039815, -4.2209562 55.9031203, -4.2210033 55.9030782)",,
30832237,,Springfield Road,unclassified,True,False,79.276,,,"LINESTRING (-4.2207449 55.9039815, -4.2213253 55.9040303, -4.2219846 55.9041343)",,
249123998,,Springfield Road,residential,False,True,106.411,,,"LINESTRING (-4.2207449 55.9039815, -4.2202024 55.9039444, -4.2190446 55.9038993)",,
30832237,,Springfield Road,unclassified,True,False,25.361,,,"LINESTRING (-4.2219846 55.9041343, -4.2223794 55.9041894)",,
30832100,,Keir Hardie Court,residential,False,False,122.981,,,"LINESTRING (-4.2219846 55.9041343, -4.2218301 55.9043353, -4.2215743 55.9044868, -4.2213388 55.9046015, -4.2211323 55.9047235, -4.2208985 55.9050323)",,
