osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,ref
124540819,Fairfield Square,residential,False,False,41.59,"LINESTRING (-2.149933 53.4762161, -2.1498995 53.4759994, -2.1498764 53.4758436)",,,,
362041471,Fairfield Road,tertiary,False,False,99.29899999999999,"LINESTRING (-2.149933 53.4762161, -2.149599 53.4763363, -2.1486845 53.4767109)",30 mph,,,
362041471,Fairfield Road,tertiary,False,True,137.265,"LINESTRING (-2.149933 53.4762161, -2.1500134 53.4761931, -2.1503286 53.4761163, -2.1506516 53.4760878, -2.1508086 53.476074, -2.1515171 53.4761584, -2.1519516 53.4761837)",30 mph,,,
167788780,Market Street,tertiary,False,False,34.21,"LINESTRING (-2.1463724 53.4774933, -2.1460979 53.477754)",30 mph,,,
167788780,Market Street,tertiary,False,True,19.37,"LINESTRING (-2.1463724 53.4774933, -2.1466039 53.4773867)",30 mph,,,
124185203,King Street,residential,False,False,82.99799999999999,"LINESTRING (-2.1463724 53.4774933, -2.1461856 53.4773645, -2.1452677 53.477181)",,,,
167788780,Market Street,tertiary,False,False,30.541,"LINESTRING (-2.1460979 53.477754, -2.1461182 53.4780284)",30 mph,,,
167788780,Market Street,tertiary,False,True,34.21,"LINESTRING (-2.1460979 53.477754, -2.1463724 53.4774933)",30 mph,,,
67241327,Ashton Hill Lane,tertiary,False,False,77.531,"LINESTRING (-2.1460979 53.477754, -2.1456535 53.4778477, -2.1454953 53.4778557, -2.1453558 53.4778381, -2.1450142 53.4777157)",,,,
61698026,Albert Street,residential,False,False,111.382,"LINESTRING (-2.1418767 53.4816023, -2.1422725 53.4817042, -2.14344 53.4819733)",,,,
165548180,Market Street,tertiary,False,False,43.81,"LINESTRING (-2.14344 53.4819733, -2.1431396 53.4823244)",30 mph,,,
165548180,Market Street,tertiary,False,True,55.297,"LINESTRING (-2.14344 53.4819733, -2.1438742 53.4815484)",30 mph,,,
61698026,Albert Street,residential,False,True,111.382,"LINESTRING (-2.14344 53.4819733, -2.1422725 53.4817042, -2.1418767 53.4816023)",,,,
165548180,Market Street,tertiary,False,False,22.765,"LINESTRING (-2.1447596 53.4807602, -2.1445539 53.4809243)",30 mph,,,
999859086,Market Street,tertiary,False,True,60.567,"LINESTRING (-2.1447596 53.4807602, -2.1451345 53.4802633)",30 mph,,,
61698027,Greenside Lane,unclassified,False,True,75.88300000000001,"LINESTRING (-2.1447596 53.4807602, -2.145339 53.4810156, -2.1456645 53.4811789)",,,,
61698029,Dunkirk Street,residential,False,True,78.469,"LINESTRING (-2.1431396 53.4823244, -2.1420341 53.482069)",,,,
165548180,Market Street,tertiary,False,False,23.169,"LINESTRING (-2.1431396 53.4823244, -2.1429808 53.4825101)",30 mph,,,
165548180,Market Street,tertiary,False,True,43.81,"LINESTRING (-2.1431396 53.4823244, -2.14344 53.4819733)",30 mph,,,
67241327,Ashton Hill Lane,tertiary,False,True,42.236,"LINESTRING (-2.1447997 53.47603, -2.1446064 53.476392)",,,,
70258806,Gorseyfields,residential,False,False,136.803,"LINESTRING (-2.1447997 53.47603, -2.1464269 53.4767888)",30 mph,,,
"[69953097, 69953098, 67241327]",Ashton Hill Lane,tertiary,False,False,134.452,"LINESTRING (-2.1447997 53.47603, -2.1450048 53.4756268, -2.1450791 53.4754343, -2.1450832 53.4753499, -2.1450737 53.474844)",,yes,,
70241426,Broadway North,residential,False,False,86.339,"LINESTRING (-2.147748 53.4747383, -2.1478384 53.4755129)",,,,
216115103,Broadway,residential,False,False,54.157,"LINESTRING (-2.147748 53.4747383, -2.1469306 53.4747614)",,,,
69953093,Fairway,residential,False,False,36.86,"LINESTRING (-2.1461416 53.4752525, -2.1461719 53.4755835)",,,,
69953093,Fairway,residential,False,True,52.072,"LINESTRING (-2.1461416 53.4752525, -2.1460988 53.4747849)",,,,
69953095,Ash Grove,residential,False,False,51.57,"LINESTRING (-2.1461416 53.4752525, -2.1453645 53.4752869)",,,,
69953093,Fairway,residential,False,True,36.86,"LINESTRING (-2.1461719 53.4755835, -2.1461416 53.4752525)",,,,
69953094,Heather Grove,residential,False,True,8.081,"LINESTRING (-2.1435121 53.4746434, -2.1434885 53.4745721)",,,,
69953095,Ash Grove,residential,False,True,51.57,"LINESTRING (-2.1453645 53.4752869, -2.1461416 53.4752525)",,,,
69953096,Heather Grove,residential,False,True,7.047,"LINESTRING (-2.1434579 53.4745114, -2.1434885 53.4745721)",,,,
216115103,Broadway,residential,False,True,68.159,"LINESTRING (-2.1450737 53.474844, -2.1460988 53.4747849)",,,,
69953097,Ashton Hill Lane,tertiary,False,False,38.983,"LINESTRING (-2.1450737 53.474844, -2.1450644 53.4747674, -2.1450368 53.4747003, -2.1449963 53.474637, -2.1449398 53.4745833, -2.144854 53.4745303)",,,,
"[69953097, 69953098, 67241327]",Ashton Hill Lane,tertiary,False,True,134.452,"LINESTRING (-2.1450737 53.474844, -2.1450832 53.4753499, -2.1450791 53.4754343, -2.1450048 53.4756268, -2.1447997 53.47603)",,yes,,
69953093,Fairway,residential,False,False,52.072,"LINESTRING (-2.1460988 53.4747849, -2.1461416 53.4752525)",,,,
216115103,Broadway,residential,False,False,68.159,"LINESTRING (-2.1460988 53.4747849, -2.1450737 53.474844)",,,,
216115103,Broadway,residential,False,True,53.382,"LINESTRING (-2.1460988 53.4747849, -2.1469045 53.4747621)",,,,
69953094,Heather Grove,residential,False,False,8.081,"LINESTRING (-2.1434885 53.4745721, -2.1435121 53.4746434)",,,,
69953096,Heather Grove,residential,False,False,7.047,"LINESTRING (-2.1434885 53.4745721, -2.1434579 53.4745114)",,,,
69953094,Heather Grove,residential,False,True,70.342,"LINESTRING (-2.1434885 53.4745721, -2.1440821 53.4744234, -2.1443449 53.4742293)",,,,
69953097,Ashton Hill Lane,tertiary,False,True,47.491,"LINESTRING (-2.1443449 53.4742293, -2.144854 53.4745303)",,,,
69953094,Heather Grove,residential,False,False,70.342,"LINESTRING (-2.1443449 53.4742293, -2.1440821 53.4744234, -2.1434885 53.4745721)",,,,
70241444,Southway,residential,False,False,58.716,"LINESTRING (-2.1469045 53.4747621, -2.1468304 53.4742359)",,,,
216115103,Broadway,residential,False,False,53.382,"LINESTRING (-2.1469045 53.4747621, -2.1460988 53.4747849)",,,,
216115103,Broadway,residential,False,True,1.729,"LINESTRING (-2.1469045 53.4747621, -2.1469306 53.4747614)",,,,
69953097,Ashton Hill Lane,tertiary,False,False,47.491,"LINESTRING (-2.144854 53.4745303, -2.1443449 53.4742293)",,,,
69953097,Ashton Hill Lane,tertiary,False,True,38.983,"LINESTRING (-2.144854 53.4745303, -2.1449398 53.4745833, -2.1449963 53.474637, -2.1450368 53.4747003, -2.1450644 53.4747674, -2.1450737 53.474844)",,,,
70241444,Southway,residential,False,True,58.716,"LINESTRING (-2.1468304 53.4742359, -2.1469045 53.4747621)",,,,
70241418,Northway,residential,False,False,84.317,"LINESTRING (-2.1469306 53.4747614, -2.1469987 53.4755186)",,,,
216115103,Broadway,residential,False,False,1.729,"LINESTRING (-2.1469306 53.4747614, -2.1469045 53.4747621)",,,,
216115103,Broadway,residential,False,True,54.157,"LINESTRING (-2.1469306 53.4747614, -2.147748 53.4747383)",,,,
70241426,Broadway North,residential,False,True,86.339,"LINESTRING (-2.1478384 53.4755129, -2.147748 53.4747383)",,,,
70241418,Northway,residential,False,True,84.317,"LINESTRING (-2.1469987 53.4755186, -2.1469306 53.4747614)",,,,
70258806,Gorseyfields,residential,False,True,14.673,"LINESTRING (-2.1472235 53.477151, -2.1470595 53.4770622)",30 mph,,,
70258781,Egerton Mews,residential,False,False,17.058,"LINESTRING (-2.1470595 53.4770622, -2.1471813 53.476927)",,,,
70258806,Gorseyfields,residential,False,False,14.673,"LINESTRING (-2.1470595 53.4770622, -2.1472235 53.477151)",30 mph,,,
70258806,Gorseyfields,residential,False,True,51.738,"LINESTRING (-2.1470595 53.4770622, -2.1464269 53.4767888)",30 mph,,,
70258796,Ellen Street,residential,False,False,35.351,"LINESTRING (-2.1450142 53.4777157, -2.1446842 53.4779657)",,,,
67241327,Ashton Hill Lane,tertiary,False,False,51.499,"LINESTRING (-2.1450142 53.4777157, -2.1447335 53.477621, -2.1446236 53.4775588, -2.144578 53.4774885, -2.1445672 53.4773832)",,,,
67241327,Ashton Hill Lane,tertiary,False,True,77.53099999999999,"LINESTRING (-2.1450142 53.4777157, -2.1453558 53.4778381, -2.1454953 53.4778557, -2.1456535 53.4778477, -2.1460979 53.477754)",,,,
70258796,Ellen Street,residential,False,False,28.851,"LINESTRING (-2.1446842 53.4779657, -2.1444834 53.478196)",,,,
70258796,Ellen Street,residential,False,True,35.351,"LINESTRING (-2.1446842 53.4779657, -2.1450142 53.4777157)",,,,
124183961,Lune Walk,residential,False,False,12.954,"LINESTRING (-2.1446842 53.4779657, -2.144512 53.4779103)",,,,
70258800,Egerton Mews,residential,False,True,28.992,"LINESTRING (-2.1466976 53.4765838, -2.1464269 53.4767888)",,,,
124183744,Trent Walk,residential,False,False,51.612,"LINESTRING (-2.1436839 53.4785266, -2.1429114 53.4784627)",,,,
70258796,Ellen Street,residential,False,True,79.194,"LINESTRING (-2.1436839 53.4785266, -2.1439377 53.4785527, -2.1441277 53.4785723, -2.1442977 53.4784889, -2.1444834 53.478196)",,,,
