osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width
927294678,2,,tertiary,30 mph,,False,True,34.076,"LINESTRING (-6.5175925 55.0709207, -6.5177571 55.0712123)",High Street,
449234194,2,,tertiary,30 mph,,False,True,108.57,"LINESTRING (-6.5175925 55.0709207, -6.51732 55.070978, -6.5171129 55.0710366, -6.5170413 55.0710692, -6.5169233 55.0712063, -6.5167934 55.0713718, -6.5167222 55.0714767, -6.5166023 55.0716417)",Linenhall Street,
77830535,2,,tertiary,30 mph,,False,False,238.32099999999997,"LINESTRING (-6.5196941 55.0698022, -6.5206039 55.0696125, -6.5219088 55.0693003, -6.5221035 55.0692585, -6.5226294 55.0691457, -6.5230483 55.0690559, -6.523183 55.069027)",Charlotte Street,
77830535,2,,tertiary,30 mph,,False,True,169.09500000000003,"LINESTRING (-6.5196941 55.0698022, -6.5190307 55.0699346, -6.5181273 55.0701368, -6.5174308 55.070307, -6.517335 55.0703534, -6.517269 55.0703969)",Charlotte Street,
196329832,,,residential,,,False,True,42.037,"LINESTRING (-6.5196941 55.0698022, -6.519746 55.0698687, -6.51986 55.0699749, -6.5199636 55.0700715, -6.5200263 55.0701283)",Eastermeade Gardens,
196329832,,,residential,,,False,False,74.96199999999999,"LINESTRING (-6.5214778 55.071845, -6.5213729 55.0717562, -6.521294 55.0716962, -6.5211334 55.0715674, -6.5209818 55.0714594, -6.5207906 55.071298)",Eastermeade Gardens,
"[406158026, 449194748]",,,residential,,,False,False,222.51100000000002,"LINESTRING (-6.5214778 55.071845, -6.5217403 55.0717269, -6.5219442 55.071655, -6.5221671 55.071598, -6.5224565 55.0715654, -6.5229141 55.0715464, -6.5234501 55.0715165, -6.523709 55.0715156, -6.524254 55.0715138, -6.524835 55.071526)",North Road,
449194748,,,residential,,,False,True,101.244,"LINESTRING (-6.5214778 55.071845, -6.5214033 55.071881, -6.5212375 55.0719606, -6.5208046 55.0721618, -6.5202847 55.0724041, -6.5202461 55.0724209)",North Road,
147219420,,,unclassified,30 mph,,False,False,69.582,"LINESTRING (-6.5142032 55.0668181, -6.5142848 55.0668993, -6.5147485 55.0673604)",Seymour Street,
33127106,2,B62,secondary,30 mph,,False,True,16.142,"LINESTRING (-6.5161173 55.0676314, -6.5162871 55.0675236)",Castle Street,
33127106,2,B62,secondary,30 mph,,False,False,68.964,"LINESTRING (-6.5161173 55.0676314, -6.5158113 55.0678193, -6.5155552 55.0679973, -6.5153888 55.0680896)",Castle Street,
33127106,2,B62,secondary,30 mph,,False,True,68.964,"LINESTRING (-6.5153888 55.0680896, -6.5155552 55.0679973, -6.5158113 55.0678193, -6.5161173 55.0676314)",Castle Street,
147219420,,,unclassified,30 mph,,False,True,90.761,"LINESTRING (-6.5153888 55.0680896, -6.5152653 55.0679434, -6.5148985 55.0675251, -6.5147485 55.0673604)",Seymour Street,
"[449406201, 449406202]",2,B62,secondary,30 mph,,False,False,200.771,"LINESTRING (-6.5153888 55.0680896, -6.5151119 55.0682342, -6.5147617 55.0683802, -6.5145859 55.0684392, -6.514217 55.0685629, -6.5141056 55.0686003, -6.5136717 55.0687169, -6.5132683 55.0688121, -6.5128007 55.0689008, -6.5126329 55.0689326)",Meetinghouse Street,
188904685,,,residential,,,False,False,77.523,"LINESTRING (-6.5237544 55.0675132, -6.5236323 55.0675482, -6.5235988 55.0676606, -6.5234003 55.0678541, -6.523234 55.067977, -6.5231042 55.0680776)",Westoncroft Park,
188904681,,,residential,,,False,True,40.431,"LINESTRING (-6.5236073 55.0682989, -6.5234057 55.0682197, -6.5232072 55.0681275, -6.5231042 55.0680776)",Westoncroft Avenue,
