osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,lanes,junction
3056600,Brays Lane,unclassified,False,True,43.573,"LINESTRING (0.2690725 52.4013586, 0.2690385 52.4011691, 0.2689497 52.4009753)",,,,,
3056601,Prickwillow Road,secondary,False,True,80.742,"LINESTRING (0.2690725 52.4013586, 0.269017 52.4013485, 0.2681666 52.4012412, 0.2681104 52.4012405, 0.2679028 52.4012408)",B1382,,,,
55470713,Lynn Road,secondary,False,False,9.719,"LINESTRING (0.2632511 52.4013748, 0.2633192 52.4014517)",B1382,,,,
4593698,Egremont Street,tertiary,False,True,305.27,"LINESTRING (0.2632511 52.4013748, 0.263067 52.4014208, 0.2616473 52.4017878, 0.2612926 52.4018601, 0.2609274 52.4019086, 0.2606023 52.4019309, 0.2603427 52.4019615, 0.2600604 52.4019837, 0.2596768 52.4019836, 0.2593839 52.4019693, 0.2589337 52.4019194)",,,,,
55470717,Lynn Road,secondary,False,True,62.507,"LINESTRING (0.2632511 52.4013748, 0.2631727 52.401237, 0.2629535 52.4008428)",B1382,,,,
3056595,Broad Street,tertiary,False,False,37.951,"LINESTRING (0.2658286 52.3949766, 0.2662042 52.3952295)",,,,,
4294467,High Street,unclassified,True,False,281.513,"LINESTRING (0.2625051 52.3996316, 0.2626004 52.3996171, 0.2626851 52.3996025, 0.2635752 52.399451, 0.2647029 52.3992663, 0.2653124 52.3991512, 0.2655004 52.3991087, 0.2658269 52.3990115, 0.2660903 52.3989321, 0.2663657 52.3988516, 0.2664356 52.3988466)",,20 mph,,,
"[4311122, 47215327, 690291330, 950294367]","['Minster Place', 'The Gallery']",tertiary,True,False,347.47499999999997,"LINESTRING (0.2625051 52.3996316, 0.2624702 52.3996015, 0.2624577 52.3995821, 0.2624488 52.3995549, 0.2624106 52.3993154, 0.262403 52.3992946, 0.262394 52.3992603, 0.2623673 52.3992108, 0.2623416 52.3991765, 0.2623179 52.3991445, 0.2622898 52.3991072, 0.2622599 52.3990726, 0.2622249 52.3990256, 0.2622052 52.398981, 0.2622019 52.3989326, 0.2622037 52.3988865, 0.2622257 52.3988467, 0.262283 52.3987626, 0.2623266 52.3986911, 0.2623349 52.398664, 0.26234 52.3986095, 0.262325 52.3984636, 0.2622959 52.3982557, 0.2622891 52.3981767, 0.2622717 52.3980858, 0.262253 52.3980202, 0.2621891 52.3977986, 0.2621042 52.3975241, 0.2620798 52.3974192, 0.2620295 52.3971698, 0.2619709 52.3968908, 0.2619173 52.3967449, 0.2618991 52.396693, 0.2617936 52.3965962)",,20 mph,5,1,
55470717,Lynn Road,secondary,False,True,47.989,"LINESTRING (0.2629535 52.4008428, 0.2628296 52.4004179)",B1382,,,,
4593693,Chapel Street,residential,False,False,279.465,"LINESTRING (0.2629535 52.4008428, 0.2628136 52.4008529, 0.2624565 52.4008613, 0.2620638 52.4008602, 0.2618192 52.4008575, 0.2616744 52.4008497, 0.2616257 52.4008471, 0.2611727 52.4008083, 0.2606258 52.4007349, 0.2600461 52.4006298, 0.2589302 52.400421)",,,,,
55470717,Lynn Road,secondary,False,False,62.507,"LINESTRING (0.2629535 52.4008428, 0.2631727 52.401237, 0.2632511 52.4013748)",B1382,,,,
4033908,Barton Road,unclassified,False,False,100.965,"LINESTRING (0.257433 52.3966459, 0.2577777 52.3965959, 0.2587365 52.3963889, 0.258848 52.3963679)",,20 mph,,,
4697160,Fore Hill,tertiary,False,True,61.338,"LINESTRING (0.2692366 52.3976687, 0.2691664 52.3976737, 0.2690692 52.3976991, 0.268909 52.3977627, 0.2687093 52.3978392, 0.268579 52.3978832, 0.2685079 52.397898, 0.2684314 52.3979011)",,,,,
4593863,Barton Square,unclassified,False,True,48.473,"LINESTRING (0.2619611 52.3958582, 0.2618547 52.3958571, 0.2617487 52.3958644, 0.2614923 52.39591, 0.2612678 52.3959508)",,,,,
4603773,Back Hill,tertiary,False,True,83.305,"LINESTRING (0.2619611 52.3958582, 0.2619799 52.3959395, 0.2618992 52.396268, 0.2618336 52.3965106, 0.2617936 52.3965962)",,20 mph,,2,
146024296,Cambridge Road,tertiary,False,False,101.034,"LINESTRING (0.2550267 52.3966369, 0.255154 52.3967918, 0.2554818 52.3971808, 0.2557391 52.397434)",,30 mph,,1,
146024296,Cambridge Road,tertiary,False,False,20.6,"LINESTRING (0.2557391 52.397434, 0.2559069 52.3975884)",,30 mph,,1,
4593811,Samuels Way,residential,False,False,72.022,"LINESTRING (0.2557391 52.397434, 0.2549759 52.3976132, 0.2548846 52.3974753)",,,,,
146024296,Cambridge Road,tertiary,False,True,101.03399999999999,"LINESTRING (0.2557391 52.397434, 0.2554818 52.3971808, 0.255154 52.3967918, 0.2550267 52.3966369)",,30 mph,,1,
146024296,Cambridge Road,tertiary,False,True,14.814,"LINESTRING (0.2568811 52.3982438, 0.2566851 52.3981851)",,30 mph,,1,
4294464,St Mary's Street,tertiary,False,False,75.895,"LINESTRING (0.2568811 52.3982438, 0.2572719 52.3983364, 0.2574141 52.3983708, 0.2575824 52.3984116, 0.2576842 52.39844, 0.2578835 52.3984956, 0.2579149 52.3985039)",,,,2,
4294464,St Mary's Street,tertiary,False,True,21.026,"LINESTRING (0.2581979 52.3985809, 0.2581379 52.3985658, 0.2579149 52.3985039)",,,,2,
10302103,St Mary's Street,tertiary,False,False,133.021,"LINESTRING (0.2581979 52.3985809, 0.2584128 52.39865, 0.2586092 52.3987225, 0.2587571 52.3987835, 0.258942 52.3988836, 0.2593341 52.3991528, 0.259402 52.3992032, 0.2595882 52.3993415, 0.2596399 52.399372)",,,,2,
146024312,Silver Street,tertiary,True,False,63.95100000000001,"LINESTRING (0.2599991 52.3973919, 0.259582 52.3974878, 0.2591299 52.3976135)",,,4,,
55470717,Lynn Road,secondary,False,False,47.989,"LINESTRING (0.2628296 52.4004179, 0.2629535 52.4008428)",B1382,,,,
181161224,Lynn Road,secondary,False,True,79.369,"LINESTRING (0.2628296 52.4004179, 0.2628068 52.4003477, 0.2626985 52.4000155, 0.2626204 52.399834, 0.2625842 52.3997763, 0.2625489 52.3997526, 0.2625163 52.3997431)",B1382,,,,
4311157,Silver Street,tertiary,True,False,156.461,"LINESTRING (0.2617936 52.3965962, 0.2616985 52.3965999, 0.2615672 52.3966457, 0.2613534 52.3966983, 0.2610364 52.3968174, 0.260937 52.3968883, 0.2608582 52.3969799, 0.2607588 52.397092, 0.2607119 52.397147, 0.2606444 52.3971859, 0.260545 52.3972328, 0.260393 52.397282, 0.2601623 52.397345, 0.2599991 52.3973919)",,,4,,
