osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access
462801822,False,Silver Street,tertiary,False,11.92,"LINESTRING (-3.1891745 50.8004981, -3.1893438 50.8005046)",,,,,
163932293,False,Tucker Court,residential,False,62.615,"LINESTRING (-3.1891745 50.8004981, -3.1892461 50.8006908, -3.1893142 50.8008468, -3.1893705 50.801047)",,,,,
27692583,False,Dowell Street,primary,False,59.742,"LINESTRING (-3.1950804 50.8002715, -3.1947562 50.8001047, -3.1945941 50.8000128, -3.1944212 50.7999328)",A373,30 mph,,,
27692583,False,Dowell Street,primary,True,208.89800000000002,"LINESTRING (-3.1950804 50.8002715, -3.1952379 50.8003604, -3.1952831 50.8003857, -3.1958385 50.8007076, -3.1962646 50.8009406, -3.1970753 50.8013407, -3.1973554 50.8014789)",A373,30 mph,,,
27692583,False,Dowell Street,primary,False,128.98,"LINESTRING (-3.1935321 50.7995892, -3.1933509 50.7995208, -3.19323 50.7994407, -3.192992 50.7992348, -3.1928117 50.7991249, -3.1926051 50.7990097, -3.1924401 50.798903, -3.1923137 50.7987426)",A373,30 mph,,,
27692583,False,Dowell Street,primary,True,73.243,"LINESTRING (-3.1935321 50.7995892, -3.1939149 50.7997346, -3.1940241 50.7997761, -3.1944212 50.7999328)",A373,30 mph,,,
28468966,False,Dunning Court,residential,False,64.56700000000001,"LINESTRING (-3.1935321 50.7995892, -3.1934971 50.7996339, -3.1932971 50.7998877, -3.1931779 50.799995, -3.1930342 50.8000674)",,30 mph,,,
31511434,False,New Street,tertiary,False,33.534,"LINESTRING (-3.1882865 50.7987915, -3.188249 50.7987419, -3.1880811 50.7985193)",,30 mph,,,
31511434,False,New Street,tertiary,True,110.45400000000001,"LINESTRING (-3.1882865 50.7987915, -3.1886497 50.799251, -3.1890869 50.7996431)",,30 mph,,,
38285831,False,Chapel Street,residential,True,104.49399999999997,"LINESTRING (-3.1882865 50.7987915, -3.1877521 50.7989145, -3.187648 50.7989481, -3.1872716 50.7990696, -3.1872325 50.799054, -3.1871585 50.7990059, -3.1871277 50.7989488, -3.1871811 50.7988734)",,30 mph,,,
421664657,False,New Street,tertiary,False,52.391,"LINESTRING (-3.1880568 50.7984762, -3.1876963 50.7980638)",,30 mph,,,
421664657,False,New Street,tertiary,True,5.088,"LINESTRING (-3.1880568 50.7984762, -3.1880811 50.7985193)",,30 mph,,,
31531523,False,Queen Street,unclassified,True,92.71300000000001,"LINESTRING (-3.1880568 50.7984762, -3.1873615 50.7985627, -3.1869289 50.7986201, -3.186762 50.7986054)",,,,,
"[421664657, 31530294]",False,"['New Street', 'Church Hill']",tertiary,True,62.735,"LINESTRING (-3.1861167 50.7961784, -3.1862082 50.7963878, -3.1862233 50.7964607, -3.1862558 50.7965652, -3.1863169 50.7967276)",,30 mph,,,
31531458,False,Marlpits Lane,residential,True,266.51000000000005,"LINESTRING (-3.1861167 50.7961784, -3.1872423 50.7958788, -3.1876808 50.7957643, -3.1883204 50.7955872, -3.1883938 50.7955456, -3.1884325 50.7954918, -3.1884602 50.7954327, -3.1884918 50.7953647, -3.1885101 50.7952367, -3.1885055 50.7949533, -3.1884852 50.794736)",,,,,
13699997,False,Rosemount Lane,residential,False,71.319,"LINESTRING (-3.1995533 50.7943187, -3.1987623 50.7941234, -3.1986 50.794103)",,,,,
13699997,False,Rosemount Lane,residential,False,43.408,"LINESTRING (-3.1986 50.794103, -3.1982649 50.7940663, -3.1979876 50.7940599)",,,,,
13699997,False,Rosemount Lane,residential,True,71.319,"LINESTRING (-3.1986 50.794103, -3.1987623 50.7941234, -3.1995533 50.7943187)",,,,,
28468931,False,George Street,residential,True,160.33200000000002,"LINESTRING (-3.1932354 50.8006506, -3.1921089 50.8003335, -3.1919709 50.8003103, -3.1918514 50.8003183, -3.1917805 50.8003442, -3.1917483 50.8003798, -3.1916729 50.8004924, -3.1915902 50.8006659, -3.1915551 50.8007375, -3.1915501 50.8007624)",,30 mph,,,
27692583,False,Dowell Street,primary,True,23.984,"LINESTRING (-3.1973554 50.8014789, -3.1976157 50.8016184)",A373,30 mph,,,
27692583,False,Dowell Street,primary,False,208.898,"LINESTRING (-3.1973554 50.8014789, -3.1970753 50.8013407, -3.1962646 50.8009406, -3.1958385 50.8007076, -3.1952831 50.8003857, -3.1952379 50.8003604, -3.1950804 50.8002715)",A373,30 mph,,,
