osmid,oneway,highway,maxspeed,reversed,length,geometry,ref,name,bridge,lanes,tunnel
31114766,True,tertiary,30 mph,False,58.730000000000004,"LINESTRING (0.5509105 51.8799256, 0.5509471 51.8799508, 0.5510755 51.880051, 0.5511878 51.8801416, 0.551457 51.8803317)",,,,,
986267701,True,secondary,30 mph,False,27.823999999999998,"LINESTRING (0.5509105 51.8799256, 0.5509614 51.8799193, 0.551004 51.879897, 0.5510671 51.8798485, 0.5511293 51.8798019, 0.5511572 51.8797883, 0.5512139 51.8797707)",B1256,Coggeshall Road,,,
119792546,False,secondary,30 mph,True,70.588,"LINESTRING (0.5574042 51.8802086, 0.5563772 51.880176)",B1256,Coggeshall Road,,,
60557998,False,residential,,True,164.998,"LINESTRING (0.5574042 51.8802086, 0.5575741 51.878845, 0.5575821 51.8787985, 0.5575898 51.8787687, 0.5575985 51.8787548, 0.5576194 51.8787341)",,Mount Road,,,
119792546,False,secondary,30 mph,False,55.568,"LINESTRING (0.5574042 51.8802086, 0.5581615 51.8802389, 0.5582119 51.880242)",B1256,Coggeshall Road,,,
28094466,False,secondary,30 mph,True,21.669,"LINESTRING (0.5585309 51.8803376, 0.5587256 51.8801842)",B1256,Coggeshall Road,,,
119792546,False,secondary,30 mph,True,24.426000000000002,"LINESTRING (0.5585309 51.8803376, 0.5583512 51.8802793, 0.5582723 51.8802524, 0.5582119 51.880242)",B1256,Coggeshall Road,,,
192107218,False,tertiary,,True,16.555,"LINESTRING (0.5585309 51.8803376, 0.5585047 51.8803975, 0.55849 51.8804277, 0.5584586 51.8804795)",,Courtauld Road,,,
28094466,False,secondary,30 mph,False,21.669,"LINESTRING (0.5587256 51.8801842, 0.5585309 51.8803376)",B1256,Coggeshall Road,,,
96298063,False,secondary,30 mph,False,20.689999999999998,"LINESTRING (0.5587256 51.8801842, 0.5588632 51.8802052, 0.559017 51.8802317)",B1256,Coggeshall Road,,,
96298065,False,secondary,30 mph,False,23.222,"LINESTRING (0.5587256 51.8801842, 0.5586671 51.8800877, 0.5586075 51.8799885)",B1256,Railway Street,,,
60468749,False,residential,,True,205.41199999999998,"LINESTRING (0.5597199 51.8802771, 0.559796 51.8799154, 0.5598387 51.8797122, 0.5600426 51.8795665, 0.5601161 51.8791446, 0.5600994 51.8791083, 0.5600844 51.8790939, 0.5600682 51.8790784, 0.5600254 51.8790541, 0.5599633 51.8790412, 0.5596526 51.8790078, 0.5595977 51.878977, 0.5595659 51.8789386, 0.5596099 51.8787127)",,Keeble Way,,,
"[431503609, 96298063]",False,secondary,30 mph,False,78.083,"LINESTRING (0.5597199 51.8802771, 0.5607318 51.8803481, 0.5608495 51.8803595)",B1256,Coggeshall Road,,,
96298063,False,secondary,30 mph,True,48.516999999999996,"LINESTRING (0.5597199 51.8802771, 0.5594199 51.8802545, 0.559017 51.8802317)",B1256,Coggeshall Road,,,
