osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,tunnel
333253696,3,A62,Manchester Street,trunk,30 mph,circular,False,True,46.403999999999996,"LINESTRING (-2.1219531 53.5394227, -2.121835 53.5394163, -2.1217377 53.5394204, -2.1216347 53.5394347, -2.1215536 53.5394617, -2.1214831 53.5395012, -2.1214367 53.5395392, -2.1213993 53.5396016)",,
701162962,3,A62,Manchester Street,trunk,30 mph,circular,False,False,21.547,"LINESTRING (-2.1219531 53.5394227, -2.122055 53.5394394, -2.1221649 53.5394657, -2.122258 53.5394903)",,
100670593,,,Connaught Street,unclassified,,,False,False,7.288,"LINESTRING (-2.1163196 53.5387628, -2.1162104 53.538772)",,
4907864,,,King Street,primary,30 mph,,True,False,63.982,"LINESTRING (-2.1163196 53.5387628, -2.1163627 53.5389232, -2.1163939 53.539039, -2.11646 53.5391967, -2.1165316 53.5393229)",,
"[100670593, 4907863]",,,"['Cavendish Street', 'Connaught Street']",unclassified,,,False,True,151.006,"LINESTRING (-2.1163196 53.5387628, -2.116397 53.5387563, -2.1164993 53.5387445, -2.1166273 53.5387257, -2.1167087 53.5387124, -2.1167502 53.5387056, -2.117042 53.5386556, -2.1172453 53.5386208, -2.1173004 53.5386164, -2.1173514 53.5386238, -2.1173901 53.5386411, -2.1174146 53.5386717, -2.1174493 53.538746, -2.117703 53.5392703, -2.1177095 53.5392838, -2.1177217 53.5393085)",,
1095265723,,A627,John Street,primary,30 mph,,False,True,5.59,"LINESTRING (-2.1196005 53.5402879, -2.1196392 53.5403326)",,
63106751,,A627,John Street,primary,30 mph,,True,False,48.745000000000005,"LINESTRING (-2.1196005 53.5402879, -2.1198523 53.5403523, -2.1199067 53.5403621, -2.1200368 53.5403677, -2.1203129 53.5403735)",,
"[1092434751, 63108999]",,A627,John Street,primary,30 mph,,False,True,83.223,"LINESTRING (-2.1196005 53.5402879, -2.1193126 53.5399954, -2.1192202 53.5399204, -2.1190135 53.5397034, -2.1189877 53.5396379)",yes,
155120120,4,A627,Manchester Street,primary,30 mph,,False,True,36.725,"LINESTRING (-2.1203129 53.5403735, -2.1200532 53.5404605, -2.1199994 53.5404782, -2.119953 53.540495, -2.1198304 53.5405374)",,
1096798073,4,A627,Manchester Street,primary,30 mph,,False,False,44.5,"LINESTRING (-2.1203129 53.5403735, -2.1206678 53.5402637, -2.1209098 53.5401882)",,
"[1096798074, 156004302, 814638494]",,,"['Garlick Street', 'Bloom Street']",unclassified,,,False,True,77.611,"LINESTRING (-2.1203129 53.5403735, -2.1203772 53.5404373, -2.120391 53.5404527, -2.1204865 53.5405596, -2.120609 53.5406954, -2.1206711 53.5407449, -2.1207162 53.5407598, -2.1207765 53.5407719, -2.12082 53.5407712, -2.1208787 53.5407616, -2.1209546 53.5407377, -2.1210796 53.540691)",,
26206812,2,A627,Manchester Street,primary,30 mph,,True,False,36.355,"LINESTRING (-2.1209098 53.5401882, -2.1210513 53.5401113, -2.1211178 53.5400707, -2.1211449 53.540046, -2.121213 53.5399679, -2.1212591 53.5399403)",,
1096798073,4,A627,Manchester Street,primary,30 mph,,False,True,44.5,"LINESTRING (-2.1209098 53.5401882, -2.1206678 53.5402637, -2.1203129 53.5403735)",,
842459578,,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,26.766,"LINESTRING (-2.1161039 53.5374378, -2.1162419 53.5375204, -2.1163754 53.5376161)",,
155119282,1,A62,,trunk_link,30 mph,,True,False,283.754,"LINESTRING (-2.1163754 53.5376161, -2.1166058 53.5376893, -2.1167001 53.5377047, -2.116852 53.537709, -2.1171125 53.5377027, -2.1174196 53.5376979, -2.1176781 53.5377011, -2.1178294 53.5377092, -2.1180043 53.5377233, -2.1181977 53.5377613, -2.1185144 53.5378251, -2.1188905 53.5378938, -2.1190171 53.5379213, -2.1191628 53.5379584, -2.1193101 53.5379945, -2.1195184 53.538055, -2.1197282 53.5381237, -2.120016 53.5382327, -2.1202235 53.5383304, -2.1203282 53.5384072)",,
"[842459578, 155119278, 155119279]",,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,63.836,"LINESTRING (-2.1163754 53.5376161, -2.116447 53.5377547, -2.1165355 53.5379087, -2.1165563 53.537959, -2.1165735 53.5380314, -2.1165699 53.5380958, -2.1165281 53.5381687)",yes,
155119278,,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,10.416,"LINESTRING (-2.1165281 53.5381687, -2.1164814 53.5382141, -2.1164413 53.5382468)",,
842459577,,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,35.706,"LINESTRING (-2.1158125 53.5383441, -2.115579 53.5382893, -2.1154832 53.538262, -2.115325 53.5382073)",,
"[22909844, 1093346628]",,,Emmott Way,unclassified,,,True,False,164.03499999999997,"LINESTRING (-2.115325 53.5382073, -2.1151695 53.5381895, -2.1150236 53.5381517, -2.114957 53.538147, -2.1148869 53.5381471, -2.1137613 53.5382173, -2.1134672 53.5382395, -2.1133643 53.53825, -2.1132494 53.5382761, -2.1130957 53.538322, -2.1129879 53.5383568, -2.11292 53.5383787)",,
"[155119280, 842459577, 1093462756, 155119277]",,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,63.28999999999999,"LINESTRING (-2.115325 53.5382073, -2.1152426 53.5380937, -2.1151161 53.5379411, -2.1150253 53.5378452, -2.1150062 53.5377914, -2.1149863 53.5376817)",yes,
26992328,,,Park Road,tertiary,30 mph,,True,False,31.43,"LINESTRING (-2.1150283 53.5376089, -2.1149815 53.5375077, -2.114959 53.5374793, -2.1149048 53.5374257, -2.1148215 53.5373581)",,
155119277,,A627,King Street Roundabout,trunk,30 mph,roundabout,True,False,37.123,"LINESTRING (-2.1150283 53.5376089, -2.1152215 53.5374824, -2.1152607 53.5374635, -2.1154376 53.537382)",,
701162965,3,A62,Manchester Street,trunk,30 mph,circular,False,True,6.576,"LINESTRING (-2.121757 53.5402027, -2.121853 53.5402183)",,
155990945,2,A627,Manchester Street,primary,30 mph,,True,False,56.83,"LINESTRING (-2.121757 53.5402027, -2.1214679 53.5401974, -2.1213179 53.5401676, -2.1212378 53.5401612, -2.1211439 53.5401632, -2.1209098 53.5401882)",,
701162964,3,A62,Manchester Street,trunk,30 mph,circular,False,False,44.178,"LINESTRING (-2.121757 53.5402027, -2.121546 53.5401124, -2.1214967 53.5400875, -2.1214042 53.5400385, -2.1213161 53.53998, -2.1212591 53.5399403)",,
1123944724,2,B6477,Yorkshire Street,secondary,30 mph,,True,False,8.907,"LINESTRING (-2.1088488 53.542265, -2.108714 53.5422649)",,
155991073,,,Waterloo Street,unclassified,,,True,False,26.284,"LINESTRING (-2.1088488 53.542265, -2.1088411 53.5422278, -2.1088295 53.5422052, -2.1087432 53.5420376)",,
742493170,,,Barn Street,unclassified,,,True,False,23.651000000000003,"LINESTRING (-2.1171605 53.5405662, -2.1172828 53.5405218, -2.1173386 53.5405035, -2.1174692 53.5404586)",,
371901855,1,A62,Oldham Way,primary_link,30 mph,,True,False,27.061,"LINESTRING (-2.1199601 53.5383091, -2.1200569 53.5383155, -2.1203282 53.5384072)",,
900510021,2,A62,Oldham Way,trunk_link,30 mph,,True,False,28.771,"LINESTRING (-2.1203282 53.5384072, -2.1205909 53.5385344, -2.1206708 53.5385666)",,
498300573,,,Rhodes Bank,unclassified,,,False,False,36.732,"LINESTRING (-2.1087401 53.5396509, -2.108608 53.5397287, -2.1085405 53.539757, -2.1084649 53.5397804, -2.1084437 53.5397851, -2.1082755 53.5398222)",,
498300582,,,Rhodes Bank,unclassified,,,True,False,19.576,"LINESTRING (-2.1087401 53.5396509, -2.1087656 53.5395829, -2.1087929 53.5395373, -2.108828 53.5394832)",,
155119281,,A62,Oldham Way,primary,50 mph,,True,False,641.278,"LINESTRING (-2.1196563 53.5383119, -2.1189377 53.5380684, -2.1186308 53.538, -2.1182651 53.5379362, -2.1179726 53.5379201, -2.1178329 53.5379143, -2.1175731 53.5379149, -2.1170284 53.5379372, -2.1164499 53.5379722, -2.1159363 53.538, -2.1153001 53.5380371, -2.1150444 53.5380531, -2.1147126 53.5380711, -2.1126504 53.5381878, -2.1122127 53.5382234, -2.1117679 53.5382633, -2.1112081 53.5383307, -2.1109267 53.538379, -2.1106453 53.5384369, -2.1102008 53.5385395)",,
4907866,2,A62,Oldham Way,trunk_link,30 mph,,True,False,237.12999999999997,"LINESTRING (-2.1198529 53.5384897, -2.11967 53.5384227, -2.1194414 53.5383249, -2.1192551 53.5382499, -2.1190704 53.5381867, -2.118844 53.5381296, -2.1185153 53.5380708, -2.118213 53.5380343, -2.1179474 53.5380124, -2.1176502 53.5380002, -2.1173729 53.5379983, -2.1171057 53.5380073, -2.116937 53.5380302, -2.116751 53.538081, -2.1165281 53.5381687)",,
63095525,,,Oldham Way,primary_link,30 mph,,True,False,23.657,"LINESTRING (-2.1198529 53.5384897, -2.1197289 53.5383763, -2.1196563 53.5383119)",,
498300573,,,Rhodes Bank,unclassified,,,False,True,26.869,"LINESTRING (-2.1074847 53.5399783, -2.1076512 53.5399467, -2.1077806 53.5399191, -2.1078394 53.5399068, -2.1078696 53.5399005)",,
746114824,,,Waterloo Street,unclassified,,,False,True,46.619,"LINESTRING (-2.1074847 53.5399783, -2.1075514 53.5400639, -2.1077614 53.5403639)",,
63105792,,A669,St Domingo Street,primary,30 mph,,True,False,28.241999999999997,"LINESTRING (-2.1187073 53.5416619, -2.1188346 53.5417423, -2.118876 53.541767, -2.1189154 53.5417869, -2.1190231 53.5418315)",,
128734402,,,St Domingo Street,primary,30 mph,roundabout,True,False,28.711,"LINESTRING (-2.1187073 53.5416619, -2.11873 53.5417747, -2.1187297 53.5418108, -2.1187305 53.5419193)",,
63105802,,A669,Middleton Road,primary,30 mph,,True,False,21.659,"LINESTRING (-2.1190231 53.5418315, -2.1187305 53.5419193)",,
"[1157128355, 1096798091]",,A669,Middleton Road,primary,30 mph,,False,True,67.167,"LINESTRING (-2.1190231 53.5418315, -2.1191445 53.5418337, -2.1192164 53.5418353, -2.1192772 53.5418369, -2.1193469 53.5418409, -2.1197553 53.5418681, -2.1200318 53.5418988)",,
64062525,2,A671,Rochdale Road,primary,30 mph,,True,False,153.999,"LINESTRING (-2.1187305 53.5419193, -2.1187177 53.5420413, -2.118721 53.5420919, -2.1187262 53.5421649, -2.1187834 53.5423696, -2.118986 53.5430232, -2.1190519 53.5432142, -2.1190448 53.543286)",,
121716775,,,West Street,primary,30 mph,roundabout,True,False,33.772,"LINESTRING (-2.1187305 53.5419193, -2.1186388 53.5419462, -2.1184852 53.5419684, -2.1183672 53.5419783, -2.118237 53.5419897)",,
