osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,access,tunnel
4463105,1,Fore Street,tertiary,20 mph,False,False,96.60600000000001,"LINESTRING (1.1597302 52.0541136, 1.1596846 52.0541478, 1.1596646 52.0541642, 1.1596291 52.0541935, 1.1596191 52.0542017, 1.1594875 52.0543171, 1.159459 52.0543486, 1.15939 52.0544689, 1.159332 52.0545888, 1.1593087 52.0546583, 1.159299 52.0547007, 1.1592996 52.0547792, 1.1593213 52.0549139)",,,,
23212426,2,Star Lane,primary,30 mph,True,False,26.233,"LINESTRING (1.1597302 52.0541136, 1.1598874 52.0541615, 1.1599758 52.054181, 1.1600716 52.054197, 1.1600861 52.0541994)",A1156,,,
23212446,2,Grey Friars Road,primary,30 mph,False,True,37.175000000000004,"LINESTRING (1.1519193 52.0541022, 1.1518376 52.0541469, 1.1518101 52.0541585, 1.1517538 52.0541822, 1.1516324 52.0542353, 1.1515688 52.0542666, 1.1515017 52.0543141)",A1022,,,
3759139,2,,primary,30 mph,True,False,7.196,"LINESTRING (1.1472892 52.0578312, 1.1472388 52.0578405, 1.147192 52.0578553)",,roundabout,,
3759139,2,,primary,30 mph,True,False,24.223000000000003,"LINESTRING (1.1475925 52.0579158, 1.1475371 52.0578733, 1.1474631 52.0578434, 1.1473777 52.0578289, 1.1472892 52.0578312)",,roundabout,,
3759142,2,Civic Drive,primary,30 mph,True,False,103.493,"LINESTRING (1.1475925 52.0579158, 1.1476056 52.0578078, 1.1476208 52.0577703, 1.1476403 52.0577393, 1.1479517 52.0573664, 1.1480729 52.0572212, 1.1481629 52.0570624)",A1022,,,
3759139,2,,primary,30 mph,True,False,20.693,"LINESTRING (1.1471406 52.0581245, 1.1471999 52.0581534, 1.1472695 52.0581716, 1.1473445 52.058178, 1.1474195 52.0581719)",,roundabout,,
3759143,2,Civic Drive,primary,30 mph,True,False,182.92,"LINESTRING (1.1471406 52.0581245, 1.1471969 52.0582205, 1.1472113 52.0582613, 1.1472156 52.0584667, 1.1472203 52.0585186, 1.1472324 52.0585738, 1.1473113 52.0587635, 1.1474121 52.0589508, 1.14757 52.0591924, 1.147747 52.059493, 1.1477847 52.0595611, 1.1477999 52.0596069, 1.1478 52.0597032)",A1022,,,
3759139,2,,primary,30 mph,True,False,35.493,"LINESTRING (1.1474195 52.0581719, 1.1474863 52.0581551, 1.147544 52.0581284, 1.147589 52.0580936, 1.1476192 52.058051, 1.1476302 52.058005, 1.1476211 52.0579588, 1.1475925 52.0579158)",,roundabout,,
1206456316,2,,primary,30 mph,True,False,5.559,"LINESTRING (1.1478 52.0597032, 1.1477817 52.0597255, 1.1477702 52.0597495)",,roundabout,,
3759144,2,Civic Drive,primary,30 mph,True,False,174.15300000000002,"LINESTRING (1.1480378 52.059641, 1.1479047 52.0595273, 1.1478785 52.0594994, 1.1477079 52.0592216, 1.1476053 52.0590572, 1.147411 52.0587371, 1.1473512 52.0585436, 1.147335 52.0583355, 1.1473542 52.0582573, 1.1473682 52.0582291, 1.1474195 52.0581719)",A1022,,,
1206457257,2,,primary,30 mph,True,False,18.738,"LINESTRING (1.1480378 52.059641, 1.1479694 52.0596387, 1.147903 52.0596491, 1.1478447 52.0596713, 1.1478 52.0597032)",,roundabout,,
"[10043296, 4468469]",2,"['Crown Street', ""St Matthew's Street""]",primary,30 mph,True,False,192.75500000000002,"LINESTRING (1.1482085 52.0598132, 1.1483536 52.0597188, 1.1484734 52.0596536, 1.1491053 52.0594009, 1.1493495 52.0593323, 1.1493721 52.0593286, 1.1495114 52.0593057, 1.1497273 52.0592972, 1.1497435 52.0592966, 1.1504413 52.0593649, 1.1505353 52.059374, 1.1505994 52.0593802, 1.1507555 52.0593614)",A1156,,,
1206453762,2,,primary,30 mph,True,False,19.34,"LINESTRING (1.1482085 52.0598132, 1.1482163 52.05977, 1.1482019 52.0597274, 1.1481667 52.0596897, 1.1481143 52.0596605)",,roundabout,,
3759138,2,,primary,30 mph,True,False,5.662,"LINESTRING (1.1481143 52.0596605, 1.1480378 52.059641)",,roundabout,,
3453043,2,Berners Street,tertiary,20 mph,False,False,55.89,"LINESTRING (1.1485077 52.0605828, 1.1482203 52.060167, 1.1482025 52.0601406, 1.1481839 52.0601215)",,,,
"[1167747625, 4215373]",,Bedford Street,residential,"['20 mph', '30 mph']",False,True,119.572,"LINESTRING (1.1485077 52.0605828, 1.1488634 52.0604882, 1.1489555 52.0604607, 1.1490061 52.0604456, 1.1490233 52.0604266, 1.1490293 52.0604099, 1.1490263 52.0603453, 1.1490276 52.0603232, 1.1490383 52.0603046, 1.1490868 52.0602783, 1.1492163 52.0602398, 1.1496762 52.0601155, 1.1499182 52.060065)",,,,
4463106,,Pleasant Row,unclassified,20 mph,False,True,45.525,"LINESTRING (1.1576721 52.0535964, 1.1579825 52.0539586)",,,,
4463106,,Pleasant Row,unclassified,20 mph,False,False,45.525,"LINESTRING (1.1579825 52.0539586, 1.1576721 52.0535964)",,,,
4463107,,Shire Hall Yard,unclassified,20 mph,False,False,72.451,"LINESTRING (1.1579825 52.0539586, 1.1584839 52.0545326)",,,,
4463108,,Smart Street,unclassified,20 mph,False,True,68.742,"LINESTRING (1.1579825 52.0539586, 1.1573996 52.0541854, 1.157162 52.0543131)",,,,
3959298,,Blackfriars Court,unclassified,,False,False,33.063,"LINESTRING (1.1584839 52.0545326, 1.1580529 52.0546674)",,,,
4463107,,Shire Hall Yard,unclassified,20 mph,False,True,72.451,"LINESTRING (1.1584839 52.0545326, 1.1579825 52.0539586)",,,,
4463107,,Shire Hall Yard,unclassified,20 mph,False,False,24.115000000000002,"LINESTRING (1.1584839 52.0545326, 1.1585529 52.0545981, 1.1586459 52.0547246)",,,,
3959298,,Blackfriars Court,unclassified,,False,True,6.68,"LINESTRING (1.1579677 52.0546968, 1.1580529 52.0546674)",,,,
3960606,,Lower Brook Street,unclassified,20 mph,False,True,125.51,"LINESTRING (1.1558798 52.0548967, 1.1559094 52.055074, 1.1559298 52.0555562, 1.1559458 52.0556298, 1.1559737 52.0557156, 1.1559939 52.0557611, 1.1560599 52.0558846, 1.1560757 52.055913, 1.1561278 52.0560069)",,,,
4377371,,Turret Lane,unclassified,20 mph,False,True,133.98800000000003,"LINESTRING (1.1558798 52.0548967, 1.1555295 52.0549066, 1.1554669 52.054912, 1.1548258 52.0549584, 1.1548125 52.0549173, 1.1546921 52.0545617, 1.1546352 52.0545016, 1.1545665 52.054435)",,,,
4377371,,Turret Lane,unclassified,20 mph,False,False,133.988,"LINESTRING (1.1545665 52.054435, 1.1546352 52.0545016, 1.1546921 52.0545617, 1.1548125 52.0549173, 1.1548258 52.0549584, 1.1554669 52.054912, 1.1555295 52.0549066, 1.1558798 52.0548967)",,,,
4377371,,Turret Lane,unclassified,20 mph,False,True,113.197,"LINESTRING (1.1545665 52.054435, 1.1545009 52.0543852, 1.1544861 52.0543511, 1.1544317 52.0541618, 1.1544404 52.0541297, 1.1544649 52.0541031, 1.1545101 52.0540715, 1.1547602 52.0539334, 1.1548053 52.0538951, 1.1548302 52.0538454, 1.1548189 52.0536747, 1.1548124 52.0535304)",,,,
"[210592180, 4193149]",,Rose Lane,unclassified,20 mph,False,True,105.516,"LINESTRING (1.1545665 52.054435, 1.1543989 52.0544814, 1.1539575 52.0544932, 1.1537511 52.0544987, 1.1534823 52.0544973, 1.1533606 52.0544955, 1.1531635 52.0544862, 1.1531369 52.054483, 1.1530431 52.0544715)",,,,
"[210592180, 4193149]",,Rose Lane,unclassified,20 mph,False,False,105.51599999999999,"LINESTRING (1.1530431 52.0544715, 1.1531369 52.054483, 1.1531635 52.0544862, 1.1533606 52.0544955, 1.1534823 52.0544973, 1.1537511 52.0544987, 1.1539575 52.0544932, 1.1543989 52.0544814, 1.1545665 52.054435)",,,,
4377393,,St Peters Street,unclassified,20 mph,False,False,117.701,"LINESTRING (1.1530431 52.0544715, 1.1531995 52.0542094, 1.1532081 52.0541959, 1.1534341 52.0538685, 1.1535415 52.0536861, 1.1535741 52.0536229, 1.1536006 52.0535623, 1.1536372 52.0535008, 1.1536502 52.0534818)",,,,
4377393,,St Peters Street,unclassified,20 mph,False,True,15.815,"LINESTRING (1.1530431 52.0544715, 1.1530201 52.0545173, 1.1529749 52.0546074)",,,,
3960602,,Silent Street,unclassified,20 mph,True,False,160.07400000000004,"LINESTRING (1.1529084 52.0547295, 1.1529789 52.0547743, 1.1532995 52.054978, 1.1533162 52.0549944, 1.1537451 52.0552819, 1.153849 52.0553702, 1.1538996 52.0554222, 1.1540097 52.0555582, 1.1541063 52.0556867, 1.1541307 52.0557616, 1.1541402 52.0558164, 1.1541508 52.0558493, 1.1541901 52.0559)",,,,
4193152,,St Nicholas Street,unclassified,20 mph,False,True,68.427,"LINESTRING (1.1529084 52.0547295, 1.1528864 52.0547629, 1.1528566 52.0547932, 1.1526559 52.0549798, 1.1526317 52.0550048, 1.1526075 52.0550334, 1.1525594 52.0551294, 1.1525352 52.0551879, 1.1525265 52.0552276, 1.1525287 52.0552856)",,,,
26651840,,St Nicholas Street,unclassified,20 mph,False,False,14.318,"LINESTRING (1.1529084 52.0547295, 1.1529283 52.0546929, 1.1529749 52.0546074)",,,,
4370754,2,Dogs Head Street,unclassified,20 mph,False,False,46.01,"LINESTRING (1.1541901 52.0559, 1.1543208 52.0559021, 1.1546375 52.0559007, 1.1547241 52.0559066, 1.1548583 52.0559273)",,,,
"[3960601, 257208262]",2,Falcon Street,tertiary,20 mph,False,True,108.057,"LINESTRING (1.1541901 52.0559, 1.1540646 52.0559215, 1.1539423 52.0559479, 1.1538323 52.055973, 1.1536867 52.0560057, 1.1535294 52.0560409, 1.153418 52.0560615, 1.153199 52.0560909, 1.1529673 52.0561129, 1.152814 52.0561222, 1.152663 52.0561319)",,,,
