osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,junction,lanes,landuse
958993544,True,A603,primary,60 mph,False,34.65,"LINESTRING (-0.29995 52.1274458, -0.2997336 52.1275309, -0.2995548 52.1276387)",,,,
958993545,True,A603,primary,60 mph,False,33.177,"LINESTRING (-0.2994648 52.1274501, -0.2996688 52.1274566, -0.29995 52.1274458)",,,,
979582066,True,,trunk,50 mph,False,22.474,"LINESTRING (-0.2994648 52.1274501, -0.2995244 52.1275067, -0.2995552 52.1275713, -0.2995548 52.1276387)",Sandy Roundabout,roundabout,,
979582039,True,,trunk,50 mph,False,13.933,"LINESTRING (-0.2992962 52.1273815, -0.299388 52.1274088, -0.2994648 52.1274501)",Sandy Roundabout,roundabout,,
979582019,True,,trunk,50 mph,False,31.534999999999997,"LINESTRING (-0.2988787 52.1274582, -0.2989635 52.1274101, -0.2990679 52.1273797, -0.2991822 52.1273699, -0.2992962 52.1273815)",Sandy Roundabout,roundabout,,
979582018,True,,trunk,50 mph,False,13.213000000000001,"LINESTRING (-0.2990824 52.1278311, -0.2989925 52.1278091, -0.2989144 52.127774)",Sandy Roundabout,roundabout,,
106588799,False,,secondary,30 mph,False,109.978,"LINESTRING (-0.2962453 52.1280877, -0.2946936 52.1283538)",Bedford Road,,,
106588799,False,,secondary,30 mph,True,75.914,"LINESTRING (-0.2962453 52.1280877, -0.2973313 52.1279407)",Bedford Road,,,
8123125,False,,residential,,True,126.489,"LINESTRING (-0.2962453 52.1280877, -0.2960178 52.1276312, -0.2957618 52.1274256, -0.2955159 52.1270537)",Swan Lane,,,
1999196,False,,residential,,False,177.292,"LINESTRING (-0.2946936 52.1283538, -0.2936944 52.1268821)",The Avenue,,,
106588799,False,,secondary,30 mph,True,109.978,"LINESTRING (-0.2946936 52.1283538, -0.2962453 52.1280877)",Bedford Road,,,
106588799,False,,secondary,30 mph,False,88.987,"LINESTRING (-0.2946936 52.1283538, -0.2942919 52.1284482, -0.293487 52.1286565)",Bedford Road,,,
106588799,False,,secondary,30 mph,False,14.316,"LINESTRING (-0.293487 52.1286565, -0.2932961 52.1287098)",Bedford Road,,,
1999197,False,,residential,,True,99.99000000000001,"LINESTRING (-0.293487 52.1286565, -0.2933248 52.1284048, -0.293325 52.1281495, -0.2930837 52.1278069)",Cedar Gardens,,,
106588799,False,,secondary,30 mph,True,88.987,"LINESTRING (-0.293487 52.1286565, -0.2942919 52.1284482, -0.2946936 52.1283538)",Bedford Road,,,
8123124,False,,residential,,True,83.004,"LINESTRING (-0.2932961 52.1287098, -0.2939003 52.1293576)",Laburnum Road,,,
106588799,False,,secondary,30 mph,True,14.316,"LINESTRING (-0.2932961 52.1287098, -0.293487 52.1286565)",Bedford Road,,,
106588799,False,,secondary,30 mph,False,118.99699999999999,"LINESTRING (-0.2932961 52.1287098, -0.2929896 52.128791, -0.2916955 52.1291338)",Bedford Road,,,
74217576,False,,residential,,False,161.043,"LINESTRING (-0.2904918 52.1294442, -0.2897734 52.1283895, -0.2897449 52.1283109, -0.289766 52.1280867)",Kings Road,,,
106588799,False,,secondary,30 mph,False,28.428000000000004,"LINESTRING (-0.2904918 52.1294442, -0.2903826 52.1294733, -0.2902712 52.1295289, -0.2901658 52.1295977)",Bedford Road,,,
106588799,False,,secondary,30 mph,True,89.12,"LINESTRING (-0.2904918 52.1294442, -0.2911259 52.1292807, -0.2914271 52.1292039, -0.2916955 52.1291338)",Bedford Road,,,
979582022,False,,secondary,20 mph,True,107.529,"LINESTRING (-0.2884338 52.129207, -0.2884538 52.1292162, -0.2889932 52.1294497, -0.2892492 52.1295355, -0.2894921 52.1295982, -0.2896719 52.129628, -0.2898126 52.1296578)",High Street,,,
979582024,False,,secondary,20 mph,False,54.53999999999999,"LINESTRING (-0.2884338 52.129207, -0.2883711 52.1291668, -0.2880931 52.1290088, -0.2878588 52.1288666)",High Street,,,
1997763,False,,secondary,20 mph,False,13.926,"LINESTRING (-0.2878588 52.1288666, -0.2877202 52.1287747)",High Street,,,
979582023,False,,residential,,True,38.713,"LINESTRING (-0.2878588 52.1288666, -0.2877526 52.1289283, -0.2875446 52.1290419, -0.2874182 52.1290823)",Cambridge Road,,,
979582024,False,,secondary,20 mph,True,54.54,"LINESTRING (-0.2878588 52.1288666, -0.2880931 52.1290088, -0.2883711 52.1291668, -0.2884338 52.129207)",High Street,,,
4942532,False,,unclassified,,True,34.343,"LINESTRING (-0.2866624 52.1281501, -0.286329 52.1283814)",Belfry Court,,,
1997763,False,,secondary,20 mph,True,100.242,"LINESTRING (-0.2866624 52.1281501, -0.287059 52.1283743, -0.2872486 52.1284765, -0.2877202 52.1287747)",High Street,,,
1997763,False,,secondary,20 mph,True,13.926,"LINESTRING (-0.2877202 52.1287747, -0.2878588 52.1288666)",High Street,,,
1997763,False,,secondary,20 mph,False,100.242,"LINESTRING (-0.2877202 52.1287747, -0.2872486 52.1284765, -0.287059 52.1283743, -0.2866624 52.1281501)",High Street,,,
66207846,False,,residential,,True,42.357,"LINESTRING (-0.2877202 52.1287747, -0.2877974 52.12873, -0.2878462 52.1287052, -0.2878703 52.1284287)",Park Road,,,
4942532,False,,unclassified,,False,34.343,"LINESTRING (-0.286329 52.1283814, -0.2866624 52.1281501)",Belfry Court,,,
66207846,False,,residential,,False,22.075,"LINESTRING (-0.2880077 52.127785, -0.2879962 52.1279834)",Park Road,,,
1997849,True,,unclassified,,False,69.694,"LINESTRING (-0.2874182 52.1290823, -0.2874783 52.1291438, -0.2874856 52.1292065, -0.2875499 52.1292286, -0.2878296 52.1292554, -0.2880411 52.1292867, -0.2882622 52.1293194)",Market Square,,,
979582023,False,,residential,,False,38.713,"LINESTRING (-0.2874182 52.1290823, -0.2875446 52.1290419, -0.2877526 52.1289283, -0.2878588 52.1288666)",Cambridge Road,,,
1997849,True,,unclassified,,False,17.129,"LINESTRING (-0.2882622 52.1293194, -0.2884338 52.129207)",Market Square,,,
66173710,False,,residential,,True,40.498,"LINESTRING (-0.2882622 52.1293194, -0.288249 52.1293784, -0.2882249 52.1294863, -0.2882947 52.1296773)",Pleasant Place,,,
1998297,False,,residential,20 mph,False,25.214,"LINESTRING (-0.2860888 52.1309986, -0.2862062 52.1312136)",Dapifer Drive,,2,
93367984,False,,tertiary,30 mph,False,192.71699999999998,"LINESTRING (-0.2860888 52.1309986, -0.2866794 52.1309014, -0.2872417 52.1308175, -0.2875974 52.1307481, -0.2887494 52.1304348)",Sunderland Road,,2,
"[1998297, 66477914]",False,,residential,20 mph,"[False, True]",102.793,"LINESTRING (-0.2879443 52.132778, -0.288287 52.1331813, -0.2884419 52.133349, -0.2884487 52.1334238, -0.2883241 52.1335071, -0.2882553 52.1335852)","['Berwick Way', 'Dapifer Drive']",,2,
1998297,False,,residential,20 mph,True,215.74900000000002,"LINESTRING (-0.2879443 52.132778, -0.2873173 52.1321033, -0.2871743 52.1319287, -0.2868737 52.1315618, -0.2867769 52.1314919, -0.2866702 52.1314482, -0.2864085 52.1313839, -0.2862805 52.1313071, -0.2862062 52.1312136)",Dapifer Drive,,2,
104332134,False,,residential,20 mph,False,103.773,"LINESTRING (-0.2879443 52.132778, -0.2872991 52.1329976, -0.2866558 52.1332712)",Abbey Grove,,,
65743492,False,,residential,,False,79.22200000000001,"LINESTRING (-0.290263 52.1312794, -0.2904431 52.1315093, -0.2909559 52.1318411)",Glebe Road,,,
65743492,False,,residential,,True,39.635,"LINESTRING (-0.290263 52.1312794, -0.2902016 52.1311707, -0.2901976 52.1310439, -0.2902321 52.1309313)",Glebe Road,,,
66389802,False,,residential,,False,60.742,"LINESTRING (-0.290263 52.1312794, -0.2898145 52.131375, -0.2894091 52.1314298)",Leeds Smith Drive,,,
1998298,False,,residential,,False,223.378,"LINESTRING (-0.2902321 52.1309313, -0.290042 52.1308941, -0.2897836 52.1307259, -0.289587 52.1307168, -0.2893603 52.1307645, -0.2888421 52.1308946, -0.2873227 52.1313623)",Windsor Way,,,
1998298,False,,residential,,True,84.82900000000001,"LINESTRING (-0.2902321 52.1309313, -0.2904229 52.1309435, -0.2906254 52.130927, -0.2907716 52.1308817, -0.2912625 52.1305903)",Windsor Way,,,
65743492,False,,residential,,False,39.635,"LINESTRING (-0.2902321 52.1309313, -0.2901976 52.1310439, -0.2902016 52.1311707, -0.290263 52.1312794)",Glebe Road,,,
1998660,False,,tertiary,,True,67.49,"LINESTRING (-0.2912625 52.1305903, -0.290541 52.1301753)",St. Neots Road,,,
1998298,False,,residential,,False,84.829,"LINESTRING (-0.2912625 52.1305903, -0.2907716 52.1308817, -0.2906254 52.130927, -0.2904229 52.1309435, -0.2902321 52.1309313)",Windsor Way,,,
1998660,False,,tertiary,,False,165.237,"LINESTRING (-0.2912625 52.1305903, -0.2918193 52.1309217, -0.2921239 52.1310878, -0.2928046 52.131514, -0.2929817 52.1316354)",St. Neots Road,,,
979582036,False,,tertiary,,False,9.247,"LINESTRING (-0.2944187 52.1328697, -0.2944605 52.1329488)",St. Neots Road,,,
