osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,tunnel
27142723,2,Portland Road,tertiary,30 mph,False,True,16.189,"LINESTRING (-1.2005004 53.036955, -1.2003771 53.0368297)",,,
449139304,3,Station Road,tertiary,,False,False,39.370999999999995,"LINESTRING (-1.2005004 53.036955, -1.2003584 53.0370468, -1.2003164 53.037074, -1.2001841 53.0371594, -1.2000955 53.037212)",,,
1069095079,3,High Street,tertiary,30 mph,False,True,65.53999999999999,"LINESTRING (-1.2005004 53.036955, -1.2006237 53.0370699, -1.2006598 53.0370994, -1.2007809 53.0371887, -1.200946 53.0372934, -1.2011267 53.0374061)",,,
152319371,2,Annesley Road,tertiary,30 mph,False,True,41.491,"LINESTRING (-1.2082398 53.040414, -1.2088112 53.0405596)",,,
96066863,2,Allen Street,residential,,False,False,90.05599999999998,"LINESTRING (-1.2082398 53.040414, -1.208235 53.0404718, -1.2082322 53.0405063, -1.2082148 53.040717, -1.2081971 53.0409319, -1.208192 53.0409934, -1.2081881 53.0410408, -1.2081589 53.0410782, -1.2080633 53.0411292, -1.208014 53.0411861)",,,
152319371,2,Annesley Road,tertiary,30 mph,False,False,62.946,"LINESTRING (-1.2082398 53.040414, -1.2078175 53.0403186, -1.2073522 53.0402255)",,,
837388931,2,Watnall Road,secondary,,False,False,113.22099999999999,"LINESTRING (-1.2070609 53.0340564, -1.2068915 53.0341916, -1.2065727 53.0344188, -1.2063387 53.0345695, -1.2061641 53.0346685, -1.2058968 53.0347895)",B6009,,
837388931,2,Watnall Road,secondary,,False,True,76.063,"LINESTRING (-1.2049498 53.0351685, -1.2058968 53.0347895)",B6009,,
96066856,,Curtis Street,residential,,True,False,105.83800000000001,"LINESTRING (-1.2049498 53.0351685, -1.2050237 53.0351959, -1.2052929 53.0352958, -1.2056207 53.0354174, -1.2062568 53.0356535, -1.2062969 53.0356683)",,,
357275142,,Watnall Road,secondary,,False,False,62.99399999999999,"LINESTRING (-1.2049498 53.0351685, -1.2046831 53.0352917, -1.204648 53.0353088, -1.2045424 53.0353675, -1.2044335 53.0354378, -1.2043375 53.0355105, -1.2042789 53.0355612)",B6009,,
357275142,,Watnall Road,secondary,,False,False,60.979,"LINESTRING (-1.2042789 53.0355612, -1.2042381 53.0356075, -1.2041757 53.0356783, -1.2040442 53.0358618, -1.2039023 53.0360603)",B6009,,
357275142,,Watnall Road,secondary,,False,True,62.994,"LINESTRING (-1.2042789 53.0355612, -1.2043375 53.0355105, -1.2044335 53.0354378, -1.2045424 53.0353675, -1.204648 53.0353088, -1.2046831 53.0352917, -1.2049498 53.0351685)",B6009,,
194521205,,Hanson Crescent,residential,,False,True,46.581999999999994,"LINESTRING (-1.2032574 53.0370297, -1.2033147 53.0370442, -1.2038994 53.0371924)",,,
"[1069095078, 357275142]",2,Watnall Road,secondary,,False,False,116.34099999999998,"LINESTRING (-1.2032574 53.0370297, -1.2032183 53.0370773, -1.202928 53.0374303, -1.2027257 53.0376763, -1.2026131 53.0377879, -1.2025112 53.0378889, -1.2024416 53.0379527)",B6009,,
357275142,,Watnall Road,secondary,,False,True,97.18799999999999,"LINESTRING (-1.2032574 53.0370297, -1.2034514 53.036748, -1.203525 53.0366412, -1.2035661 53.0365839, -1.2037968 53.0362182)",B6009,,
342863745,,Bus Link,unclassified,30 mph,False,True,77.67500000000001,"LINESTRING (-1.2024416 53.0379527, -1.202381 53.0380153, -1.2023438 53.0380537, -1.2022839 53.0381484, -1.2022117 53.0382556, -1.2020656 53.0385203, -1.2019777 53.0385879)",,no,
456799401,2,High Street,tertiary,30 mph,False,False,58.14,"LINESTRING (-1.2024416 53.0379527, -1.2022821 53.0378914, -1.2022366 53.037874, -1.2017088 53.0376712)",,,
"[1069095078, 357275142]",2,Watnall Road,secondary,,False,True,116.34100000000001,"LINESTRING (-1.2024416 53.0379527, -1.2025112 53.0378889, -1.2026131 53.0377879, -1.2027257 53.0376763, -1.202928 53.0374303, -1.2032183 53.0370773, -1.2032574 53.0370297)",B6009,,
24035192,2,Linby Road,tertiary,,False,False,81.013,"LINESTRING (-1.1987582 53.0394494, -1.1987632 53.0398352, -1.1988285 53.0401757)",,,
24035192,2,Linby Road,tertiary,,False,True,118.183,"LINESTRING (-1.1987582 53.0394494, -1.1987549 53.0392015, -1.1987147 53.0390147, -1.198641 53.0388326, -1.1985468 53.038685, -1.1983079 53.0384434)",,,
96068626,2,Linby Avenue,residential,,False,False,100.12200000000001,"LINESTRING (-1.1987582 53.0394494, -1.1987061 53.0394471, -1.198669 53.0394498, -1.1985765 53.0394566, -1.1974274 53.0398407)",,,
