osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,ref,width
62216273,New Road,unclassified,False,True,120.28500000000001,"LINESTRING (-2.4656854 52.6593796, -2.4658889 52.6595454, -2.4659596 52.6596809, -2.4661034 52.6599976, -2.4661221 52.6600964, -2.4661453 52.6602193, -2.4661289 52.660306, -2.4661075 52.6603637, -2.4660771 52.6603933)",,,,,
572628259,,unclassified,False,True,18.852,"LINESTRING (-2.4664938 52.6631085, -2.4665608 52.6632731)",20 mph,,,,
"[38213453, 62216272, 1156453719, 1156453720, 1156453721, 1156453722, 1156453723, 1156453724, 1156453725, 1156453726]",Duce Drive,unclassified,False,"[False, True]",510.92,"LINESTRING (-2.4664938 52.6631085, -2.46643 52.6631092, -2.4662498 52.6631113, -2.466048 52.6631308, -2.4659177 52.6631446, -2.4658101 52.6631661, -2.4657467 52.6631788, -2.4656495 52.6632078, -2.4655116 52.6632638, -2.4654113 52.6633009, -2.4653916 52.6633082, -2.4652357 52.6633791, -2.4651699 52.6633997, -2.4650119 52.6634496, -2.4647829 52.6635096, -2.4646213 52.6635466, -2.4642153 52.6636055, -2.4638414 52.6636315, -2.4637223 52.6636373, -2.4633837 52.6636205, -2.4632018 52.6636058, -2.462869 52.6635699, -2.4620403 52.6634808, -2.461128 52.6633879, -2.4608989 52.6633716, -2.4607899 52.6633639, -2.4606016 52.6634183, -2.4605188 52.6636342, -2.4604105 52.6639163, -2.4603527 52.6641042, -2.4603155 52.6642742)",20 mph,2,,,
"[38213452, 572628263, 1156453727]",New Street,unclassified,False,False,159.494,"LINESTRING (-2.4664938 52.6631085, -2.4664854 52.6630141, -2.4664896 52.6629307, -2.4664249 52.6625955, -2.4662252 52.6618089, -2.4662083 52.6616863)",20 mph,,,,
38213456,Lancaster Avenue,residential,False,False,46.492000000000004,"LINESTRING (-2.4660816 52.6650934, -2.466116 52.6650751, -2.4661589 52.6650204, -2.4662082 52.6649365, -2.4663037 52.664818, -2.4663413 52.6647901, -2.46637 52.66477, -2.4664228 52.6647367)",20 mph,,,,
38213456,Lancaster Avenue,residential,False,True,58.574,"LINESTRING (-2.4660816 52.6650934, -2.4660197 52.6650998, -2.4652258 52.6650162)",20 mph,,,,
62216274,King Street,unclassified,False,True,5.371,"LINESTRING (-2.4660816 52.6650934, -2.4660725 52.6651169, -2.4660608 52.66514)",20 mph,,,,
38213456,Lancaster Avenue,residential,False,False,8.807,"LINESTRING (-2.4650954 52.6650119, -2.4652258 52.6650162)",20 mph,,,,
38213457,Worcester Road,residential,False,True,103.649,"LINESTRING (-2.4650954 52.6650119, -2.4649561 52.6656282, -2.4649115 52.6657632, -2.464818 52.665926)",20 mph,,,,
62236081,Lancaster Avenue,residential,False,True,75.976,"LINESTRING (-2.4650954 52.6650119, -2.4647372 52.6649665, -2.4640321 52.6647934)",20 mph,,,,
38213457,Worcester Road,residential,False,False,87.53200000000001,"LINESTRING (-2.464185 52.6666069, -2.4642366 52.6665812, -2.4646756 52.6661483, -2.464818 52.665926)",20 mph,,,,
38213458,Johnston Road,residential,False,True,47.789,"LINESTRING (-2.464185 52.6666069, -2.4641056 52.6665922, -2.4638132 52.6664809, -2.4635807 52.6663858)",20 mph,,,,
