osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,junction,lanes,bridge,name
4836884,True,A27,trunk,40 mph,False,37.924,"LINESTRING (-0.5622682 50.8526834, -0.5621002 50.8526676, -0.5619584 50.8526754, -0.56186 50.8527026, -0.5617634 50.8527482)",,,,
1118888342,True,,trunk,40 mph,False,21.124000000000002,"LINESTRING (-0.5617634 50.8527482, -0.5616821 50.8528281, -0.5615666 50.852889)",roundabout,,,
4831788,True,A284,primary,,False,27.154,"LINESTRING (-0.5615666 50.852889, -0.5615193 50.8530224, -0.5614962 50.8531289)",,,,
965965531,True,,trunk,40 mph,False,21.938000000000002,"LINESTRING (-0.5615666 50.852889, -0.5614218 50.8529262, -0.561266 50.8529331)",roundabout,,,
896541329,True,,trunk,40 mph,False,20.654,"LINESTRING (-0.5608342 50.8527132, -0.560812 50.8526214, -0.5608333 50.8525295)",roundabout,,,
4831785,True,A27,trunk,40 mph,False,34.519999999999996,"LINESTRING (-0.5608333 50.8525295, -0.5608029 50.8523872, -0.5607263 50.8522275)",,,,
896541329,True,,trunk,40 mph,False,27.645000000000003,"LINESTRING (-0.5608333 50.8525295, -0.5608876 50.8524541, -0.5609712 50.8523902, -0.5610785 50.8523424)",roundabout,,,
4831786,True,A27,trunk,40 mph,False,28.362000000000002,"LINESTRING (-0.5607263 50.8522275, -0.5609206 50.852318, -0.5610785 50.8523424)",,,,
"[1118888338, 3174835, 4831790, 4831791]",False,A27,trunk,40 mph,False,257.933,"LINESTRING (-0.5607263 50.8522275, -0.5605948 50.8521414, -0.5605413 50.8521064, -0.5602622 50.8519176, -0.5594112 50.8513796, -0.5593815 50.8513621, -0.5592607 50.8512912, -0.5589315 50.8510979, -0.5586767 50.8509619, -0.5583279 50.8507903, -0.5580212 50.8506673)",,2,yes,Arundel Bypass
965965532,True,,trunk,40 mph,False,11.462,"LINESTRING (-0.5610785 50.8523424, -0.5612336 50.8523102)",roundabout,,,
4836885,True,A27,trunk,40 mph,False,45.503,"LINESTRING (-0.5617311 50.8524543, -0.5622682 50.8526834)",,,,
3174637,True,,trunk,40 mph,False,33.949,"LINESTRING (-0.5617311 50.8524543, -0.5617931 50.8525482, -0.5618043 50.8526497, -0.5617634 50.8527482)",roundabout,,,
965965531,True,,trunk,40 mph,False,18.659,"LINESTRING (-0.561266 50.8529331, -0.5611363 50.8529147, -0.561019 50.8528753)",roundabout,,,
4831789,True,A284,primary,,False,27.254,"LINESTRING (-0.5614962 50.8531289, -0.5613998 50.8530261, -0.561266 50.8529331)",,2,,
54683462,False,A284,primary,30 mph,True,690.6129999999999,"LINESTRING (-0.5614962 50.8531289, -0.5615983 50.8533981, -0.5616909 50.853586, -0.5617417 50.8536891, -0.5618975 50.8540351, -0.563009 50.8556799, -0.5635249 50.8566917, -0.5641118 50.8582034, -0.5645532 50.8590191)",,2,,Arundel Bypass
4412889,False,,tertiary,30 mph,False,21.442,"LINESTRING (-0.5606651 50.8529014, -0.5603992 50.8529963)",,,,Maltravers Street
4831784,True,,tertiary,,False,24.143,"LINESTRING (-0.5606651 50.8529014, -0.5607562 50.8528183, -0.5608342 50.8527132)",,,,Maltravers Street
4412889,False,,tertiary,30 mph,False,50.036,"LINESTRING (-0.5603992 50.8529963, -0.5598105 50.85325)",,,,Maltravers Street
4412889,False,,tertiary,30 mph,True,21.442,"LINESTRING (-0.5603992 50.8529963, -0.5606651 50.8529014)",,,,Maltravers Street
4412889,False,,tertiary,30 mph,True,111.469,"LINESTRING (-0.5581108 50.8539892, -0.5594385 50.8534393)",,,,Maltravers Street
4412889,False,,tertiary,30 mph,False,14.033000000000001,"LINESTRING (-0.5581108 50.8539892, -0.5580563 50.8540093, -0.5579387 50.8540534)",,,,Maltravers Street
4831745,False,,residential,30 mph,False,150.601,"LINESTRING (-0.5581108 50.8539892, -0.5581871 50.8540748, -0.5582675 50.8542921, -0.5583126 50.8548442, -0.5583413 50.8551953, -0.5583444 50.8553239)",,,,Parson's Hill
28449353,False,,residential,,False,59.175000000000004,"LINESTRING (-0.5581108 50.8539892, -0.5582248 50.8539958, -0.5588381 50.8537476)",,,,Maltravers Street
4412889,False,,tertiary,30 mph,True,14.033000000000001,"LINESTRING (-0.5579387 50.8540534, -0.5580563 50.8540093, -0.5581108 50.8539892)",,,,Maltravers Street
4412891,True,,residential,20 mph,False,11.929,"LINESTRING (-0.5590976 50.8527524, -0.559179 50.8527391, -0.5592646 50.8527433)",,1,,Tarrant Street
5199882,False,,residential,10 mph,False,48.136,"LINESTRING (-0.5590976 50.8527524, -0.5590113 50.8526696, -0.5585174 50.8525505)",,,,Surrey Wharf
4831744,True,,residential,20 mph,False,84.84299999999999,"LINESTRING (-0.5592646 50.8527433, -0.5594698 50.8527802, -0.5597515 50.8528383, -0.5602641 50.8529408, -0.5603992 50.8529963)",,,,Surrey Street
"[163890986, 28449339]",False,,residential,20 mph,False,142.12900000000002,"LINESTRING (-0.5592646 50.8527433, -0.5592723 50.8527021, -0.5592997 50.85262, -0.5593199 50.8525438, -0.5593712 50.8524482, -0.5595274 50.8523328, -0.5596188 50.8522781, -0.5596791 50.8522603, -0.5597274 50.8522637, -0.5597826 50.8522669, -0.5599531 50.8523069, -0.5600077 50.8523374, -0.5600786 50.8523827, -0.560453 50.852719)",,,,"['The Slipe', ""Wheelwright's Close""]"
"[1118888338, 3174835, 4831790, 4831791]",False,A27,trunk,40 mph,True,257.933,"LINESTRING (-0.5580212 50.8506673, -0.5583279 50.8507903, -0.5586767 50.8509619, -0.5589315 50.8510979, -0.5592607 50.8512912, -0.5593815 50.8513621, -0.5594112 50.8513796, -0.5602622 50.8519176, -0.5605413 50.8521064, -0.5605948 50.8521414, -0.5607263 50.8522275)",,2,yes,Arundel Bypass
