osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,junction,maxspeed,bridge
1133962285,Cutts Street,unclassified,False,False,34.382,,,"LINESTRING (-2.1833349 53.0178183, -2.1828211 53.0178097)",,,
117088427,Snow Hill,primary,False,False,58.271,2,A5006,"LINESTRING (-2.1833349 53.0178183, -2.1832702 53.0179669, -2.1832486 53.0183371)",,,
117088427,Snow Hill,primary,False,True,56.766999999999996,2,A5006,"LINESTRING (-2.1833349 53.0178183, -2.1833965 53.0177198, -2.183739 53.0173708)",,,
231029066,,primary,True,False,14.928,,,"LINESTRING (-2.1844435 53.0166412, -2.1844399 53.0166151, -2.184449 53.0165929, -2.1844726 53.0165707, -2.1844948 53.0165593, -2.1845347 53.0165486, -2.1845594 53.0165464)",roundabout,,
4479303,Aynsley Road,residential,False,False,136.875,,,"LINESTRING (-2.1832709 53.0130362, -2.1837443 53.0129964, -2.1845766 53.0129265, -2.1848806 53.0128955, -2.185163 53.0128457, -2.1852847 53.0128285)",,,
801347227,Stoke Road,primary,False,False,40.207,,A5006,"LINESTRING (-2.1832709 53.0130362, -2.1832507 53.0129884, -2.1832219 53.01292, -2.1831931 53.0128122, -2.183189 53.0126797)",,,
801347227,Stoke Road,primary,False,True,37.015,,A5006,"LINESTRING (-2.1832709 53.0130362, -2.183346 53.0131898, -2.1834607 53.0133482)",,,
151538590,College Road,unclassified,False,True,63.171,,,"LINESTRING (-2.180025 53.0127164, -2.180156 53.0124538, -2.1801757 53.0124211, -2.1802384 53.0123132, -2.180311 53.0121751)",,20 mph,
682295500,,tertiary,True,False,13.870000000000001,,,"LINESTRING (-2.180025 53.0127164, -2.1800487 53.0127228, -2.180084 53.0127426, -2.1801029 53.0127662, -2.1801072 53.0127922, -2.1800966 53.0128192)",roundabout,,
4072850,Cleveland Road,tertiary,False,False,114.128,,,"LINESTRING (-2.1788254 53.0173971, -2.1787767 53.0174147, -2.1787161 53.0174216, -2.1783405 53.0174329, -2.1781447 53.0174626, -2.1780482 53.0174839, -2.1779986 53.0174938, -2.1779584 53.0175053, -2.17764 53.0176144, -2.1772901 53.0177785)",,,
4479300,College Road,tertiary,False,True,69.436,,,"LINESTRING (-2.1788254 53.0173971, -2.178997 53.0174542, -2.1791124 53.0175455, -2.1794879 53.0178656)",,,
26570527,College Road,tertiary,False,True,120.7,,,"LINESTRING (-2.1788254 53.0173971, -2.178856 53.0173732, -2.1788701 53.0173506, -2.1788728 53.0173181, -2.1788367 53.0172641, -2.1786926 53.0170034, -2.1786101 53.0168517, -2.1785411 53.0166693, -2.1784938 53.0165051, -2.178476 53.0163531)",,,
230503593,Bedford Road,secondary,False,False,105.769,,B5046,"LINESTRING (-2.185918 53.0172246, -2.1863987 53.0176681, -2.1867303 53.0180397)",,,
564476396,Bedford Road,secondary,False,True,64.779,,B5046,"LINESTRING (-2.185918 53.0172246, -2.1856019 53.0170402, -2.1855232 53.0169943, -2.1852227 53.0168191)",,,
379630204,Regent Road,tertiary,False,False,17.55,,,"LINESTRING (-2.1762599 53.0189428, -2.1761503 53.0190862)",,30 mph,
22941457,Hinde Street,unclassified,False,False,224.115,2,,"LINESTRING (-2.1762599 53.0189428, -2.1767084 53.019104, -2.1777838 53.0194904, -2.1779929 53.0195741, -2.178043 53.0196102, -2.1780721 53.0196385, -2.1780874 53.0196653, -2.1780916 53.0196984, -2.1780903 53.0197367, -2.1780795 53.0197704, -2.1776903 53.0201611, -2.1775813 53.0202695)",,30 mph,
49590009,Regent Road,tertiary,False,True,72.323,2,,"LINESTRING (-2.1762599 53.0189428, -2.1764678 53.0186775, -2.1765581 53.0185465, -2.1765877 53.0185036, -2.176607 53.0184755, -2.1766951 53.0183476)",,30 mph,
4479300,College Road,tertiary,False,False,29.11,,,"LINESTRING (-2.1809507 53.0190618, -2.1806922 53.0188512)",,,
4479300,College Road,tertiary,False,True,78.419,,,"LINESTRING (-2.1809507 53.0190618, -2.1816323 53.0196356)",,,
25115349,Cooper Street,residential,False,False,62.943,,,"LINESTRING (-2.1809507 53.0190618, -2.1801966 53.0194004)",,,
4479302,Elgin Street,residential,False,True,13.152,,,"LINESTRING (-2.1862114 53.0125739, -2.1860413 53.0125146)",,,
4479303,Aynsley Road,residential,False,True,68.154,,,"LINESTRING (-2.1862114 53.0125739, -2.1852847 53.0128285)",,,
"[4479305, 4479303]","['Aynsley Road', 'Newlands Street']",residential,False,False,150.74099999999999,,,"LINESTRING (-2.1862114 53.0125739, -2.1864069 53.0125836, -2.1865617 53.012611, -2.1868347 53.0126565, -2.1872891 53.012443, -2.1872997 53.0124294, -2.1872848 53.0124132, -2.1865256 53.0121246, -2.1864562 53.0120982)",,,
4479300,College Road,tertiary,False,True,136.015,,,"LINESTRING (-2.1794879 53.0178656, -2.1806922 53.0188512)",,,
4479300,College Road,tertiary,False,False,69.43599999999999,,,"LINESTRING (-2.1794879 53.0178656, -2.1791124 53.0175455, -2.178997 53.0174542, -2.1788254 53.0173971)",,,
25115357,Lawrence Street,residential,False,False,53.169,,,"LINESTRING (-2.1794879 53.0178656, -2.1798399 53.0177562, -2.1799532 53.0177275, -2.1800867 53.017714, -2.1802248 53.0177291)",,,
152975079,Avenue Road,unclassified,False,False,306.127,,,"LINESTRING (-2.1754981 53.0119362, -2.1770597 53.0122305, -2.179796 53.0127616, -2.1798572 53.0127735)",,,
22941457,Hinde Street,unclassified,False,True,224.115,2,,"LINESTRING (-2.1775813 53.0202695, -2.1776903 53.0201611, -2.1780795 53.0197704, -2.1780903 53.0197367, -2.1780916 53.0196984, -2.1780874 53.0196653, -2.1780721 53.0196385, -2.178043 53.0196102, -2.1779929 53.0195741, -2.1777838 53.0194904, -2.1767084 53.019104, -2.1762599 53.0189428)",,30 mph,
"[23799925, 26570526, 26570527]","['College Road', 'College Road Bridge']",tertiary,False,False,403.185,,,"LINESTRING (-2.1799594 53.0128605, -2.179622 53.013531, -2.1796028 53.0135692, -2.1795876 53.0135993, -2.1795359 53.0136995, -2.1792 53.0143506, -2.1788257 53.0150593, -2.1787275 53.0152663, -2.1786357 53.0154249, -2.1785782 53.0155366, -2.1785326 53.0156483, -2.1784854 53.0157806, -2.1784587 53.0160967, -2.1784706 53.0163326, -2.178476 53.0163531)",,,yes
