osmid,lanes,name,highway,oneway,reversed,length,width,geometry,ref,maxspeed,access
4693401,2,Station Road,tertiary,False,False,71.488,,"LINESTRING (-0.6767593 50.7863378, -0.6758903 50.7860039)",,,
4693413,,Linden Road,tertiary,False,False,84.845,9,"LINESTRING (-0.6767593 50.7863378, -0.6770664 50.7865238, -0.6772056 50.7866081, -0.6776376 50.7868611)",,,
4911007,2,Canada Grove,secondary,False,True,215.599,,"LINESTRING (-0.6767593 50.7863378, -0.6768168 50.7862136, -0.6773483 50.7855793, -0.6776925 50.7851731, -0.6778238 50.7850131, -0.6779034 50.7849009, -0.6779096 50.7848922, -0.677963 50.7847523, -0.6779909 50.784579)",B2166,30 mph,
213438608,,Longford Road,secondary,False,True,133.034,,"LINESTRING (-0.6767593 50.7863378, -0.6767474 50.7864492, -0.6767599 50.7865329, -0.6767764 50.7866426, -0.6767988 50.7867891, -0.6768095 50.7868316, -0.6768353 50.7869824, -0.6767474 50.7871815, -0.6765688 50.7875042)",B2166,30 mph,
4693401,2,Station Road,tertiary,False,True,71.488,,"LINESTRING (-0.6758903 50.7860039, -0.6767593 50.7863378)",,,
"[4911033, 4693405]",,"['Richmond Road', 'Lyon Street West']",tertiary,True,False,123.603,,"LINESTRING (-0.6758903 50.7860039, -0.6757102 50.7862996, -0.6756295 50.7864482, -0.6755762 50.7865529, -0.6755373 50.786615, -0.6755027 50.7866454, -0.6754674 50.7866583, -0.6754235 50.786655, -0.6753805 50.7866458, -0.675213 50.7865854, -0.6749068 50.7864829)",,,
4693410,,London Road,tertiary,True,False,36.887,,"LINESTRING (-0.674341 50.786274, -0.6746003 50.7859856)",,,
4910920,,London Road,tertiary,False,False,39.846000000000004,,"LINESTRING (-0.674341 50.786274, -0.6742893 50.7863446, -0.6740969 50.7865974)",,30 mph,
4693410,,London Road,tertiary,True,False,44.526,,"LINESTRING (-0.6746003 50.7859856, -0.6747569 50.7858023, -0.674793 50.78576, -0.6748668 50.7857164, -0.6749178 50.7856997, -0.6749865 50.7856936)",,,
4910851,,Sudley Road,residential,True,False,305.953,,"LINESTRING (-0.6746003 50.7859856, -0.6740142 50.7856394, -0.6732775 50.7852181, -0.6724503 50.7847555, -0.6717476 50.7843625, -0.6713986 50.7841239)",,,
4732000,2,Gloucester Road,tertiary,False,False,133.448,,"LINESTRING (-0.6670382 50.7853912, -0.6669639 50.7851174, -0.6668656 50.7847974, -0.6668237 50.7846827, -0.666761 50.7845423, -0.6665588 50.7842351)",,30 mph,
144901102,2,High Street,tertiary,False,True,49.099000000000004,,"LINESTRING (-0.6670382 50.7853912, -0.6672029 50.7853878, -0.6677332 50.7853502)",,30 mph,
"[4732000, 157749421]",2,"['The Esplanade', 'Gloucester Road']",tertiary,False,"[False, True]",217.86599999999999,,"LINESTRING (-0.6665588 50.7842351, -0.6664027 50.7840296, -0.6662526 50.7838037, -0.6661614 50.783651, -0.6660682 50.7834034, -0.6660195 50.7832516, -0.6660365 50.7831859, -0.6660999 50.7831465, -0.6672385 50.7829777, -0.667318 50.7829665)",,30 mph,
4732000,2,Gloucester Road,tertiary,False,True,133.448,,"LINESTRING (-0.6665588 50.7842351, -0.666761 50.7845423, -0.6668237 50.7846827, -0.6668656 50.7847974, -0.6669639 50.7851174, -0.6670382 50.7853912)",,30 mph,
4910953,,Walton Road,residential,False,False,95.965,,"LINESTRING (-0.6665588 50.7842351, -0.6673405 50.7840495, -0.6678347 50.7839284)",,,
4732031,,Waterloo Square,residential,False,True,125.08699999999999,,"LINESTRING (-0.6771354 50.7828277, -0.6770504 50.7827411, -0.6770361 50.7826906, -0.6770092 50.7823002, -0.6769469 50.7817206)",,,
4910862,2,West Street,tertiary,False,False,72.00999999999999,,"LINESTRING (-0.6771354 50.7828277, -0.6768217 50.7829771, -0.6766505 50.7830362, -0.6764406 50.7830828, -0.6762282 50.7830994)",,30 mph,
4910862,2,West Street,tertiary,False,True,25.21,,"LINESTRING (-0.6771354 50.7828277, -0.6773335 50.7827411, -0.6774325 50.7827008)",,30 mph,
8031729,2,West Street,secondary,False,False,180.865,,"LINESTRING (-0.679081 50.7808498, -0.6790502 50.7809717, -0.679032 50.7812588, -0.6789962 50.7818066, -0.6789902 50.7818784, -0.6789619 50.7821567, -0.678918 50.7823951, -0.6788832 50.7824686)",B2166,30 mph,
157749421,2,The Esplanade,tertiary,False,False,179.071,,"LINESTRING (-0.679081 50.7808498, -0.6789692 50.7808282, -0.6787289 50.7808457, -0.6784207 50.7808772, -0.6779877 50.780951, -0.6775012 50.7810738, -0.677063 50.7812309, -0.6768438 50.7813436, -0.6767609 50.7813962)",,30 mph,
8031729,2,West Street,secondary,False,False,13.341,,"LINESTRING (-0.6788832 50.7824686, -0.6787673 50.7825636)",B2166,30 mph,
