osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,ref,geometry
8399443,2,Castle Street,residential,20 mph,4.7,False,False,139.637,,"LINESTRING (-4.1299207 57.5820752, -4.1280291 57.5813345)"
349883507,2,,primary,20 mph,,False,True,78.515,A832,"LINESTRING (-4.1299207 57.5820752, -4.1309704 57.5816487)"
26140799,2,Church Street,tertiary,20 mph,,False,False,126.606,,"LINESTRING (-4.1299207 57.5820752, -4.1307945 57.582422, -4.1310704 57.5825084, -4.1317003 57.5826922)"
"[4360235, 349883507]",2,,primary,"['20 mph', '30 mph']",,False,False,73.531,A832,"LINESTRING (-4.1299207 57.5820752, -4.1297658 57.5821493, -4.1295662 57.5822563, -4.1290285 57.5825317)"
8399408,1,St Andrew's Walk,residential,20 mph,3.5,False,False,101.08699999999999,,"LINESTRING (-4.1365183 57.5788868, -4.136458 57.5788619, -4.1363936 57.578864, -4.1349024 57.5791004)"
196400820,2,Canonbury Terrace,primary,30 mph,,False,False,135.175,A832,"LINESTRING (-4.1365183 57.5788868, -4.1360709 57.5790639, -4.135761 57.5792188, -4.1350153 57.5797816)"
8399408,1,St Andrew's Walk,residential,20 mph,3.5,False,True,69.427,,"LINESTRING (-4.1338368 57.5793523, -4.1349024 57.5791004)"
26757927,2,Harbour Road,residential,20 mph,,False,False,89.94500000000001,,"LINESTRING (-4.1338368 57.5793523, -4.1340645 57.579203, -4.134516 57.5790214, -4.1345796 57.5789468, -4.1349024 57.5791004)"
"[8399408, 297237921]",1,St Andrew's Walk,residential,20 mph,3.5,False,False,291.333,,"LINESTRING (-4.1338368 57.5793523, -4.1333754 57.5794515, -4.1332704 57.5794616, -4.1331781 57.579463, -4.1324673 57.5794647, -4.1311081 57.579435, -4.1308433 57.5794381, -4.130376 57.5794437, -4.1301517 57.5794969, -4.1300293 57.5796178, -4.1297073 57.5799811, -4.1296493 57.5800466)"
8399454,2,Academy Street,residential,20 mph,,False,True,14.512,,"LINESTRING (-4.1296493 57.5800466, -4.1298472 57.5801226)"
8399454,2,Academy Street,residential,20 mph,,False,False,97.97399999999999,,"LINESTRING (-4.1296493 57.5800466, -4.1289827 57.579846, -4.1282162 57.5796153)"
"[8399408, 297237921]",1,St Andrew's Walk,residential,20 mph,3.5,False,True,291.333,,"LINESTRING (-4.1296493 57.5800466, -4.1297073 57.5799811, -4.1300293 57.5796178, -4.1301517 57.5794969, -4.130376 57.5794437, -4.1308433 57.5794381, -4.1311081 57.579435, -4.1324673 57.5794647, -4.1331781 57.579463, -4.1332704 57.5794616, -4.1333754 57.5794515, -4.1338368 57.5793523)"
8399442,2,Deans Road,residential,20 mph,4.7,False,False,159.295,,"LINESTRING (-4.1282162 57.5796153, -4.1271883 57.5802701, -4.1266243 57.5806294, -4.1265256 57.5806923, -4.1264957 57.5807114)"
8399454,2,Academy Street,residential,20 mph,,False,False,273.067,,"LINESTRING (-4.1282162 57.5796153, -4.1278722 57.5795253, -4.1271189 57.5793283, -4.1263932 57.5791599, -4.1257282 57.5790291, -4.1248803 57.5788823, -4.1245475 57.5788362, -4.1242364 57.5788182, -4.1239236 57.5788173)"
8399454,2,Academy Street,residential,20 mph,,False,True,97.97399999999999,,"LINESTRING (-4.1282162 57.5796153, -4.1289827 57.579846, -4.1296493 57.5800466)"
8399442,2,Deans Road,residential,20 mph,4.7,False,True,90.241,,"LINESTRING (-4.1255209 57.5813323, -4.1264957 57.5807114)"
"[8399441, 26826828]",2,"['Waterfurrows', 'Alexander Court']",residential,20 mph,"['4.7', '4.8']",False,False,209.85,,"LINESTRING (-4.1255209 57.5813323, -4.1261432 57.5815854, -4.126496 57.5816461, -4.1267086 57.5817293, -4.1270765 57.5818705, -4.1274471 57.5820372, -4.1278337 57.5817864, -4.1282749 57.5819733)"
"[297237913, 8399442]",2,Deans Road,residential,"['20 mph', '30 mph']",4.7,False,False,191.872,,"LINESTRING (-4.1255209 57.5813323, -4.1250465 57.5816337, -4.1241041 57.5821896, -4.1235235 57.5825682, -4.123508 57.5826112, -4.1234903 57.5826563)"
8399417,2,Ness Road,tertiary,30 mph,,False,True,246.54399999999998,,"LINESTRING (-4.1234903 57.5826563, -4.124017 57.5826998, -4.1243915 57.5827498, -4.1252069 57.5829268, -4.1266324 57.5832664, -4.1268723 57.5832807, -4.1270439 57.58331, -4.1273338 57.5834208)"
"[297237913, 8399442]",2,Deans Road,residential,"['20 mph', '30 mph']",4.7,False,True,191.872,,"LINESTRING (-4.1234903 57.5826563, -4.123508 57.5826112, -4.1235235 57.5825682, -4.1241041 57.5821896, -4.1250465 57.5816337, -4.1255209 57.5813323)"
8399454,2,Academy Street,residential,20 mph,,False,False,14.512,,"LINESTRING (-4.1298472 57.5801226, -4.1296493 57.5800466)"
8399454,2,Academy Street,residential,20 mph,,False,True,7.764,,"LINESTRING (-4.1298472 57.5801226, -4.12996 57.5801575)"
8399456,,Rose Street,residential,20 mph,,False,False,100.174,,"LINESTRING (-4.1298472 57.5801226, -4.1296042 57.5802599, -4.1287241 57.5807926)"
8399452,2,Union Street,residential,20 mph,5.0,False,False,152.717,,"LINESTRING (-4.1287241 57.5807926, -4.1308019 57.581596)"
8399456,,Rose Street,residential,20 mph,,False,False,73.126,,"LINESTRING (-4.1287241 57.5807926, -4.1280291 57.5813345)"
8399456,,Rose Street,residential,20 mph,,False,True,100.174,,"LINESTRING (-4.1287241 57.5807926, -4.1296042 57.5802599, -4.1298472 57.5801226)"
8399452,2,Union Street,residential,20 mph,5.0,False,True,11.629,,"LINESTRING (-4.1309704 57.5816487, -4.1308019 57.581596)"
349883507,2,,primary,20 mph,,False,False,78.515,A832,"LINESTRING (-4.1309704 57.5816487, -4.1299207 57.5820752)"
26826800,2,Station Road,residential,20 mph,5.0,False,False,98.81099999999999,,"LINESTRING (-4.1309704 57.5816487, -4.1310521 57.5816691, -4.131808 57.5819995, -4.1322098 57.582104, -4.1323359 57.582143)"
294999672,2,,primary,20 mph,,False,True,81.288,A832,"LINESTRING (-4.1309704 57.5816487, -4.1314711 57.5814118, -4.1319971 57.5811676)"
8399454,2,Academy Street,residential,20 mph,,False,False,58.14,,"LINESTRING (-4.1324332 57.5809885, -4.1315989 57.5807177)"
294999672,2,,primary,20 mph,,False,False,32.748,A832,"LINESTRING (-4.1324332 57.5809885, -4.1322431 57.5810666, -4.1319971 57.5811676)"
"[294999672, 196400819]",2,,primary,"['20 mph', '30 mph']",,False,True,19.662999999999997,A832,"LINESTRING (-4.1324332 57.5809885, -4.1325824 57.5809384, -4.1327127 57.5808946)"
8399443,2,Castle Street,residential,20 mph,4.7,False,True,139.637,,"LINESTRING (-4.1280291 57.5813345, -4.1299207 57.5820752)"
8399456,,Rose Street,residential,20 mph,,False,True,73.126,,"LINESTRING (-4.1280291 57.5813345, -4.1287241 57.5807926)"
8399443,2,Castle Street,residential,20 mph,4.7,False,False,114.701,,"LINESTRING (-4.1280291 57.5813345, -4.1272883 57.5810335, -4.1264957 57.5807114)"
192300402,,Lower Wards,residential,30 mph,,False,False,44.408,,"LINESTRING (-4.1303916 57.5840843, -4.130455 57.584096, -4.1305891 57.5841453, -4.130668 57.5841816, -4.1305465 57.5843162, -4.1304507 57.5843652)"
297237910,,,unclassified,30 mph,,False,False,12.11,,"LINESTRING (-4.1303916 57.5840843, -4.1304034 57.5840327, -4.1303728 57.5839782)"
