osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
"[15923171, 160057015]",Mill Road,residential,False,False,262.076,"LINESTRING (0.5418716 51.3894107, 0.542015 51.3895184, 0.5421749 51.3896164, 0.5422045 51.3896353, 0.5423224 51.3897102, 0.5424331 51.3898405, 0.5424692 51.3899452, 0.5424803 51.3901525, 0.5424811 51.3903294, 0.5424814 51.3904044, 0.542538 51.3905856, 0.5428578 51.3916135)",,,,
612834493,Brompton Road,primary,False,False,45.115,"LINESTRING (0.5418716 51.3894107, 0.542131 51.3893693, 0.5423324 51.3893259, 0.5424791 51.3892731)",A231,30 mph,,
104869988,High Street,primary,False,True,11.221,"LINESTRING (0.5426151 51.3892185, 0.5424791 51.3892731)",A231,30 mph,,
15807445,Marlborough Road,residential,True,False,84.987,"LINESTRING (0.5426151 51.3892185, 0.5422698 51.3886754, 0.5420754 51.3885424)",,,,
96257877,High Street,primary,False,False,74.992,"LINESTRING (0.5426151 51.3892185, 0.5428077 51.3890578, 0.5429587 51.3889318, 0.5431762 51.3887478, 0.543224 51.3887242, 0.5433018 51.3887134)",A231,30 mph,2,
4436446,Arden Street,primary,False,False,33.539,"LINESTRING (0.5433018 51.3887134, 0.5433945 51.3887423, 0.543527 51.3888587, 0.5436116 51.3889367)",A231,30 mph,3,
96257877,High Street,primary,False,True,74.99199999999999,"LINESTRING (0.5433018 51.3887134, 0.543224 51.3887242, 0.5431762 51.3887478, 0.5429587 51.3889318, 0.5428077 51.3890578, 0.5426151 51.3892185)",A231,30 mph,2,
"[30321311, 150760359]",Britton Street,residential,False,True,96.58500000000001,"LINESTRING (0.5433018 51.3887134, 0.543284 51.3886369, 0.5428944 51.3879114, 0.5428811 51.3878866)",,,,
8412334,James Street,tertiary,False,True,85.469,"LINESTRING (0.546546 51.3879739, 0.5468974 51.3887106)",,,,
192790306,Jeffery Street,primary,False,False,78.662,"LINESTRING (0.546546 51.3879739, 0.5467058 51.3879171, 0.5471086 51.3878336, 0.5476106 51.3877371)",A231,30 mph,,
293830468,Jeffery Street,primary,False,True,96.476,"LINESTRING (0.546546 51.3879739, 0.54583 51.3881101, 0.5455554 51.3881677, 0.5454824 51.3881944, 0.545262 51.388289)",A231,30 mph,2,
18633186,Victoria Street,primary,True,False,78.084,"LINESTRING (0.5497207 51.3873029, 0.549506 51.3869009, 0.5494646 51.3867935, 0.5494552 51.386769, 0.5494552 51.3866966, 0.5494714 51.3866269)",A231,30 mph,2,
8561539,Richmond Road,tertiary,False,False,44.368,"LINESTRING (0.5485568 51.3913897, 0.5483014 51.3910239)",,,,
97587577,Parr Avenue,residential,False,True,15.406,"LINESTRING (0.5530799 51.3908508, 0.5532988 51.390874)",,,,
"[17916181, 242852566, 242852567]",Burnt Oak Terrace,residential,False,False,59.781,"LINESTRING (0.5530799 51.3908508, 0.5529254 51.3908442, 0.552349 51.3908777, 0.5522216 51.3908842)",,,,yes
18616945,Kingswood Road,residential,False,False,21.988,"LINESTRING (0.5522216 51.3908842, 0.5523503 51.3907035)",,,,
18653596,Burnt Oak Terrace,residential,True,False,75.256,"LINESTRING (0.5522216 51.3908842, 0.5511459 51.3909707)",,,,
80324027,Brooklyn Paddock,residential,False,False,74.914,"LINESTRING (0.5522216 51.3908842, 0.5517388 51.3914868)",,,,
"[17916181, 242852566, 242852567]",Burnt Oak Terrace,residential,False,True,59.781,"LINESTRING (0.5522216 51.3908842, 0.552349 51.3908777, 0.5529254 51.3908442, 0.5530799 51.3908508)",,,,yes
18616945,Kingswood Road,residential,False,False,110.882,"LINESTRING (0.5524951 51.3888138, 0.5521713 51.3878373)",,,,
18633185,Crown Street,residential,False,False,59.217,"LINESTRING (0.5524951 51.3888138, 0.5516509 51.3888918)",,,,
18616945,Kingswood Road,residential,False,True,221.949,"LINESTRING (0.5524951 51.3888138, 0.5528448 51.389933, 0.5528612 51.3899856, 0.5528868 51.3900675, 0.5523503 51.3907035)",,,,
18616945,Kingswood Road,residential,False,False,75.779,"LINESTRING (0.5521713 51.3878373, 0.5520186 51.3871625)",,,,
18616945,Kingswood Road,residential,False,True,110.882,"LINESTRING (0.5521713 51.3878373, 0.5524951 51.3888138)",,,,
30198669,Jeffery Street,residential,False,False,89.939,"LINESTRING (0.5521713 51.3878373, 0.5520426 51.3878024, 0.5509702 51.3875334)",,,,
23472975,West Street,residential,False,False,155.7,"LINESTRING (0.5509702 51.3875334, 0.5510417 51.3877657, 0.5513703 51.3888046, 0.5514 51.3889077)",,,,
