osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,est_width
4821734,A638,Wakefield Road,primary,30 mph,False,False,11.586,,"LINESTRING (-1.6822396 53.7090284, -1.6820679 53.7090054)",,
225331800,A638,Wakefield Road,primary,30 mph,False,True,9.477,,"LINESTRING (-1.6822396 53.7090284, -1.6823764 53.709055)",,
"[43087279, 119513174, 119513175]",,Wormald Street,residential,,False,True,292.04200000000003,yes,"LINESTRING (-1.6822396 53.7090284, -1.6825127 53.708657, -1.6826916 53.708139, -1.6827836 53.7078728, -1.6828198 53.7077681, -1.6828722 53.7076163, -1.6829207 53.7074759, -1.6830003 53.7072825, -1.6830348 53.7071159, -1.6830315 53.706467)",,
24413918,,Regent Street,tertiary,30 mph,True,False,83.19900000000001,,"LINESTRING (-1.6760131 53.7075389, -1.6760844 53.7074853, -1.6766909 53.7070499, -1.6767556 53.7070153, -1.6768411 53.706976)",,
32239504,A638,Westgate,primary,30 mph,False,False,62.467,,"LINESTRING (-1.6760131 53.7075389, -1.6763148 53.7076116, -1.6768903 53.7077534)",,
32239505,A638,Market Place,primary,30 mph,False,False,24.805999999999997,,"LINESTRING (-1.6760131 53.7075389, -1.6758332 53.7074977, -1.6756609 53.7074595)",,
4821733,B6117,Market Place,secondary,30 mph,False,False,17.102999999999998,,"LINESTRING (-1.6743833 53.7071316, -1.6743841 53.7070816, -1.6743859 53.7069778)",,
380477117,A638,Market Place,primary,30 mph,False,True,59.848,,"LINESTRING (-1.6743833 53.7071316, -1.674873 53.7072742, -1.6750708 53.7073318, -1.6751992 53.7073692)",,
"[71541051, 380477828]",A638,High Street,primary,30 mph,False,"[False, True]",20.575,,"LINESTRING (-1.6743833 53.7071316, -1.674281 53.707127, -1.6740716 53.7071176)",,
24924011,B6117,Greenside,secondary,30 mph,True,False,70.75999999999999,,"LINESTRING (-1.6773299 53.7084047, -1.6772573 53.7086462, -1.6772356 53.7087185, -1.6771901 53.709035)",,
209222814,B6117,Greenside,secondary_link,30 mph,True,False,42.485,,"LINESTRING (-1.6773299 53.7084047, -1.6772119 53.7084852, -1.6771223 53.7085276, -1.6770398 53.7085495, -1.6769035 53.7085467, -1.6767901 53.7085171)",1,
26587415,B6117,Northgate,secondary,30 mph,True,False,85.41,,"LINESTRING (-1.6767901 53.7085171, -1.6767366 53.7084826, -1.6763817 53.7081266, -1.6761516 53.7079181, -1.6760972 53.7078688)",2,
4821733,B6117,Market Place,secondary,30 mph,False,False,30.598,,"LINESTRING (-1.6744045 53.7067704, -1.6743504 53.7064971)",,
4821733,B6117,Market Place,secondary,30 mph,False,True,23.094,,"LINESTRING (-1.6744045 53.7067704, -1.6743859 53.7069778)",,
33143098,,Croft Street,unclassified,,False,False,65.629,,"LINESTRING (-1.6744045 53.7067704, -1.6745834 53.7067147, -1.67514 53.7065412, -1.675196 53.7065238, -1.6752874 53.7064961)",,
24414098,,Beck Lane,unclassified,,True,False,45.801,,"LINESTRING (-1.6741321 53.7060062, -1.6747901 53.7058722)",,
380478599,B6117,Market Street,secondary,30 mph,False,True,7.573,,"LINESTRING (-1.6741321 53.7060062, -1.6741648 53.7060715)",,
380478599,B6117,Market Street,secondary,30 mph,False,False,86.776,,"LINESTRING (-1.6741321 53.7060062, -1.6739681 53.7056743, -1.6736967 53.7052705)",,
4821732,B6117,Walkley Lane,secondary,30 mph,False,False,8.193,,"LINESTRING (-1.6736967 53.7052705, -1.6736162 53.7052143)",,
33138823,,Station Road,tertiary,30 mph,False,True,33.387,,"LINESTRING (-1.6736967 53.7052705, -1.6741073 53.7050942)",,
380478599,B6117,Market Street,secondary,30 mph,False,True,86.776,,"LINESTRING (-1.6736967 53.7052705, -1.6739681 53.7056743, -1.6741321 53.7060062)",,
4821732,B6117,Walkley Lane,secondary,30 mph,False,False,40.533,,"LINESTRING (-1.6731277 53.7048553, -1.6727125 53.7045861)",,
4821732,B6117,Walkley Lane,secondary,30 mph,False,True,51.258,,"LINESTRING (-1.6731277 53.7048553, -1.6736162 53.7052143)",,
24414149,,Brooke Street,residential,,False,True,77.531,,"LINESTRING (-1.6731277 53.7048553, -1.6727551 53.7050584, -1.6722935 53.705347)",,
