osmid,bridge,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,lanes
206875790,yes,Bullring Roundabout,trunk,30 mph,roundabout,True,False,27.215999999999998,"LINESTRING (-4.756814 55.9484314, -4.7569918 55.9484374, -4.7571287 55.9484706, -4.7571895 55.9485218)",,
223574946,yes,High Street,trunk,signals,,True,False,30.589,"LINESTRING (-4.756814 55.9484314, -4.7570212 55.948396, -4.7572652 55.9483254)",A78,
23366965,,Container Way,unclassified,,,True,False,36.686,"LINESTRING (-4.7565457 55.9490275, -4.7564083 55.9491377, -4.7563583 55.9492299, -4.7563654 55.949329)",,
232950219,,Bullring Roundabout,trunk,30 mph,roundabout,True,False,31.919,"LINESTRING (-4.7565457 55.9490275, -4.7564254 55.9490539, -4.756303 55.9490702, -4.7561796 55.9490736, -4.7560485 55.9490578)",,
232950219,,Bullring Roundabout,trunk,30 mph,roundabout,True,False,38.82300000000001,"LINESTRING (-4.7560485 55.9490578, -4.7559386 55.9490188, -4.7558384 55.9489684, -4.7557607 55.9489135, -4.7556652 55.9487941)",,
83629,,Dalrymple Street,trunk,30 mph,,True,False,295.43399999999997,"LINESTRING (-4.7556652 55.9487941, -4.7553224 55.9483002, -4.7551871 55.9481897, -4.7549791 55.9480767, -4.7548396 55.9480248, -4.7535243 55.9475351, -4.7525654 55.9472084, -4.7522236 55.947092)",A8,2
206875788,,Bullring Roundabout,trunk,30 mph,roundabout,True,False,60.841,"LINESTRING (-4.7556652 55.9487941, -4.7556872 55.9487197, -4.755734 55.9486391, -4.755836 55.9485516, -4.7559362 55.9484938, -4.7560912 55.9484515, -4.7562771 55.948435)",,
4814576,,Cathcart Street,residential,,,False,True,12.926,"LINESTRING (-4.7511312 55.9466375, -4.7512916 55.9465637)",,
985534258,,Rue End Street,trunk,30 mph,,True,False,156.629,"LINESTRING (-4.7511312 55.9466375, -4.7509346 55.9465302, -4.7508073 55.9464484, -4.7506783 55.9463609, -4.7505577 55.9462692, -4.7504434 55.9461823, -4.750118 55.9459242, -4.7499833 55.9458289, -4.7498528 55.9457497, -4.7497219 55.9456784, -4.7494973 55.9455738)",A8,2
4439449,,Dalrymple Street,primary,30 mph,,False,False,89.638,"LINESTRING (-4.7587855 55.9496768, -4.7596909 55.9502305, -4.7597571 55.9502717)",A770,2
4439449,,Dalrymple Street,primary,30 mph,,False,True,117.558,"LINESTRING (-4.7587855 55.9496768, -4.7586648 55.9496051, -4.7585171 55.949518, -4.7585042 55.9495104, -4.7584376 55.9494711, -4.7581781 55.949318, -4.7574664 55.9489205)",A770,2
23362317,,Westburn Street,unclassified,,,True,False,112.151,"LINESTRING (-4.7587855 55.9496768, -4.7597264 55.9494381, -4.7604262 55.9492605)",,
4439449,,Dalrymple Street,primary,30 mph,,False,False,73.22,"LINESTRING (-4.7597571 55.9502717, -4.7600712 55.9505642, -4.7603494 55.9508405)",A770,2
4439449,,Dalrymple Street,primary,30 mph,,False,True,89.638,"LINESTRING (-4.7597571 55.9502717, -4.7596909 55.9502305, -4.7587855 55.9496768)",A770,2
349666,,Dellingburn Street,secondary,30 mph,roundabout,True,False,12.530000000000001,"LINESTRING (-4.748872 55.9441294, -4.7489119 55.9441024, -4.7489658 55.9440847, -4.7490412 55.9440787)",B788,
349666,,Dellingburn Street,secondary,30 mph,roundabout,True,False,13.943999999999999,"LINESTRING (-4.7490412 55.9440787, -4.7491163 55.9440905, -4.7491716 55.9441138, -4.7492018 55.9441533)",B788,
"[781188462, 781188461, 4264326]",,Dellingburn Street,secondary,30 mph,,True,False,57.720000000000006,"LINESTRING (-4.7490412 55.9440787, -4.7492133 55.9438281, -4.7493147 55.943693, -4.7493868 55.9435971)",B788,
110601373,,Baker Street,secondary,30 mph,,True,False,18.203,"LINESTRING (-4.7495942 55.9433937, -4.7495994 55.9434328, -4.749621 55.9434707, -4.7496485 55.9435099, -4.7496877 55.9435464)",B788,
