osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access
50839617,2,B510,West End Lane,secondary,20 mph,False,True,89.19900000000001,"LINESTRING (-0.1921816 51.5411439, -0.1922701 51.5412073, -0.192313 51.5412823, -0.1923309 51.5413297, -0.1923595 51.5413973, -0.1923774 51.5414417, -0.1924619 51.5416427, -0.1926094 51.5418929)",,
143583162,,B510,Quex Road,secondary,20 mph,False,True,135.547,"LINESTRING (-0.1921816 51.5411439, -0.1923402 51.5410313, -0.1924891 51.5409665, -0.1926232 51.5409081, -0.192791 51.540835, -0.1928298 51.5408181, -0.1928831 51.5407949, -0.193048 51.5407231, -0.1931776 51.5406667, -0.1932527 51.540634, -0.1937487 51.5404181)",,
148893344,2,B507,Abbey Road,secondary,20 mph,False,False,27.214,"LINESTRING (-0.1921816 51.5411439, -0.1920113 51.5410822, -0.191908 51.541053, -0.1918282 51.5410389)",,
50839617,2,B510,West End Lane,secondary,20 mph,False,False,33.275,"LINESTRING (-0.1926348 51.5442349, -0.192658 51.5441664, -0.1926909 51.5440694, -0.192701 51.5440102, -0.1926878 51.5439401)",,
"[50839618, 1071976830, 1071976831]",2,B510,West End Lane,secondary,20 mph,False,False,35.964999999999996,"LINESTRING (-0.1926348 51.5442349, -0.192606 51.5443001, -0.1925753 51.5443683, -0.1925462 51.5444331, -0.1925021 51.5445034, -0.1924655 51.544539)",,
"[1071976832, 1071976833, 642579433]",2,B510,West End Lane,secondary,20 mph,False,True,33.735,"LINESTRING (-0.1911425 51.5463734, -0.191149 51.5463093, -0.1911989 51.5461205, -0.1912113 51.5460733)",,
148947488,,,Kingsgate Road,residential,20 mph,False,False,61.168,"LINESTRING (-0.1958209 51.5431307, -0.1954967 51.5426576, -0.1954747 51.5426245)",,
148947488,,,Kingsgate Road,residential,20 mph,False,True,64.07900000000001,"LINESTRING (-0.1958209 51.5431307, -0.1960021 51.5433993, -0.1961794 51.5436621)",,
"[563159162, 563159163]",,,Messina Avenue,residential,20 mph,True,False,153.731,"LINESTRING (-0.1958209 51.5431307, -0.19588 51.5431321, -0.1959365 51.5431275, -0.1960305 51.543107, -0.1963958 51.5430266, -0.1966887 51.5429531, -0.1968289 51.5429076, -0.197284 51.5427053, -0.1977611 51.5424933)",,
34869694,,,Hemstal Road,residential,20 mph,False,True,67.67099999999999,"LINESTRING (-0.1963557 51.5446685, -0.1964966 51.5446965, -0.1965972 51.5447253, -0.1966859 51.5447661, -0.1968466 51.5448827, -0.1970754 51.5450205, -0.1971132 51.5450347)",,
148947488,,,Kingsgate Road,residential,20 mph,False,False,64.065,"LINESTRING (-0.1963557 51.5446685, -0.1964316 51.5444857, -0.1964507 51.5444167, -0.1964502 51.544396, -0.1964487 51.5443382, -0.1964074 51.5442046, -0.1963692 51.5441046)",,
148947491,,,Lowfield Road,residential,20 mph,False,True,126.727,"LINESTRING (-0.1963557 51.5446685, -0.19625 51.5449346, -0.1960197 51.5455144, -0.1959021 51.5457726)",,
148895104,,,Gascony Avenue,residential,20 mph,True,False,95.467,"LINESTRING (-0.1954747 51.5426245, -0.1954028 51.5426152, -0.1949678 51.5425912, -0.1941009 51.5425433)",,
148947488,,,Kingsgate Road,residential,20 mph,False,False,57.569,"LINESTRING (-0.1954747 51.5426245, -0.1954684 51.5425848, -0.1954654 51.5424444, -0.1954583 51.542107)",,
148947488,,,Kingsgate Road,residential,20 mph,False,True,61.168,"LINESTRING (-0.1954747 51.5426245, -0.1954967 51.5426576, -0.1958209 51.5431307)",,
148947490,,,Linstead Street,residential,20 mph,False,False,93.475,"LINESTRING (-0.1967535 51.545845, -0.1969527 51.5453834, -0.1971132 51.5450347)",,
"[1071976832, 642579433, 1071976833]",2,B510,West End Lane,secondary,20 mph,False,False,33.735,"LINESTRING (-0.1912113 51.5460733, -0.1911989 51.5461205, -0.191149 51.5463093, -0.1911425 51.5463734)",,
642579433,2,B510,West End Lane,secondary,20 mph,False,True,100.395,"LINESTRING (-0.1912113 51.5460733, -0.1912656 51.5459187, -0.1912902 51.5458501, -0.1916066 51.5452051)",,
