osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access
"[1098931200, 1098931197, 1098931199]",2,B3240,Vauxhall Street,secondary,30 mph,False,False,45.415,"LINESTRING (-4.1385958 50.3682874, -4.1384454 50.3682824, -4.1383609 50.3682823, -4.1382704 50.3682822, -4.138177 50.3682877, -4.137957 50.3683005)",,
"[1119486797, 1098931197]",2,B3240,Vauxhall Street,secondary,30 mph,False,True,42.338,"LINESTRING (-4.1385958 50.3682874, -4.1389439 50.3683123, -4.139189 50.3683299)",,
"[1119486796, 1163988135]",2,,Hoegate Street,unclassified,,False,False,79.266,"LINESTRING (-4.1385958 50.3682874, -4.1385559 50.3679676, -4.1385071 50.3675768)",,
26718966,2,,Princess Street Ope,unclassified,30 mph,False,False,61.115,"LINESTRING (-4.1414321 50.3683578, -4.1414305 50.3684724, -4.1414268 50.3687316, -4.1414243 50.3689074)",,
"[1119486801, 1119486798, 1119486799]",2,B3240,Notte Street,secondary,30 mph,False,False,115.66499999999999,"LINESTRING (-4.1414321 50.3683578, -4.1410167 50.3683693, -4.1407216 50.3683774, -4.1404109 50.368386, -4.140125 50.3683882, -4.1400076 50.3683872, -4.1398023 50.3683854)",,
"[1098930937, 1119486801, 921724173]",2,B3240,Notte Street,secondary,30 mph,False,True,110.393,"LINESTRING (-4.1414321 50.3683578, -4.1415688 50.3683586, -4.1418865 50.3683606, -4.1420575 50.3683663, -4.1423541 50.3683761, -4.1429865 50.368403)",,
"[1080390262, 47124270]",,,Palace Street,residential,20 mph,False,False,93.49199999999999,"LINESTRING (-4.1379904 50.3689315, -4.1379305 50.3689456, -4.1377928 50.3689569, -4.1374929 50.3689501, -4.1371422 50.3689434, -4.1366793 50.3689184)",,
598278124,2,,Buckwell Street,unclassified,30 mph,False,False,114.973,"LINESTRING (-4.1379904 50.3689315, -4.1380236 50.3690201, -4.1380288 50.3690621, -4.1380258 50.3690787, -4.1380175 50.3691242, -4.1379636 50.3692535, -4.1378812 50.3693972, -4.137752 50.3696109, -4.1376824 50.3697328, -4.1376595 50.3699249)",,
"[598278125, 8310814]",2,,Buckwell Street,unclassified,30 mph,False,True,73.67,"LINESTRING (-4.1379904 50.3689315, -4.1379495 50.368858, -4.1378533 50.3687513, -4.1376848 50.3685818, -4.1375807 50.3684677, -4.137551 50.3684204, -4.1375316 50.3683436)",,
718083943,3,A374,Charles Cross,primary,,True,False,19.273000000000003,"LINESTRING (-4.1363296 50.3717866, -4.1363934 50.3718726, -4.1364264 50.3719479)",roundabout,
"[1158685656, 1158685657, 9639085, 885124766]","['4', '3']",A374,Charles Street,primary,30 mph,True,False,236.677,"LINESTRING (-4.1364264 50.3719479, -4.1366168 50.372107, -4.1369404 50.372329, -4.1370668 50.3724089, -4.1372775 50.37253, -4.1375372 50.3726694, -4.1376829 50.3727484, -4.1377945 50.372809, -4.1379213 50.3728735, -4.1380314 50.3729287, -4.1382797 50.3730532, -4.138336 50.373081, -4.1383994 50.3731158, -4.1384265 50.3731307, -4.1384842 50.3731704, -4.1385209 50.3732063, -4.1385416 50.3733007, -4.1385706 50.3734906)",,
718083925,2,A374,Charles Cross,primary,,True,False,30.401000000000003,"LINESTRING (-4.1364264 50.3719479, -4.1363992 50.3720129, -4.1363217 50.372078, -4.1362714 50.3721136, -4.1361608 50.3721431)",roundabout,
24640744,1,,Hampton Street,residential,,True,False,35.564,"LINESTRING (-4.1360706 50.3721556, -4.1358715 50.3722381, -4.1356739 50.3723498)",,
"[718083942, 1103955071]",3,A374,Charles Cross,primary,,True,False,31.003,"LINESTRING (-4.1360706 50.3721556, -4.1360341 50.3721517, -4.1358463 50.3721315, -4.1357262 50.3720919, -4.1356666 50.3720634)",roundabout,
9636953,2,,Exeter Street,tertiary,30 mph,True,False,209.10300000000004,"LINESTRING (-4.1384537 50.3706087, -4.1383017 50.3706387, -4.1382591 50.370658, -4.137035 50.3712242, -4.1367074 50.3713576, -4.1364416 50.3714996, -4.1363866 50.3715351, -4.1363502 50.3715714, -4.1363229 50.3716181, -4.1363135 50.3716583, -4.1363169 50.3716976, -4.1363296 50.3717866)",,
