osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,bridge
661006260,A522,Castle Way,primary,30 mph,False,True,12.047,,"LINESTRING (-6.2210973 54.7168526, -6.2209162 54.7168244)",,
37923243,A6,,trunk,30 mph,True,False,93.33800000000001,2,"LINESTRING (-6.2210973 54.7168526, -6.2210583 54.7169919, -6.2209669 54.7176882)",,
141054112,,Church Street,residential,30 mph,False,False,174.087,2,"LINESTRING (-6.2151909 54.7139464, -6.2153425 54.7139109, -6.2154314 54.713895, -6.2155269 54.7138754, -6.2155875 54.7138687, -6.2156458 54.7138623, -6.2157282 54.7138586, -6.2157584 54.7138602, -6.2158266 54.7138639, -6.2159251 54.7138748, -6.2173511 54.7141244, -6.2177998 54.7141814)",,
"[1164733637, 1164733635, 1164733636, 189380285]",A522,Castle Way,primary,30 mph,False,False,180.989,"['2', '3']","LINESTRING (-6.2151909 54.7139464, -6.2152532 54.7141001, -6.2152651 54.7141267, -6.2152663 54.7141602, -6.2152438 54.7142959, -6.2152186 54.7143882, -6.2152019 54.7144423, -6.2151856 54.7145224, -6.215171 54.7146064, -6.2151738 54.7147467, -6.2151891 54.7148173, -6.2152044 54.7148828, -6.2152122 54.714907, -6.215242 54.714982, -6.2152879 54.7150561, -6.2153953 54.7151473, -6.2155401 54.7152438, -6.2157218 54.7153213, -6.2159162 54.7153921)",,
4571692,A6,,trunk,30 mph,True,False,222.371,2,"LINESTRING (-6.2206124 54.7196232, -6.2206593 54.7194481, -6.2206521 54.7193583, -6.2206435 54.71925, -6.2206145 54.7188416, -6.220626 54.7186338, -6.2206572 54.7183257, -6.2207586 54.7176291)",,
1218549885,A6,,trunk,30 mph,True,False,24.123,2,"LINESTRING (-6.2206124 54.7196232, -6.2206684 54.7195943, -6.2207365 54.7195759, -6.2208108 54.7195695, -6.2208852 54.7195756, -6.2209534 54.7195937)",roundabout,
38075525,,,tertiary,,False,True,140.708,,"LINESTRING (-6.2220861 54.7137793, -6.2221871 54.7137464, -6.2226617 54.7135839, -6.2227912 54.7135368, -6.223018 54.7134666, -6.2231851 54.7134149, -6.2233264 54.7133819, -6.2234043 54.7133677, -6.2234859 54.7133584, -6.2236167 54.713344, -6.2237193 54.7133391, -6.2238519 54.7133458, -6.2240863 54.713364)",,
1164754881,A6,,trunk,40 mph,False,False,202.649,2,"LINESTRING (-6.2220861 54.7137793, -6.2220328 54.7137358, -6.2216093 54.7133906, -6.221005 54.7129169, -6.2205059 54.7125251, -6.2202276 54.7123067)",,
"[1164754881, 38335650, 148902467, 923322405]",A6,,trunk,"['40 mph', '30 mph']",False,True,318.251,2,"LINESTRING (-6.2220861 54.7137793, -6.2222148 54.7139091, -6.2222964 54.7140132, -6.2223758 54.7141187, -6.2224308 54.7142412, -6.2225002 54.7144454, -6.2225242 54.7146265, -6.2225421 54.714761, -6.2225013 54.7149038, -6.2224191 54.7151172, -6.2224083 54.7151351, -6.2222701 54.7153693, -6.2221698 54.7155012, -6.2219021 54.7157797, -6.2217042 54.7159547, -6.2212777 54.7164247)",,yes
38075525,,,tertiary,,False,False,140.708,,"LINESTRING (-6.2240863 54.713364, -6.2238519 54.7133458, -6.2237193 54.7133391, -6.2236167 54.713344, -6.2234859 54.7133584, -6.2234043 54.7133677, -6.2233264 54.7133819, -6.2231851 54.7134149, -6.223018 54.7134666, -6.2227912 54.7135368, -6.2226617 54.7135839, -6.2221871 54.7137464, -6.2220861 54.7137793)",,
38075525,,,tertiary,,False,True,50.446000000000005,,"LINESTRING (-6.2240863 54.713364, -6.224711 54.7134284, -6.2248597 54.7134428)",,
1164754859,,Firfields,residential,,False,False,63.821,,"LINESTRING (-6.2240863 54.713364, -6.2241071 54.7132992, -6.2241372 54.7132869, -6.2248114 54.7133626, -6.2248415 54.7133749, -6.2248597 54.7134428)",,
217763849,,Bridge Street,tertiary,,False,True,131.714,,"LINESTRING (-6.2202276 54.7123067, -6.2201602 54.7123411, -6.2200964 54.7123756, -6.220014 54.7124414, -6.2199805 54.712478, -6.2199564 54.7125208, -6.2199399 54.7125636, -6.2199254 54.7126124, -6.2198991 54.7127011, -6.2198661 54.7128537, -6.2198544 54.7129068, -6.2197399 54.7134264)",,
1164754881,A6,,trunk,40 mph,False,True,202.649,2,"LINESTRING (-6.2202276 54.7123067, -6.2205059 54.7125251, -6.221005 54.7129169, -6.2216093 54.7133906, -6.2220328 54.7137358, -6.2220861 54.7137793)",,
"[217763849, 38093244, 217763847]",,Bridge Street,tertiary,,False,False,132.588,,"LINESTRING (-6.2192744 54.7145816, -6.2194664 54.7142663, -6.2194734 54.7142563, -6.2196353 54.7139508, -6.2196393 54.7139315, -6.2197082 54.713599, -6.2197399 54.7134264)",,yes
38230761,,High Street,tertiary,30 mph,False,True,93.93100000000001,2,"LINESTRING (-6.2192744 54.7145816, -6.2187251 54.7144222, -6.2186617 54.7144038, -6.2186036 54.7143868, -6.2182057 54.7142708, -6.2179597 54.7142125)",,
1164750180,,High Street,unclassified,,False,False,104.375,,"LINESTRING (-6.2192744 54.7145816, -6.2195266 54.7146561, -6.2197292 54.7147159, -6.2203634 54.7149012, -6.2205626 54.7149768, -6.2207193 54.7150069)",,
133434456,,Railway Street,tertiary,30 mph,False,True,75.80799999999999,2,"LINESTRING (-6.2172263 54.7150032, -6.2171749 54.7150609, -6.2171119 54.7151178, -6.2170296 54.7151791, -6.2169669 54.7152172, -6.216854 54.7152863, -6.2167064 54.7153818, -6.2166487 54.7154225, -6.2165229 54.7155463)",,
1164750311,,Church Street,residential,30 mph,False,False,10.837,2,"LINESTRING (-6.2177998 54.7141814, -6.2179597 54.7142125)",,
38230765,,Riverside,residential,30 mph,False,False,110.869,,"LINESTRING (-6.2177998 54.7141814, -6.2178221 54.714133, -6.2178459 54.7140221, -6.2176914 54.7137196, -6.2176313 54.7135808, -6.2176142 54.713442, -6.2176085 54.7132044)",,
141054112,,Church Street,residential,30 mph,False,True,174.08700000000002,2,"LINESTRING (-6.2177998 54.7141814, -6.2173511 54.7141244, -6.2159251 54.7138748, -6.2158266 54.7138639, -6.2157584 54.7138602, -6.2157282 54.7138586, -6.2156458 54.7138623, -6.2155875 54.7138687, -6.2155269 54.7138754, -6.2154314 54.713895, -6.2153425 54.7139109, -6.2151909 54.7139464)",,
141054186,,Masserene Street,residential,30 mph,False,True,169.915,,"LINESTRING (-6.2197399 54.7134264, -6.2196692 54.7134211, -6.2194797 54.7134039, -6.2188306 54.7132776, -6.2186691 54.7132383, -6.2185992 54.7132147, -6.2185294 54.7131895, -6.2184518 54.7131439, -6.2183877 54.7130827, -6.2183456 54.7130332, -6.2183102 54.7129837, -6.2182935 54.7129323, -6.2182876 54.7128746, -6.2183093 54.7124442)",,
141054199,,Lough Road,residential,30 mph,False,True,67.967,,"LINESTRING (-6.2197399 54.7134264, -6.2197941 54.7134322, -6.2207802 54.7135381)",,
217763849,,Bridge Street,tertiary,,False,False,131.71400000000003,,"LINESTRING (-6.2197399 54.7134264, -6.2198544 54.7129068, -6.2198661 54.7128537, -6.2198991 54.7127011, -6.2199254 54.7126124, -6.2199399 54.7125636, -6.2199564 54.7125208, -6.2199805 54.712478, -6.220014 54.7124414, -6.2200964 54.7123756, -6.2201602 54.7123411, -6.2202276 54.7123067)",,
"[217763849, 38093244, 217763847]",,Bridge Street,tertiary,,False,True,132.58800000000002,,"LINESTRING (-6.2197399 54.7134264, -6.2197082 54.713599, -6.2196393 54.7139315, -6.2196353 54.7139508, -6.2194734 54.7142563, -6.2194664 54.7142663, -6.2192744 54.7145816)",,yes
141054186,,Masserene Street,residential,30 mph,False,False,169.915,,"LINESTRING (-6.2183093 54.7124442, -6.2182876 54.7128746, -6.2182935 54.7129323, -6.2183102 54.7129837, -6.2183456 54.7130332, -6.2183877 54.7130827, -6.2184518 54.7131439, -6.2185294 54.7131895, -6.2185992 54.7132147, -6.2186691 54.7132383, -6.2188306 54.7132776, -6.2194797 54.7134039, -6.2196692 54.7134211, -6.2197399 54.7134264)",,
141054199,,Lough Road,residential,30 mph,False,False,53.44200000000001,,"LINESTRING (-6.2215987 54.7136243, -6.2209967 54.7135598, -6.2207802 54.7135381)",,
152126195,,Riverside Mews,residential,30 mph,False,False,82.42,,"LINESTRING (-6.2164431 54.7129649, -6.2167716 54.7130239, -6.2168377 54.7130407, -6.2168983 54.7130617, -6.2170935 54.7131602, -6.2171377 54.7131796, -6.2171964 54.7131963, -6.2172552 54.7132058, -6.2173026 54.713212, -6.2173501 54.7132133, -6.2176085 54.7132044)",,
152126185,,Firfields,residential,30 mph,False,False,107.45400000000001,,"LINESTRING (-6.2255595 54.7125144, -6.2254634 54.7128112, -6.2253121 54.7132788, -6.2252476 54.7134638)",,
152126207,,Firfields,residential,30 mph,False,False,184.24099999999999,,"LINESTRING (-6.2255595 54.7125144, -6.2240294 54.7123513, -6.2239581 54.7125872, -6.2248406 54.7126824)",,
152126207,,Firfields,residential,30 mph,False,True,186.56799999999998,,"LINESTRING (-6.2255595 54.7125144, -6.2271059 54.7126891, -6.22703 54.7129322, -6.2261454 54.7128329)",,
152126207,,Firfields,residential,30 mph,False,True,184.24099999999999,,"LINESTRING (-6.2248406 54.7126824, -6.2239581 54.7125872, -6.2240294 54.7123513, -6.2255595 54.7125144)",,
152126207,,Firfields,residential,30 mph,False,False,186.56799999999998,,"LINESTRING (-6.2261454 54.7128329, -6.22703 54.7129322, -6.2271059 54.7126891, -6.2255595 54.7125144)",,
38230765,,Riverside,residential,30 mph,False,False,70.899,,"LINESTRING (-6.2176085 54.7132044, -6.217488 54.7125706)",,
38230765,,Riverside,residential,30 mph,False,True,110.869,,"LINESTRING (-6.2176085 54.7132044, -6.2176142 54.713442, -6.2176313 54.7135808, -6.2176914 54.7137196, -6.2178459 54.7140221, -6.2178221 54.714133, -6.2177998 54.7141814)",,
